,調査数,政党を重視,候補者個人を重視した,どちらともいえない,わからない,無回答
全体実数,1246,704,300,221,15,6
全体（％）,100.0,56.5,24.1,17.7,1.2,0.5
性別男性実数,617,361,147,101,6,2
性別男性（％）,100.0,58.5,23.8,16.4,1.0,0.3
性別女性実数,629,343,153,120,9,4
性別女性（％）,100.0,54.5,24.3,19.1,1.4,0.6
年齢別20歳代実数,91,56,15,19,1,-
年齢別20歳代（％）,100.0,61.5,16.5,20.9,1.1,-
年齢別30歳代実数,161,87,32,34,8,-
年齢別30歳代（％）,100.0,54.0,19.9,21.1,5.0,-
年齢別40歳代実数,247,141,54,51,-,1
年齢別40歳代（％）,100.0,57.1,21.9,20.6,-,0.4
年齢別50歳代実数,195,105,52,35,2,1
年齢別50歳代（％）,100.0,53.8,26.7,17.9,1.0,0.5
年齢別60歳代実数,233,133,56,43,-,1
年齢別60歳代（％）,100.0,57.1,24.0,18.5,-,0.4
年齢別70歳代実数,239,137,70,25,4,3
年齢別70歳代（％）,100.0,57.3,29.3,10.5,1.7,1.3
年齢別80歳以上実数,80,45,21,14,-,-
年齢別80歳以上（％）,100.0,56.3,26.3,17.5,-,-
性/年齢別男性20歳代実数,49,30,6,13,-,-
性/年齢別男性20歳代（％）,100.0,61.2,12.2,26.5,-,-
性/年齢別男性30歳代実数,75,43,13,15,4,-
性/年齢別男性30歳代（％）,100.0,57.3,17.3,20.0,5.3,-
性/年齢別男性40歳代実数,116,68,24,24,-,-
性/年齢別男性40歳代（％）,100.0,58.6,20.7,20.7,-,-
性/年齢別男性50歳代実数,107,52,34,19,1,1
性/年齢別男性50歳代（％）,100.0,48.6,31.8,17.8,0.9,0.9
性/年齢別男性60歳代実数,117,67,31,19,-,-
性/年齢別男性60歳代（％）,100.0,57.3,26.5,16.2,-,-
性/年齢別男性70歳代実数,116,74,33,7,1,1
性/年齢別男性70歳代（％）,100.0,63.8,28.4,6.0,0.9,0.9
性/年齢別男性80歳以上実数,37,27,6,4,-,-
性/年齢別男性80歳以上（％）,100.0,73.0,16.2,10.8,-,-
性/年齢別女性20歳代実数,42,26,9,6,1,-
性/年齢別女性20歳代（％）,100.0,61.9,21.4,14.3,2.4,-
性/年齢別女性30歳代実数,86,44,19,19,4,-
