,ア）調査数,ア）知っている,ア）知らなかった,ア）無回答,イ）調査数,イ）知っている,イ）知らなかった,イ）無回答,ウ）調査数,ウ）知っている,ウ）知らなかった,ウ）無回答,エ）調査数,エ）知っている,エ）知らなかった,エ）無回答,オ）調査数,オ）知っている,オ）知らなかった,オ）無回答,カ）調査数,カ）知っている,カ）知らなかった,カ）無回答
全体,2011,1746,238,27,1746,1494,227,25,1746,1241,481,24,1746,1211,509,26,1746,1085,637,24,1746,307,1412,27
全体,100.0,86.8,11.8,1.3,100.0,85.6,13.0,1.4,100.0,71.1,27.5,1.4,100.0,69.4,29.2,1.5,100.0,62.1,36.5,1.4,100.0,17.6,80.9,1.5
性別男性,950,849,90,11,849,723,117,9,849,619,222,8,849,602,239,8,849,549,293,7,849,169,671,9
性別男性,100.0,89.4,9.5,1.2,100.0,85.2,13.8,1.1,100.0,72.9,26.1,0.9,100.0,70.9,28.2,0.9,100.0,64.7,34.5,0.8,100.0,19.9,79.0,1.1
性別女性,1061,897,148,16,897,771,110,16,897,622,259,16,897,609,270,18,897,536,344,17,897,138,741,18
性別女性,100.0,84.5,13.9,1.5,100.0,86.0,12.3,1.8,100.0,69.3,28.9,1.8,100.0,67.9,30.1,2.0,100.0,59.8,38.4,1.9,100.0,15.4,82.6,2.0
年齢20歳代,295,224,69,2,224,140,83,1,224,87,136,1,224,85,138,1,224,67,156,1,224,23,200,1
年齢20歳代,100.0,75.9,23.4,0.7,100.0,62.5,37.1,0.4,100.0,38.8,60.7,0.4,100.0,37.9,61.6,0.4,100.0,29.9,69.6,0.4,100.0,10.3,89.3,0.4
年齢30歳代,355,296,51,8,296,261,32,3,296,214,79,3,296,209,84,3,296,183,111,2,296,60,233,3
年齢30歳代,100.0,83.4,14.4,2.3,100.0,88.2,10.8,1.0,100.0,72.3,26.7,1.0,100.0,70.6,28.4,1.0,100.0,61.8,37.5,0.7,100.0,20.3,78.7,1.0
年齢40歳代,398,363,31,4,363,318,42,3,363,267,94,2,363,261,98,4,363,228,132,3,363,64,295,4
年齢40歳代,100.0,91.2,7.8,1.0,100.0,87.6,11.6,0.8,100.0,73.6,25.9,0.6,100.0,71.9,27.0,1.1,100.0,62.8,36.4,0.8,100.0,17.6,81.3,1.1
年齢50歳代,293,271,18,4,271,237,24,10,271,214,47,10,271,203,58,10,271,185,76,10,271,56,204,11
年齢50歳代,100.0,92.5,6.1,1.4,100.0,87.5,8.9,3.7,100.0,79.0,17.3,3.7,100.0,74.9,21.4,3.7,100.0,68.3,28.0,3.7,100.0,20.7,75.3,4.1
年齢60歳代,327,297,25,5,297,278,18,1,297,236,60,1,297,239,57,1,297,218,78,1,297,57,239,1
年齢60歳代,100.0,90.8,7.6,1.5,100.0,93.6,6.1,0.3,100.0,79.5,20.2,0.3,100.0,80.5,19.2,0.3,100.0,73.4,26.3,0.3,100.0,19.2,80.5,0.3
年齢70歳代,232,196,33,3,196,177,15,4,196,154,38,4,196,148,44,4,196,139,53,4,196,34,158,4
年齢70歳代,100.0,84.5,14.2,1.3,100.0,90.3,7.7,2.0,100.0,78.6,19.4,2.0,100.0,75.5,22.4,2.0,100.0,70.9,27.0,2.0,100.0,17.3,80.6,2.0
年齢80歳以上,90,79,11,-,79,64,12,3,79,53,23,3,79,54,22,3,79,50,26,3,79,11,65,3
年齢80歳以上,100.0,87.8,12.2,-,100.0,81.0,15.2,3.8,100.0,67.1,29.1,3.8,100.0,68.4,27.8,3.8,100.0,63.3,32.9,3.8,100.0,13.9,82.3,3.8
性／年齢別男性20歳代,143,113,28,2,113,65,48,-,113,42,71,-,113,40,73,-,113,29,84,-,113,14,99,-
性／年齢別男性20歳代,100.0,79.0,19.6,1.4,100.0,57.5,42.5,-,100.0,37.2,62.8,-,100.0,35.4,64.6,-,100.0,25.7,74.3,-,100.0,12.4,87.6,-
性／年齢別男性30歳代,153,135,14,4,135,120,14,1,135,103,31,1,135,101,33,1,135,91,44,-,135,29,105,1
性／年齢別男性30歳代,100.0,88.2,9.2,2.6,100.0,88.9,10.4,0.7,100.0,76.3,23.0,0.7,100.0,74.8,24.4,0.7,100.0,67.4,32.6,-,100.0,21.5,77.8,0.7
性／年齢別男性40歳代,176,160,16,-,160,135,23,2,160,116,43,1,160,111,48,1,160,105,54,1,160,34,124,2
性／年齢別男性40歳代,100.0,90.9,9.1,-,100.0,84.4,14.4,1.3,100.0,72.5,26.9,0.6,100.0,69.4,30.0,0.6,100.0,65.6,33.8,0.6,100.0,21.3,77.5,1.3
性／年齢別男性50歳代,148,139,8,1,139,125,11,3,139,112,24,3,139,109,27,3,139,99,37,3,139,32,104,3
性／年齢別男性50歳代,100.0,93.9,5.4,0.7,100.0,89.9,7.9,2.2,100.0,80.6,17.3,2.2,100.0,78.4,19.4,2.2,100.0,71.2,26.6,2.2,100.0,23.0,74.8,2.2
性／年齢別男性60歳代,169,161,8,-,161,150,11,-,161,129,32,-,161,132,29,-,161,120,41,-,161,31,130,-
性／年齢別男性60歳代,100.0,95.3,4.7,-,100.0,93.2,6.8,-,100.0,80.1,19.9,-,100.0,82.0,18.0,-,100.0,74.5,25.5,-,100.0,19.3,80.7,-
性／年齢別男性70歳代,118,101,14,3,101,96,5,-,101,91,10,-,101,81,20,-,101,80,21,-,101,22,79,-
性／年齢別男性70歳代,100.0,85.6,11.9,2.5,100.0,95.0,5.0,-,100.0,90.1,9.9,-,100.0,80.2,19.8,-,100.0,79.2,20.8,-,100.0,21.8,78.2,-
性／年齢別男性80歳以上,39,37,2,-,37,29,5,3,37,25,9,3,37,26,8,3,37,24,10,3,37,7,27,3
性／年齢別男性80歳以上,100.0,94.9,5.1,-,100.0,78.4,13.5,8.1,100.0,67.6,24.3,8.1,100.0,70.3,21.6,8.1,100.0,64.9,27.0,8.1,100.0,18.9,73.0,8.1
性／年齢別女性20歳代,152,111,41,-,111,75,35,1,111,45,65,1,111,45,65,1,111,38,72,1,111,9,101,1
性／年齢別女性20歳代,100.0,73.0,27.0,-,100.0,67.6,31.5,0.9,100.0,40.5,58.6,0.9,100.0,40.5,58.6,0.9,100.0,34.2,64.9,0.9,100.0,8.1,91.0,0.9
性／年齢別女性30歳代,202,161,37,4,161,141,18,2,161,111,48,2,161,108,51,2,161,92,67,2,161,31,128,2
性／年齢別女性30歳代,100.0,79.7,18.3,2.0,100.0,87.6,11.2,1.2,100.0,68.9,29.8,1.2,100.0,67.1,31.7,1.2,100.0,57.1,41.6,1.2,100.0,19.3,79.5,1.2
性／年齢別女性40歳代,222,203,15,4,203,183,19,1,203,151,51,1,203,150,50,3,203,123,78,2,203,30,171,2
性／年齢別女性40歳代,100.0,91.4,6.8,1.8,100.0,90.1,9.4,0.5,100.0,74.4,25.1,0.5,100.0,73.9,24.6,1.5,100.0,60.6,38.4,1.0,100.0,14.8,84.2,1.0
性／年齢別女性50歳代,145,132,10,3,132,112,13,7,132,102,23,7,132,94,31,7,132,86,39,7,132,24,100,8
性／年齢別女性50歳代,100.0,91.0,6.9,2.1,100.0,84.8,9.8,5.3,100.0,77.3,17.4,5.3,100.0,71.2,23.5,5.3,100.0,65.2,29.5,5.3,100.0,18.2,75.8,6.1
性／年齢別女性60歳代,158,136,17,5,136,128,7,1,136,107,28,1,136,107,28,1,136,98,37,1,136,26,109,1
性／年齢別女性60歳代,100.0,86.1,10.8,3.2,100.0,94.1,5.1,0.7,100.0,78.7,20.6,0.7,100.0,78.7,20.6,0.7,100.0,72.1,27.2,0.7,100.0,19.1,80.1,0.7
性／年齢別女性70歳代,114,95,19,-,95,81,10,4,95,63,28,4,95,67,24,4,95,59,32,4,95,12,79,4
性／年齢別女性70歳代,100.0,83.3,16.7,-,100.0,85.3,10.5,4.2,100.0,66.3,29.5,4.2,100.0,70.5,25.3,4.2,100.0,62.1,33.7,4.2,100.0,12.6,83.2,4.2
性／年齢別女性80歳以上,51,42,9,-,42,35,7,-,42,28,14,-,42,28,14,-,42,26,16,-,42,4,38,-
性／年齢別女性80歳以上,100.0,82.4,17.6,-,100.0,83.3,16.7,-,100.0,66.7,33.3,-,100.0,66.7,33.3,-,100.0,61.9,38.1,-,100.0,9.5,90.5,-
未・既婚別未婚（死別・離別を含む）,801,640,150,11,640,505,126,9,640,372,260,8,640,376,256,8,640,322,310,8,640,111,520,9
未・既婚別未婚（死別・離別を含む）,100.0,79.9,18.7,1.4,100.0,78.9,19.7,1.4,100.0,58.1,40.6,1.3,100.0,58.8,40.0,1.3,100.0,50.3,48.4,1.3,100.0,17.3,81.3,1.4
未・既婚別既婚,1188,1088,85,15,1088,973,99,16,1088,855,217,16,1088,823,247,18,1088,750,322,16,1088,190,880,18
未・既婚別既婚,100.0,91.6,7.2,1.3,100.0,89.4,9.1,1.5,100.0,78.6,19.9,1.5,100.0,75.6,22.7,1.7,100.0,68.9,29.6,1.5,100.0,17.5,80.9,1.7
子供の有無別子供はいない,779,624,141,14,624,498,123,3,624,357,264,3,624,372,249,3,624,321,300,3,624,109,511,4
子供の有無別子供はいない,100.0,80.1,18.1,1.8,100.0,79.8,19.7,0.5,100.0,57.2,42.3,0.5,100.0,59.6,39.9,0.5,100.0,51.4,48.1,0.5,100.0,17.5,81.9,0.6
子供の有無別未就学（～６歳）,155,140,15,-,140,121,17,2,140,109,29,2,140,102,35,3,140,81,57,2,140,31,106,3
子供の有無別未就学（～６歳）,100.0,90.3,9.7,-,100.0,86.4,12.1,1.4,100.0,77.9,20.7,1.4,100.0,72.9,25.0,2.1,100.0,57.9,40.7,1.4,100.0,22.1,75.7,2.1
子供の有無別小・中・高校生,320,302,15,3,302,264,33,5,302,232,65,5,302,218,77,7,302,201,95,6,302,50,246,6
子供の有無別小・中・高校生,100.0,94.4,4.7,0.9,100.0,87.4,10.9,1.7,100.0,76.8,21.5,1.7,100.0,72.2,25.5,2.3,100.0,66.6,31.5,2.0,100.0,16.6,81.5,2.0
