,今回選挙（n=1491）(%),平成26年東京都知事選挙（n=999）(%),,,,
国政全体、都政全体のことを考えてくれる人だと思ったから,62.5,45.6,,,,
候補者の政策や主張に賛成だから,46.6,43.0,,,,
テレビや新聞などマスコミを通して知っている人だから,29.7,19.9,,,,
人柄、経歴などから国政、都政を託すのに最適な人だと思ったから,28.2,28.0,,,,
自分の日常の暮らしを守ってくれる人だと思ったから,23.5,24.3,,,,
テレビやラジオ、新聞等メディアの報道内容からふさわしい人だと思ったから,18.2,9.3,,,,
自分の支持する政党の推薦する人だから,9.3,6.1,,,,
ポスターや選挙公報などを見て、ふさわしい人だと思ったから,7.6,2.9,,,,
地元の利益を考えてくれる人だと思ったから,4.3,6.1,,,,
家族や友人との選挙に関する話の中で、ふさわしい人だと思ったから,3.6,6.6,,,,
ホームページやＳＮＳ等のインターネット上の情報を見てふさわしい人だと思ったから,3.2,3.0,,,,
団体や組織や知人に頼まれたから,2.5,2.9,,,,
自分の仕事や職業上の利益を守ってくれる人だと思ったから,1.8,2.8,,,,
その他,0.9,4.9,,,,
特に理由はない（なんとなく）,2.8,3.8,,,,
わからない,0.5,0.7,,,,
無回答,-,0.6,,,,
