質問,n,ニュースサイトや選挙情報サイト(%),候補者等のホームページ・ブログ(%),まとめサイトや電子掲示板などその他のサイト(%),候補者等のツイッター・フェイスブック等のSNS(%),候補者以外のホームページ・ブログ(%),YouTubeなど動画共有サイトでの選挙関連の動画(%),候補者以外のツイッター・フェイスブック等のSNS(%),触れていない、見ていない(%)
全体,(999),23.7,11.6,7.7,5.7,4.7,4.0,3.6,59.2
性別男性,(485),26.6,13.4,9.5,6.0,6.4,3.5,4.3,56.5
性別女性,(514),21.0,9.9,6.0,5.4,3.1,4.5,2.9,61.7
年齢別20歳代,(52),40.4,19.2,30.8,15.4,21.2,7.7,15.4,36.5
年齢別30歳代,(145),51.0,24.8,17.2,14.5,9.7,9.7,8.3,33.8
年齢別40歳代,(217),32.7,12.4,10.6,6.9,4.6,3.2,4.1,51.6
年齢別50歳代,(178),20.2,10.1,5.6,5.6,3.9,6.7,2.8,63.5
年齢別60歳代,(213),12.7,8.0,1.4,0.5,1.9,0.9,0.9,74.2
年齢別70歳代,(151),4.0,4.0,0,0.7,0.7,0.7,0,73.5
年齢別80歳以上,(36),5.6,2.8,0,0,0,0,0,63.9
