,調査数,投開票速報及び結果,選挙区の情報（候補者・候補者届出政党情報、選挙公報、区割）,比例代表の情報（名簿届出政党等一覧、選挙公報）,期日前投票所一覧、開票所一覧,東京都選挙管理委員会のツイッター,参議院議員選挙の概要（投票日や有権者の定義、選挙制度の説明）,今後の更新予定,18歳選挙権PRサイト（TOHYO都）,選挙期日等を周知する啓発動画広告（お笑いコンビのハリセンボンさん起用）,政見放送・経歴放送の日程,選挙Ｑ＆Ａ,参議院議員選挙投票率推移や年代別推定投票率のグラフ,東京都及び各区市町村の選挙管理委員会事務局への問い合わせ先,その他,わからない、覚えていない
全体,402,208,115,78,118,22,24,11,28,10,41,60,8,16,1,143
全体,100.0,51.7,28.6,19.4,29.4,5.5,6.0,2.7,7.0,2.5,10.2,14.9,2.0,4.0,0.2,35.6
性別男性,231,126,78,51,76,9,17,9,18,8,31,42,5,12,-,72
性別男性,100.0,54.5,33.8,22.1,32.9,3.9,7.4,3.9,7.8,3.5,13.4,18.2,2.2,5.2,-,31.2
性別女性,171,82,37,27,42,13,7,2,10,2,10,18,3,4,1,71
性別女性,100.0,48.0,21.6,15.8,24.6,7.6,4.1,1.2,5.8,1.2,5.8,10.5,1.8,2.3,0.6,41.5
年齢別18歳,2,-,1,1,-,-,1,-,-,-,-,-,-,-,-,1
年齢別18歳,100.0,-,50.0,50.0,-,-,50.0,-,-,-,-,-,-,-,-,50.0
年齢別19歳,2,-,1,-,1,-,-,-,1,-,-,-,-,-,-,1
年齢別19歳,100.0,-,50.0,-,50.0,-,-,-,50.0,-,-,-,-,-,-,50.0
年齢別20歳代,36,19,6,3,11,3,1,2,6,-,1,5,-,-,1,12
年齢別20歳代,100.0,52.8,16.7,8.3,30.6,8.3,2.8,5.6,16.7,-,2.8,13.9,-,-,2.8,33.3
年齢別30歳代,75,46,24,16,28,4,2,1,4,1,6,7,1,2,-,23
年齢別30歳代,100.0,61.3,32.0,21.3,37.3,5.3,2.7,1.3,5.3,1.3,8.0,9.3,1.3,2.7,-,30.7
年齢別40歳代,104,66,37,28,35,8,5,2,7,2,12,19,2,5,-,28
年齢別40歳代,100.0,63.5,35.6,26.9,33.7,7.7,4.8,1.9,6.7,1.9,11.5,18.3,1.9,4.8,-,26.9
年齢別50歳代,85,39,23,17,23,2,5,3,2,2,9,16,1,4,-,32
年齢別50歳代,100.0,45.9,27.1,20.0,27.1,2.4,5.9,3.5,2.4,2.4,10.6,18.8,1.2,4.7,-,37.6
年齢別60歳代,64,27,18,8,15,3,8,3,7,4,10,10,3,3,-,28
年齢別60歳代,100.0,42.2,28.1,12.5,23.4,4.7,12.5,4.7,10.9,6.3,15.6,15.6,4.7,4.7,-,43.8
年齢別70歳代,30,10,4,5,5,2,2,-,1,1,2,3,1,1,-,16
年齢別70歳代,100.0,33.3,13.3,16.7,16.7,6.7,6.7,-,3.3,3.3,6.7,10.0,3.3,3.3,-,53.3
年齢別80歳以上,4,1,1,-,-,-,-,-,-,-,1,-,-,1,-,2
年齢別80歳以上,100.0,25.0,25.0,-,-,-,-,-,-,-,25.0,-,-,25.0,-,50.0
性/年齢別男性18歳,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
性/年齢別男性18歳,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0
性/年齢別男性19歳,1,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-
性/年齢別男性19歳,100.0,-,100.0,-,100.0,-,-,-,100.0,-,-,-,-,-,-,-
性/年齢別男性20歳代,19,8,4,3,6,1,1,1,2,-,1,3,-,-,-,10
性/年齢別男性20歳代,100.0,42.1,21.1,15.8,31.6,5.3,5.3,5.3,10.5,-,5.3,15.8,-,-,-,52.6
性/年齢別男性30歳代,49,31,14,9,15,2,2,1,4,1,5,6,1,2,-,14
