,調査数,投票するべき（計）,必ず投票するべき,可能な限り投票するべき,投票するのもしないのも自由,その他,わからない、答えたくない,無回答
全体実数,1827,1484,703,781,315,11,15,2
全体（％）,100.0,81.2,38.5,42.7,17.2,0.6,0.8,0.1
性別男性実数,882,719,365,354,149,6,8,-
性別男性（％）,100.0,81.5,41.4,40.1,16.9,0.7,0.9,-
性別女性実数,945,765,338,427,166,5,7,2
性別女性（％）,100.0,81.0,35.8,45.2,17.6,0.5,0.7,0.2
年齢別20歳代実数,174,120,44,76,52,-,2,-
年齢別20歳代（％）,100.0,69.0,25.3,43.7,29.9,-,1.1,-
年齢別30歳代実数,261,189,74,115,68,1,3,-
年齢別30歳代（％）,100.0,72.4,28.4,44.1,26.1,0.4,1.1,-
年齢別40歳代実数,365,302,131,171,60,1,1,1
年齢別40歳代（％）,100.0,82.7,35.9,46.8,16.4,0.3,0.3,0.3
年齢別50歳代実数,294,233,103,130,54,4,3,-
年齢別50歳代（％）,100.0,79.3,35.0,44.2,18.4,1.4,1.0,-
年齢別60歳代実数,313,268,137,131,41,2,2,-
年齢別60歳代（％）,100.0,85.6,43.8,41.9,13.1,0.6,0.6,-
年齢別70歳代実数,296,263,159,104,29,1,3,-
年齢別70歳代（％）,100.0,88.9,53.7,35.1,9.8,0.3,1.0,-
年齢別80歳以上実数,124,109,55,54,11,2,1,1
年齢別80歳以上（％）,100.0,87.9,44.4,43.5,8.9,1.6,0.8,0.8
性/年齢別男性20歳代実数,92,64,22,42,26,-,2,-
性/年齢別男性20歳代（％）,100.0,69.6,23.9,45.7,28.3,-,2.2,-
性/年齢別男性30歳代実数,118,84,34,50,33,-,1,-
性/年齢別男性30歳代（％）,100.0,71.2,28.8,42.4,28.0,-,0.8,-
性/年齢別男性40歳代実数,174,145,68,77,27,1,1,-
性/年齢別男性40歳代（％）,100.0,83.3,39.1,44.3,15.5,0.6,0.6,-
性/年齢別男性50歳代実数,161,128,59,69,31,1,1,-
性/年齢別男性50歳代（％）,100.0,79.5,36.6,42.9,19.3,0.6,0.6,-
性/年齢別男性60歳代実数,153,131,75,56,19,2,1,-
性/年齢別男性60歳代（％）,100.0,85.6,49.0,36.6,12.4,1.3,0.7,-
性/年齢別男性70歳代実数,134,119,78,41,13,1,1,-
性/年齢別男性70歳代（％）,100.0,88.8,58.2,30.6,9.7,0.7,0.7,-
性/年齢別男性80歳以上実数,50,48,29,19,-,1,1,-
性/年齢別男性80歳以上（％）,100.0,96.0,58.0,38.0,-,2.0,2.0,-
性/年齢別女性20歳代実数,82,56,22,34,26,-,-,-
性/年齢別女性20歳代（％）,100.0,68.3,26.8,41.5,31.7,-,-,-
性/年齢別女性30歳代実数,143,105,40,65,35,1,2,-
性/年齢別女性30歳代（％）,100.0,73.4,28.0,45.5,24.5,0.7,1.4,-
性/年齢別女性40歳代実数,191,157,63,94,33,-,-,1
性/年齢別女性40歳代（％）,100.0,82.2,33.0,49.2,17.3,-,-,0.5
性/年齢別女性50歳代実数,133,105,44,61,23,3,2,-
性/年齢別女性50歳代（％）,100.0,78.9,33.1,45.9,17.3,2.3,1.5,-
性/年齢別女性60歳代実数,160,137,62,75,22,-,1,-
性/年齢別女性60歳代（％）,100.0,85.6,38.8,46.9,13.8,-,0.6,-
性/年齢別女性70歳代実数,162,144,81,63,16,-,2,-
性/年齢別女性70歳代（％）,100.0,88.9,50.0,38.9,9.9,-,1.2,-
性/年齢別女性80歳以上実数,74,61,26,35,11,1,-,1
性/年齢別女性80歳以上（％）,100.0,82.4,35.1,47.3,14.9,1.4,-,1.4
未・既婚別未婚実数,453,307,111,196,138,1,7,-
未・既婚別未婚（％）,100.0,67.8,24.5,43.3,30.5,0.2,1.5,-
未・既婚別既婚（死別・離別を含む）実数,1366,1170,589,581,176,10,8,2
未・既婚別既婚（死別・離別を含む）（％）,100.0,85.7,43.1,42.5,12.9,0.7,0.6,0.1
子供の有無別子供はいない実数,642,472,188,284,156,4,10,-
子供の有無別子供はいない（％）,100.0,73.5,29.3,44.2,24.3,0.6,1.6,-
子供の有無別未就学（～６歳）実数,180,151,63,88,26,1,2,-
子供の有無別未就学（～６歳）（％）,100.0,83.9,35.0,48.9,14.4,0.6,1.1,-
子供の有無別小・中・高校生実数,270,227,107,120,40,2,-,1
子供の有無別小・中・高校生（％）,100.0,84.1,39.6,44.4,14.8,0.7,-,0.4
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,95,45,50,10,1,-,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,89.6,42.5,47.2,9.4,0.9,-,-
子供の有無別学校教育終了実数,743,642,351,291,93,4,3,1
子供の有無別学校教育終了（％）,100.0,86.4,47.2,39.2,12.5,0.5,0.4,0.1
子供の有無別その他実数,7,6,1,5,1,-,-,-
子供の有無別その他（％）,100.0,85.7,14.3,71.4,14.3,-,-,-
職業別自営業（計）実数,152,124,63,61,24,1,3,-
職業別自営業（計）（％）,100.0,81.6,41.4,40.1,15.8,0.7,2.0,-
職業別農林漁業実数,3,2,1,1,-,-,1,-
職業別農林漁業（％）,100.0,66.7,33.3,33.3,-,-,33.3,-
職業別商工・サービス業実数,96,78,39,39,15,1,2,-
職業別商工・サービス業（％）,100.0,81.3,40.6,40.6,15.6,1.0,2.1,-
職業別その他自由業実数,53,44,23,21,9,-,-,-
職業別その他自由業（％）,100.0,83.0,43.4,39.6,17.0,-,-,-
職業別お勤め（計）実数,934,740,321,419,183,6,5,-
職業別お勤め（計）（％）,100.0,79.2,34.4,44.9,19.6,0.6,0.5,-
職業別経営・管理職実数,94,81,48,33,11,2,-,-
職業別経営・管理職（％）,100.0,86.2,51.1,35.1,11.7,2.1,-,-
職業別専門職・技術職実数,243,195,84,111,47,1,-,-
職業別専門職・技術職（％）,100.0,80.2,34.6,45.7,19.3,0.4,-,-
職業別事務職実数,249,211,97,114,34,3,1,-
職業別事務職（％）,100.0,84.7,39.0,45.8,13.7,1.2,0.4,-
職業別労務職・技能職実数,111,77,29,48,32,-,2,-
職業別労務職・技能職（％）,100.0,69.4,26.1,43.2,28.8,-,1.8,-
職業別販売・サービス職実数,237,176,63,113,59,-,2,-
職業別販売・サービス職（％）,100.0,74.3,26.6,47.7,24.9,-,0.8,-
職業別その他（計）実数,732,612,316,296,107,4,7,2
職業別その他（計）（％）,100.0,83.6,43.2,40.4,14.6,0.5,1.0,0.3
職業別生徒・学生実数,35,28,12,16,7,-,-,-
職業別生徒・学生（％）,100.0,80.0,34.3,45.7,20.0,-,-,-
職業別専業主婦（夫）実数,309,259,125,134,46,1,2,1
職業別専業主婦（夫）（％）,100.0,83.8,40.5,43.4,14.9,0.3,0.6,0.3
職業別その他実数,18,14,9,5,4,-,-,-
職業別その他（％）,100.0,77.8,50.0,27.8,22.2,-,-,-
職業別無職（年金受給者含む）実数,370,311,170,141,50,3,5,1
職業別無職（年金受給者含む）（％）,100.0,84.1,45.9,38.1,13.5,0.8,1.4,0.3
投票所までの時間別５分以内実数,712,609,317,292,94,5,4,-
投票所までの時間別５分以内（％）,100.0,85.5,44.5,41.0,13.2,0.7,0.6,-
投票所までの時間別10分以内実数,769,619,283,336,140,4,5,1
投票所までの時間別10分以内（％）,100.0,80.5,36.8,43.7,18.2,0.5,0.7,0.1
投票所までの時間別20分以内実数,245,195,81,114,46,1,3,-
投票所までの時間別20分以内（％）,100.0,79.6,33.1,46.5,18.8,0.4,1.2,-
投票所までの時間別30分以内実数,38,30,12,18,7,-,-,1
投票所までの時間別30分以内（％）,100.0,78.9,31.6,47.4,18.4,-,-,2.6
投票所までの時間別30分を超える実数,11,8,3,5,3,-,-,-
投票所までの時間別30分を超える（％）,100.0,72.7,27.3,45.5,27.3,-,-,-
投票所までの時間別わからない実数,48,20,5,15,24,1,3,-
投票所までの時間別わからない（％）,100.0,41.7,10.4,31.3,50.0,2.1,6.3,-
地域別区部（計）実数,1189,973,467,506,197,9,9,1
地域別区部（計）（％）,100.0,81.8,39.3,42.6,16.6,0.8,0.8,0.1
地域別センターコア実数,314,259,126,133,47,5,3,-
地域別センターコア（％）,100.0,82.5,40.1,42.4,15.0,1.6,1.0,-
地域別区部東部・北部エリア実数,382,300,137,163,76,2,3,1
地域別区部東部・北部エリア（％）,100.0,78.5,35.9,42.7,19.9,0.5,0.8,0.3
地域別区部西部・南部エリア実数,493,414,204,210,74,2,3,-
地域別区部西部・南部エリア（％）,100.0,84.0,41.4,42.6,15.0,0.4,0.6,-
地域別市郡部（計）実数,638,511,236,275,118,2,6,1
地域別市郡部（計）（％）,100.0,80.1,37.0,43.1,18.5,0.3,0.9,0.2
地域別多摩東部エリア実数,239,194,88,106,45,-,-,-
地域別多摩東部エリア（％）,100.0,81.2,36.8,44.4,18.8,-,-,-
