,調査数,候補者・政党等のホームページ・ブログ,候補者等のツイッター・フェイスブック等のＳＮＳ［LINEはＳＮＳの扱い］,候補者等からのメール,YouTubeなど動画共有サイトでの選挙関連の動画,候補者・政党以外のホームページ・ブログ,候補者・政党以外のツイッター・フェイスブック等のＳＮＳ［LINEはＳＮＳの扱い］ニュー,ニュースサイトや選挙情報サイト,まとめサイトや電子掲示板などその他のサイト,その他,触れていない、見ていない,わからない、忘れた,無回答
全体実数,1246,146,71,10,46,59,38,251,75,3,809,39,25
全体（％）,100.0,11.7,5.7,0.8,3.7,4.7,3.0,20.1,6.0,0.2,64.9,3.1,2.0
性別男性実数,617,91,36,7,28,35,21,149,45,1,362,18,12
性別男性（％）,100.0,14.7,5.8,1.1,4.5,5.7,3.4,24.1,7.3,0.2,58.7,2.9,1.9
性別女性実数,629,55,35,3,18,24,17,102,30,2,447,21,13
性別女性（％）,100.0,8.7,5.6,0.5,2.9,3.8,2.7,16.2,4.8,0.3,71.1,3.3,2.1
年齢別20歳代実数,91,16,10,-,6,10,8,34,20,-,34,5,-
年齢別20歳代（％）,100.0,17.6,11.0,-,6.6,11.0,8.8,37.4,22.0,-,37.4,5.5,-
年齢別30歳代実数,161,27,21,1,9,12,12,49,15,1,86,5,1
年齢別30歳代（％）,100.0,16.8,13.0,0.6,5.6,7.5,7.5,30.4,9.3,0.6,53.4,3.1,0.6
年齢別40歳代実数,247,49,24,1,19,21,12,81,31,1,127,3,3
年齢別40歳代（％）,100.0,19.8,9.7,0.4,7.7,8.5,4.9,32.8,12.6,0.4,51.4,1.2,1.2
年齢別50歳代実数,195,22,13,2,6,8,3,44,6,-,126,5,1
年齢別50歳代（％）,100.0,11.3,6.7,1.0,3.1,4.1,1.5,22.6,3.1,-,64.6,2.6,0.5
年齢別60歳代実数,233,24,-,2,4,6,1,29,3,-,172,7,7
年齢別60歳代（％）,100.0,10.3,-,0.9,1.7,2.6,0.4,12.4,1.3,-,73.8,3.0,3.0
年齢別70歳代実数,239,7,3,2,2,2,2,12,-,1,198,8,9
年齢別70歳代（％）,100.0,2.9,1.3,0.8,0.8,0.8,0.8,5.0,-,0.4,82.8,3.3,3.8
年齢別80歳以上実数,80,1,-,2,-,-,-,2,-,-,66,6,4
年齢別80歳以上（％）,100.0,1.3,-,2.5,-,-,-,2.5,-,-,82.5,7.5,5.0
性/年齢別男性20歳代実数,49,10,5,-,5,3,3,16,13,-,20,1,-
性/年齢別男性20歳代（％）,100.0,20.4,10.2,-,10.2,6.1,6.1,32.7,26.5,-,40.8,2.0,-
性/年齢別男性30歳代実数,75,16,10,1,5,8,6,29,8,-,33,2,1
性/年齢別男性30歳代（％）,100.0,21.3,13.3,1.3,6.7,10.7,8.0,38.7,10.7,-,44.0,2.7,1.3
性/年齢別男性40歳代実数,116,28,9,-,9,11,7,46,17,1,49,1,1
性/年齢別男性40歳代（％）,100.0,24.1,7.8,-,7.8,9.5,6.0,39.7,14.7,0.9,42.2,0.9,0.9
性/年齢別男性50歳代実数,107,17,9,1,5,7,2,33,6,-,55,4,1
性/年齢別男性50歳代（％）,100.0,15.9,8.4,0.9,4.7,6.5,1.9,30.8,5.6,-,51.4,3.7,0.9
性/年齢別男性60歳代実数,117,14,-,2,4,4,1,15,1,-,82,5,3
性/年齢別男性60歳代（％）,100.0,12.0,-,1.7,3.4,3.4,0.9,12.8,0.9,-,70.1,4.3,2.6
性/年齢別男性70歳代実数,116,5,3,1,-,2,2,8,-,-,94,4,3
性/年齢別男性70歳代（％）,100.0,4.3,2.6,0.9,-,1.7,1.7,6.9,-,-,81.0,3.4,2.6
性/年齢別男性80歳以上実数,37,1,-,2,-,-,-,2,-,-,29,1,3
性/年齢別男性80歳以上（％）,100.0,2.7,-,5.4,-,-,-,5.4,-,-,78.4,2.7,8.1
性/年齢別女性20歳代実数,42,6,5,-,1,7,5,18,7,-,14,4,-
性/年齢別女性20歳代（％）,100.0,14.3,11.9,-,2.4,16.7,11.9,42.9,16.7,-,33.3,9.5,-
性/年齢別女性30歳代実数,86,11,11,-,4,4,6,20,7,1,53,3,-
性/年齢別女性30歳代（％）,100.0,12.8,12.8,-,4.7,4.7,7.0,23.3,8.1,1.2,61.6,3.5,-
性/年齢別女性40歳代実数,131,21,15,1,10,10,5,35,14,-,78,2,2
性/年齢別女性40歳代（％）,100.0,16.0,11.5,0.8,7.6,7.6,3.8,26.7,10.7,-,59.5,1.5,1.5
性/年齢別女性50歳代実数,88,5,4,1,1,1,1,11,-,-,71,1,-
性/年齢別女性50歳代（％）,100.0,5.7,4.5,1.1,1.1,1.1,1.1,12.5,-,-,80.7,1.1,-
性/年齢別女性60歳代実数,116,10,-,-,-,2,-,14,2,-,90,2,4
性/年齢別女性60歳代（％）,100.0,8.6,-,-,-,1.7,-,12.1,1.7,-,77.6,1.7,3.4
性/年齢別女性70歳代実数,123,2,-,1,2,-,-,4,-,1,104,4,6
性/年齢別女性70歳代（％）,100.0,1.6,-,0.8,1.6,-,-,3.3,-,0.8,84.6,3.3,4.9
性/年齢別女性80歳以上実数,43,-,-,-,-,-,-,-,-,-,37,5,1
性/年齢別女性80歳以上（％）,100.0,-,-,-,-,-,-,-,-,-,86.0,11.6,2.3
未・既婚別未婚実数,248,35,23,2,15,20,15,69,33,1,130,11,2
未・既婚別未婚（％）,100.0,14.1,9.3,0.8,6.0,8.1,6.0,27.8,13.3,0.4,52.4,4.4,0.8
