質問,n,関心があった(%),やや関心があった(%),どちらともいえない(%),あまり関心がなかった(%),関心がなかった(%),わからない(%),関心があった(計)(%),関心がなかった(計)(%)
全体,(2011),31.6,26.6,14.8,15.7,10.8,0.5,58.2,26.5
性別男性,(950),33.2,25.4,16.4,13.3,11.4,0.4,58.5,24.6
性別女性,(1061),30.3,27.6,13.4,17.9,10.3,0.6,57.9,28.2
年齢別20歳代,(295),9.2,13.9,18.3,29.5,27.8,1.4,23.1,57.3
年齢別30歳代,(355),20.3,29.6,18.0,18.6,13.0,0.6,49.9,31.5
年齢別40歳代,(398),27.4,35.9,13.6,14.6,8.5,0,63.3,23.1
年齢別50歳代,(293),39.6,25.6,14.7,14.0,5.5,0.7,65.2,19.5
年齢別60歳代,(327),47.1,26.0,11.0,11.6,4.3,0,73.1,15.9
年齢別70歳代,(232),48.3,24.1,14.2,7.3,6.0,0,72.4,13.4
年齢別80歳以上,(90),40.0,26.7,12.2,7.8,11.1,2.2,66.7,18.9
未・既婚別未婚,(801),19.7,23.3,15.9,21.3,18.6,1.1,43.1,40.0
未・既婚別既婚,(1188),39.7,28.9,13.8,12.1,5.4,0.1,68.6,17.5
