,参議院議員選挙/調査数,参議院議員選挙/国政全体、都政全体のことを考えてくれる人だと思ったから,参議院議員選挙/自分の日常の暮らしを守ってくれる人だと思ったから,参議院議員選挙/候補者の政策や主張に賛成だから,参議院議員選挙/地元の利益を考えてくれる人だと思ったから,参議院議員選挙/自分の仕事や職業上の利益を守ってくれる人だと思ったから,参議院議員選挙/テレビや新聞などマスコミを通して知っている人だから,参議院議員選挙/人柄、経歴などから国政、都政を託すのに最適な人だと思ったから,参議院議員選挙/自分の支持する政党の推薦する人だから,参議院議員選挙/団体や組織や知人に頼まれたから,参議院議員選挙/テレビやラジオ、新聞等メディアの報道内容からふさわしい人だと思ったから,参議院議員選挙/ホームページやＳＮＳ等のインターネット上の情報を見てふさわしい人だと思ったから,参議院議員選挙/家族や友人との選挙に関する話の中で、ふさわしい人だと思ったから,参議院議員選挙/ポスターや選挙公報などを見て、ふさわしい人だと思ったから,参議院議員選挙/その他,参議院議員選挙/特に理由はない（なんとなく）,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/国政全体、都政全体のことを考えてくれる人だと思ったから,東京都知事選挙/自分の日常の暮らしを守ってくれる人だと思ったから,東京都知事選挙/候補者の政策や主張に賛成だから,東京都知事選挙/地元の利益を考えてくれる人だと思ったから,東京都知事選挙/自分の仕事や職業上の利益を守ってくれる人だと思ったから,東京都知事選挙/テレビや新聞などマスコミを通して知っている人だから,東京都知事選挙/人柄、経歴などから国政、都政を託すのに最適な人だと思ったから,東京都知事選挙/自分の支持する政党の推薦する人だから,東京都知事選挙/団体や組織や知人に頼まれたから,東京都知事選挙/テレビやラジオ、新聞等メディアの報道内容からふさわしい人だと思ったから,東京都知事選挙/ホームページやＳＮＳ等のインターネット上の情報を見てふさわしい人だと思ったから,東京都知事選挙/家族や友人との選挙に関する話の中で、ふさわしい人だと思ったから,東京都知事選挙/ポスターや選挙公報などを見て、ふさわしい人だと思ったから,東京都知事選挙/その他,東京都知事選挙/特に理由はない（なんとなく）,東京都知事選挙/わからない
全体,1435,874,319,584,49,29,234,373,285,71,197,35,44,118,10,56,10,1491,932,350,695,64,27,443,420,139,38,271,47,53,113,13,42,7
全体,100.0,60.9,22.2,40.7,3.4,2.0,16.3,26.0,19.9,4.9,13.7,2.4,3.1,8.2,0.7,3.9,0.7,100.0,62.5,23.5,46.6,4.3,1.8,29.7,28.2,9.3,2.5,18.2,3.2,3.6,7.6,0.9,2.8,0.5
性別男性,673,403,154,283,25,18,108,186,148,23,98,23,20,52,5,19,3,696,431,160,321,29,15,181,199,77,11,133,29,25,48,8,16,3
性別男性,100.0,59.9,22.9,42.1,3.7,2.7,16.0,27.6,22.0,3.4,14.6,3.4,3.0,7.7,0.7,2.8,0.4,100.0,61.9,23.0,46.1,4.2,2.2,26.0,28.6,11.1,1.6,19.1,4.2,3.6,6.9,1.1,2.3,0.4
性別女性,762,471,165,301,24,11,126,187,137,48,99,12,24,66,5,37,7,795,501,190,374,35,12,262,221,62,27,138,18,28,65,5,26,4
性別女性,100.0,61.8,21.7,39.5,3.1,1.4,16.5,24.5,18.0,6.3,13.0,1.6,3.1,8.7,0.7,4.9,0.9,100.0,63.0,23.9,47.0,4.4,1.5,33.0,27.8,7.8,3.4,17.4,2.3,3.5,8.2,0.6,3.3,0.5
年齢別18歳,6,5,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,6,5,-,1,-,-,1,-,-,-,1,-,-,-,-,1,-
年齢別18歳,100.0,83.3,-,16.7,-,-,-,-,-,-,16.7,-,-,-,-,16.7,-,100.0,83.3,-,16.7,-,-,16.7,-,-,-,16.7,-,-,-,-,16.7,-
年齢別19歳,10,3,1,5,-,-,4,1,1,-,1,-,-,1,-,2,-,11,3,1,5,-,-,4,1,1,-,1,-,-,1,-,3,-
年齢別19歳,100.0,30.0,10.0,50.0,-,-,40.0,10.0,10.0,-,10.0,-,-,10.0,-,20.0,-,100.0,27.3,9.1,45.5,-,-,36.4,9.1,9.1,-,9.1,-,-,9.1,-,27.3,-
