質問,n,テレビ(%),新聞(%),携帯電話・スマートフォン・タブレット等でのインターネット(%),パソコンでのインターネット(%),ラジオ(%),雑誌(%),特にない(%)
全体,(2011),89.8,59.2,44.3,39.2,12.3,11.0,0.9
性別男性,(950),88.2,61.3,43.4,42.2,13.2,10.5,1.2
性別女性,(1061),91.2,57.3,45.1,36.6,11.5,11.4,0.7
年齢別20歳代,(295),82.4,21.0,91.9,49.8,3.4,8.8,0.3
年齢別30歳代,(355),85.4,42.0,73.8,59.7,8.2,11.3,0.8
年齢別40歳代,(398),88.7,58.3,57.0,50.5,13.1,12.3,0.5
年齢別50歳代,(293),92.5,74.7,30.0,42.3,15.4,13.7,0.3
年齢別60歳代,(327),96.6,80.1,7.6,23.5,17.1,12.5,1.2
年齢別70歳代,(232),94.8,81.9,3.4,8.2,15.9,7.3,0.9
年齢別80歳以上,(90),90.0,70.0,0,0,17.8,4.4,5.6
