,調査数,ネット上の情報が一番参考になった,参考にしたが、その他の情報の方が役にたった,ほとんど参考にしなかった,わからない,無回答
全体,999,74,123,549,215,38
全体,100.0,7.4,12.3,55.0,21.5,3.8
性別男性,485,42,66,256,105,16
性別男性,100.0,8.7,13.6,52.8,21.6,3.3
性別女性,514,32,57,293,110,22
性別女性,100.0,6.2,11.1,57.0,21.4,4.3
年齢20歳代,52,10,13,24,5,-
年齢20歳代,100.0,19.2,25.0,46.2,9.6,-
年齢30歳代,145,28,28,74,11,4
年齢30歳代,100.0,19.3,19.3,51.0,7.6,2.8
年齢40歳代,217,14,42,124,34,3
年齢40歳代,100.0,6.5,19.4,57.1,15.7,1.4
年齢50歳代,178,14,18,119,24,3
年齢50歳代,100.0,7.9,10.1,66.9,13.5,1.7
年齢60歳代,213,5,17,129,50,12
年齢60歳代,100.0,2.3,8.0,60.6,23.5,5.6
年齢70歳代,151,3,3,60,74,11
年齢70歳代,100.0,2.0,2.0,39.7,49.0,7.3
年齢80歳以上,36,-,1,14,16,5
年齢80歳以上,100.0,-,2.8,38.9,44.4,13.9
性／年齢別男性20歳代,28,7,7,11,3,-
性／年齢別男性20歳代,100.0,25.0,25.0,39.3,10.7,-
性／年齢別男性30歳代,66,15,12,34,4,1
性／年齢別男性30歳代,100.0,22.7,18.2,51.5,6.1,1.5
性／年齢別男性40歳代,92,9,21,51,11,-
性／年齢別男性40歳代,100.0,9.8,22.8,55.4,12.0,-
性／年齢別男性50歳代,93,8,14,58,12,1
性／年齢別男性50歳代,100.0,8.6,15.1,62.4,12.9,1.1
性／年齢別男性60歳代,110,2,8,68,27,5
性／年齢別男性60歳代,100.0,1.8,7.3,61.8,24.5,4.5
性／年齢別男性70歳代,75,1,3,27,39,5
性／年齢別男性70歳代,100.0,1.3,4.0,36.0,52.0,6.7
性／年齢別男性80歳以上,20,-,1,7,8,4
性／年齢別男性80歳以上,100.0,-,5.0,35.0,40.0,20.0
性／年齢別女性20歳代,24,3,6,13,2,-
性／年齢別女性20歳代,100.0,12.5,25.0,54.2,8.3,-
性／年齢別女性30歳代,79,13,16,40,7,3
性／年齢別女性30歳代,100.0,16.5,20.3,50.6,8.9,3.8
性／年齢別女性40歳代,125,5,21,73,23,3
性／年齢別女性40歳代,100.0,4.0,16.8,58.4,18.4,2.4
性／年齢別女性50歳代,85,6,4,61,12,2
性／年齢別女性50歳代,100.0,7.1,4.7,71.8,14.1,2.4
性／年齢別女性60歳代,103,3,9,61,23,7
性／年齢別女性60歳代,100.0,2.9,8.7,59.2,22.3,6.8
性／年齢別女性70歳代,76,2,-,33,35,6
性／年齢別女性70歳代,100.0,2.6,-,43.4,46.1,7.9
性／年齢別女性80歳以上,16,-,-,7,8,1
性／年齢別女性80歳以上,100.0,-,-,43.8,50.0,6.3
未・既婚別未婚（死別・離別を含む）,279,38,35,140,57,9
未・既婚別未婚（死別・離別を含む）,100.0,13.6,12.5,50.2,20.4,3.2
未・既婚別既婚,711,35,88,405,155,28
未・既婚別既婚,100.0,4.9,12.4,57.0,21.8,3.9
子供の有無別子供はいない,280,37,46,148,43,6
子供の有無別子供はいない,100.0,13.2,16.4,52.9,15.4,2.1
子供の有無別未就学（～６歳）,70,8,14,35,11,2
子供の有無別未就学（～６歳）,100.0,11.4,20.0,50.0,15.7,2.9
子供の有無別小・中・高校生,185,14,30,109,28,4
子供の有無別小・中・高校生,100.0,7.6,16.2,58.9,15.1,2.2
子供の有無別大学生・大学院生・短大生・専門学校生,63,2,11,44,5,1
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,3.2,17.5,69.8,7.9,1.6
子供の有無別学校教育終了,415,11,27,230,125,22
子供の有無別学校教育終了,100.0,2.7,6.5,55.4,30.1,5.3
子供の有無別その他,8,1,-,4,1,2
子供の有無別その他,100.0,12.5,-,50.0,12.5,25.0
職業別自営業（計）,92,10,16,39,22,5
