,ア）投票日前に投票できる制度（期日前投票）があること／調査数,ア）投票日前に投票できる制度（期日前投票）があること／知っている,ア）投票日前に投票できる制度（期日前投票）があること／知らなかった,イ）仕事や買い物、旅行などを理由として期日投票ができること／調査数,イ）仕事や買い物、旅行などを理由として期日投票ができること／知っている,イ）仕事や買い物、旅行などを理由として期日投票ができること／知らなかった,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／調査数,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／知っている,ウ）印鑑や身分証明書などを持参しなくても、期日前投票ができること／知らなかった,エ）期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間）／調査数,エ）期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間）／知っている,エ）期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間）知らなかった,オ）期日前投票は夜の８時までできること／調査数,オ）期日前投票は夜の８時までできること／知っている,オ）期日前投票は夜の８時までできること／知らなかった,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／調査数,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／知っている,カ）期日前投票ができる場所が東京都の特設ＨＰに掲載されていること／知らなかった
全体,1823,1699,124,1699,1564,135,1699,1210,489,1699,1178,521,1699,1163,536,1699,319,1380
全体,100.0,93.2,6.8,100.0,92.1,7.9,100.0,71.2,28.8,100.0,69.3,30.7,100.0,68.5,31.5,100.0,18.8,81.2
性別男性,852,806,46,806,752,54,806,583,223,806,584,222,806,558,248,806,183,623
性別男性,100.0,94.6,5.4,100.0,93.3,6.7,100.0,72.3,27.7,100.0,72.5,27.5,100.0,69.2,30.8,100.0,22.7,77.3
性別女性,971,893,78,893,812,81,893,627,266,893,594,299,893,605,288,893,136,757
性別女性,100.0,92.0,8.0,100.0,90.9,9.1,100.0,70.2,29.8,100.0,66.5,33.5,100.0,67.7,32.3,100.0,15.2,84.8
年齢別18歳,7,6,1,6,4,2,6,1,5,6,1,5,6,3,3,6,2,4
年齢別18歳,100.0,85.7,14.3,100.0,66.7,33.3,100.0,16.7,83.3,100.0,16.7,83.3,100.0,50.0,50.0,100.0,33.3,66.7
年齢別19歳,20,17,3,17,15,2,17,8,9,17,6,11,17,8,9,17,3,14
年齢別19歳,100.0,85.0,15.0,100.0,88.2,11.8,100.0,47.1,52.9,100.0,35.3,64.7,100.0,47.1,52.9,100.0,17.6,82.4
年齢別20歳代,164,143,21,143,124,19,143,93,50,143,79,64,143,78,65,143,32,111
年齢別20歳代,100.0,87.2,12.8,100.0,86.7,13.3,100.0,65.0,35.0,100.0,55.2,44.8,100.0,54.5,45.5,100.0,22.4,77.6
年齢別30歳代,257,245,12,245,223,22,245,173,72,245,162,83,245,158,87,245,58,187
年齢別30歳代,100.0,95.3,4.7,100.0,91.0,9.0,100.0,70.6,29.4,100.0,66.1,33.9,100.0,64.5,35.5,100.0,23.7,76.3
年齢別40歳代,398,382,16,382,347,35,382,268,114,382,271,111,382,282,100,382,78,304
年齢別40歳代,100.0,96.0,4.0,100.0,90.8,9.2,100.0,70.2,29.8,100.0,70.9,29.1,100.0,73.8,26.2,100.0,20.4,79.6
年齢別50歳代,311,305,6,305,281,24,305,223,82,305,230,75,305,229,76,305,67,238
年齢別50歳代,100.0,98.1,1.9,100.0,92.1,7.9,100.0,73.1,26.9,100.0,75.4,24.6,100.0,75.1,24.9,100.0,22.0,78.0
年齢別60歳代,337,313,24,313,303,10,313,243,70,313,239,74,313,225,88,313,49,264
年齢別60歳代,100.0,92.9,7.1,100.0,96.8,3.2,100.0,77.6,22.4,100.0,76.4,23.6,100.0,71.9,28.1,100.0,15.7,84.3
