,参議院議員選挙／調査数,参議院議員選挙／読んだ（計）,参議院議員選挙／よく読んだ,参議院議員選挙／一通りざっと読んだ,参議院議員選挙／一部分だけ読んだ,参議院議員選挙／読まなかった,東京都知事選挙／調査数,東京都知事選挙／読んだ（計）,東京都知事選挙／よく読んだ,東京都知事選挙／一通りざっと読んだ,東京都知事選挙／一部分だけ読んだ,東京都知事選挙／読まなかった
全体,1208,1125,271,686,168,83,1232,1162,315,690,157,70
全体,100.0,93.1,22.4,56.8,13.9,6.9,100.0,94.3,25.6,56.0,12.7,5.7
性別男性,571,539,151,311,77,32,577,547,169,303,75,30
性別男性,100.0,94.4,26.4,54.5,13.5,5.6,100.0,94.8,29.3,52.5,13.0,5.2
性別女性,637,586,120,375,91,51,655,615,146,387,82,40
性別女性,100.0,92.0,18.8,58.9,14.3,8.0,100.0,93.9,22.3,59.1,12.5,6.1
年齢別18歳,3,3,1,2,-,-,3,3,1,2,-,-
年齢別18歳,100.0,100.0,33.3,66.7,-,-,100.0,100.0,33.3,66.7,-,-
年齢別19歳,6,5,-,4,1,1,6,5,-,4,1,1
年齢別19歳,100.0,83.3,-,66.7,16.7,16.7,100.0,83.3,-,66.7,16.7,16.7
年齢別20歳代,59,49,3,32,14,10,61,51,4,33,14,10
年齢別20歳代,100.0,83.1,5.1,54.2,23.7,16.9,100.0,83.6,6.6,54.1,23.0,16.4
年齢別30歳代,151,130,25,72,33,21,159,140,32,74,34,19
年齢別30歳代,100.0,86.1,16.6,47.7,21.9,13.9,100.0,88.1,20.1,46.5,21.4,11.9
年齢別40歳代,274,253,54,162,37,21,279,262,67,165,30,17
年齢別40歳代,100.0,92.3,19.7,59.1,13.5,7.7,100.0,93.9,24.0,59.1,10.8,6.1
年齢別50歳代,230,224,59,135,30,6,233,228,67,131,30,5
年齢別50歳代,100.0,97.4,25.7,58.7,13.0,2.6,100.0,97.9,28.8,56.2,12.9,2.1
年齢別60歳代,251,243,61,150,32,8,254,248,70,150,28,6
年齢別60歳代,100.0,96.8,24.3,59.8,12.7,3.2,100.0,97.6,27.6,59.1,11.0,2.4
年齢別70歳代,176,162,48,100,14,14,178,167,54,100,13,11
年齢別70歳代,100.0,92.0,27.3,56.8,8.0,8.0,100.0,93.8,30.3,56.2,7.3,6.2
年齢別80歳以上,58,56,20,29,7,2,59,58,20,31,7,1
年齢別80歳以上,100.0,96.6,34.5,50.0,12.1,3.4,100.0,98.3,33.9,52.5,11.9,1.7
性/年齢別男性18歳,1,1,-,1,-,-,1,1,-,1,-,-
性/年齢別男性18歳,100.0,100.0,-,100.0,-,-,100.0,100.0,-,100.0,-,-
性/年齢別男性19歳,5,4,-,3,1,1,5,4,-,3,1,1
性/年齢別男性19歳,100.0,80.0,-,60.0,20.0,20.0,100.0,80.0,-,60.0,20.0,20.0
性/年齢別男性20歳代,26,19,1,13,5,7,26,19,1,13,5,7
性/年齢別男性20歳代,100.0,73.1,3.8,50.0,19.2,26.9,100.0,73.1,3.8,50.0,19.2,26.9
性/年齢別男性30歳代,76,68,15,36,17,8,80,73,19,35,19,7
