,参議院議員選挙/調査数,参議院議員選挙/当選させたい候補者がいたから,参議院議員選挙/自分の支持する政党の推す候補者を当選させたかったから,参議院議員選挙/国政、都政をよくするためには、投票することが大切だと思ったから,参議院議員選挙/今の政治がよくないので、変えたいと思ったから,参議院議員選挙/自分の関係する団体、組織、知り合いの人に投票を頼まれたから,参議院議員選挙/投票することは、義務であるから,参議院議員選挙/投票することは、権利であるから,参議院議員選挙/当選させたくない候補者がいたから,参議院議員選挙/友人や家族が行くから、なんとなく,参議院議員選挙/投票率が気になったから,参議院議員選挙/テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから,参議院議員選挙/インターネット上の情報を見て興味を持ったから,参議院議員選挙/その他,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/当選させたい候補者がいたから,東京都知事選挙/自分の支持する政党の推す候補者を当選させたかったから,東京都知事選挙/国政、都政をよくするためには、投票することが大切だと思ったから,東京都知事選挙/今の政治がよくないので、変えたいと思ったから,東京都知事選挙/自分の関係する団体、組織、知り合いの人に投票を頼まれたから,東京都知事選挙/投票することは、義務であるから,東京都知事選挙/投票することは、権利であるから,東京都知事選挙/当選させたくない候補者がいたから,東京都知事選挙/友人や家族が行くから、なんとなく,東京都知事選挙/投票率が気になったから,東京都知事選挙/テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから,東京都知事選挙/インターネット上の情報を見て興味を持ったから,東京都知事選挙/その他,東京都知事選挙/わからない
全体,1435,524,501,754,387,80,409,378,51,36,40,87,24,2,14,1491,766,293,781,423,48,406,383,57,43,47,158,33,3,9
全体,100.0,36.5,34.9,52.5,27.0,5.6,28.5,26.3,3.6,2.5,2.8,6.1,1.7,0.1,1.0,100.0,51.4,19.7,52.4,28.4,3.2,27.2,25.7,3.8,2.9,3.2,10.6,2.2,0.2,0.6
性別男性,673,268,247,347,188,28,204,193,23,13,24,41,13,1,4,696,358,153,357,196,14,202,196,28,17,27,70,18,2,2
性別男性,100.0,39.8,36.7,51.6,27.9,4.2,30.3,28.7,3.4,1.9,3.6,6.1,1.9,0.1,0.6,100.0,51.4,22.0,51.3,28.2,2.0,29.0,28.2,4.0,2.4,3.9,10.1,2.6,0.3,0.3
性別女性,762,256,254,407,199,52,205,185,28,23,16,46,11,1,10,795,408,140,424,227,34,204,187,29,26,20,88,15,1,7
性別女性,100.0,33.6,33.3,53.4,26.1,6.8,26.9,24.3,3.7,3.0,2.1,6.0,1.4,0.1,1.3,100.0,51.3,17.6,53.3,28.6,4.3,25.7,23.5,3.6,3.3,2.5,11.1,1.9,0.1,0.9
年齢別18歳,6,1,-,4,2,-,1,3,-,-,-,-,-,-,-,6,2,-,4,2,-,1,3,-,-,-,1,-,-,-
年齢別18歳,100.0,16.7,-,66.7,33.3,-,16.7,50.0,-,-,-,-,-,-,-,100.0,33.3,-,66.7,33.3,-,16.7,50.0,-,-,-,16.7,-,-,-
年齢別19歳,10,1,1,5,1,-,-,3,-,2,-,2,-,-,-,11,2,-,5,1,-,-,3,-,3,-,3,1,-,-
年齢別19歳,100.0,10.0,10.0,50.0,10.0,-,-,30.0,-,20.0,-,20.0,-,-,-,100.0,18.2,-,45.5,9.1,-,-,27.3,-,27.3,-,27.3,9.1,-,-
