,調査数,男性,女性
全体実数,1827,882,945
全体（％）,100.0,48.3,51.7
性別男性実数,882,882,-
性別男性（％）,100.0,100.0,-
性別女性実数,945,-,945
性別女性（％）,100.0,-,100.0
年齢別20歳代実数,174,92,82
年齢別20歳代（％）,100.0,52.9,47.1
年齢別30歳代実数,261,118,143
年齢別30歳代（％）,100.0,45.2,54.8
年齢別40歳代実数,365,174,191
年齢別40歳代（％）,100.0,47.7,52.3
年齢別50歳代実数,294,161,133
年齢別50歳代（％）,100.0,54.8,45.2
年齢別60歳代実数,313,153,160
年齢別60歳代（％）,100.0,48.9,51.1
年齢別70歳代実数,296,134,162
年齢別70歳代（％）,100.0,45.3,54.7
年齢別80歳以上実数,124,50,74
年齢別80歳以上（％）,100.0,40.3,59.7
性/年齢別男性20歳代実数,92,92,-
性/年齢別男性20歳代（％）,100.0,100.0,-
性/年齢別男性30歳代実数,118,118,-
性/年齢別男性30歳代（％）,100.0,100.0,-
性/年齢別男性40歳代実数,174,174,-
性/年齢別男性40歳代（％）,100.0,100.0,-
性/年齢別男性50歳代実数,161,161,-
性/年齢別男性50歳代（％）,100.0,100.0,-
性/年齢別男性60歳代実数,153,153,-
性/年齢別男性60歳代（％）,100.0,100.0,-
性/年齢別男性70歳代実数,134,134,-
性/年齢別男性70歳代（％）,100.0,100.0,-
性/年齢別男性80歳以上実数,50,50,-
性/年齢別男性80歳以上（％）,100.0,100.0,-
性/年齢別女性20歳代実数,82,-,82
性/年齢別女性20歳代（％）,100.0,-,100.0
性/年齢別女性30歳代実数,143,-,143
性/年齢別女性30歳代（％）,100.0,-,100.0
性/年齢別女性40歳代実数,191,-,191
性/年齢別女性40歳代（％）,100.0,-,100.0
性/年齢別女性50歳代実数,133,-,133
性/年齢別女性50歳代（％）,100.0,-,100.0
性/年齢別女性60歳代実数,160,-,160
性/年齢別女性60歳代（％）,100.0,-,100.0
性/年齢別女性70歳代実数,162,-,162
性/年齢別女性70歳代（％）,100.0,-,100.0
性/年齢別女性80歳以上実数,74,-,74
性/年齢別女性80歳以上（％）,100.0,-,100.0
未・既婚別未婚実数,453,256,197
未・既婚別未婚（％）,100.0,56.5,43.5
未・既婚別既婚（死別・離別を含む）実数,1366,620,746
未・既婚別既婚（死別・離別を含む）（％）,100.0,45.4,54.6
子供の有無別子供はいない実数,642,334,308
子供の有無別子供はいない（％）,100.0,52.0,48.0
子供の有無別未就学（～６歳）実数,180,86,94
子供の有無別未就学（～６歳）（％）,100.0,47.8,52.2
子供の有無別小・中・高校生実数,270,124,146
子供の有無別小・中・高校生（％）,100.0,45.9,54.1
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,50,56
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,47.2,52.8
子供の有無別学校教育終了実数,743,334,409
子供の有無別学校教育終了（％）,100.0,45.0,55.0
子供の有無別その他実数,7,5,2
子供の有無別その他（％）,100.0,71.4,28.6
職業別自営業（計）実数,152,101,51
職業別自営業（計）（％）,100.0,66.4,33.6
職業別農林漁業実数,3,2,1
職業別農林漁業（％）,100.0,66.7,33.3
職業別商工・サービス業実数,96,69,27
職業別商工・サービス業（％）,100.0,71.9,28.1
職業別その他自由業実数,53,30,23
職業別その他自由業（％）,100.0,56.6,43.4
職業別お勤め（計）実数,934,536,398
職業別お勤め（計）（％）,100.0,57.4,42.6
職業別経営・管理職実数,94,86,8
職業別経営・管理職（％）,100.0,91.5,8.5
職業別専門職・技術職実数,243,158,85
職業別専門職・技術職（％）,100.0,65.0,35.0
職業別事務職実数,249,99,150
職業別事務職（％）,100.0,39.8,60.2
職業別労務職・技能職実数,111,80,31
職業別労務職・技能職（％）,100.0,72.1,27.9
職業別販売・サービス職実数,237,113,124
職業別販売・サービス職（％）,100.0,47.7,52.3
職業別その他（計）実数,732,240,492
職業別その他（計）（％）,100.0,32.8,67.2
職業別生徒・学生実数,35,20,15
職業別生徒・学生（％）,100.0,57.1,42.9
職業別専業主婦（夫）実数,309,1,308
職業別専業主婦（夫）（％）,100.0,0.3,99.7
職業別その他実数,18,9,9
職業別その他（％）,100.0,50.0,50.0
職業別無職（年金受給者含む）実数,370,210,160
職業別無職（年金受給者含む）（％）,100.0,56.8,43.2
投票所までの時間別５分以内実数,712,345,367
投票所までの時間別５分以内（％）,100.0,48.5,51.5
投票所までの時間別10分以内実数,769,375,394
投票所までの時間別10分以内（％）,100.0,48.8,51.2
投票所までの時間別20分以内実数,245,107,138
投票所までの時間別20分以内（％）,100.0,43.7,56.3
投票所までの時間別30分以内実数,38,17,21
投票所までの時間別30分以内（％）,100.0,44.7,55.3
投票所までの時間別30分を超える実数,11,4,7
投票所までの時間別30分を超える（％）,100.0,36.4,63.6
投票所までの時間別わからない実数,48,31,17
投票所までの時間別わからない（％）,100.0,64.6,35.4
地域別区部（計）実数,1189,572,617
地域別区部（計）（％）,100.0,48.1,51.9
地域別センターコア実数,314,143,171
地域別センターコア（％）,100.0,45.5,54.5
地域別区部東部・北部エリア実数,382,194,188
地域別区部東部・北部エリア（％）,100.0,50.8,49.2
地域別区部西部・南部エリア実数,493,235,258
地域別区部西部・南部エリア（％）,100.0,47.7,52.3
地域別市郡部（計）実数,638,310,328
地域別市郡部（計）（％）,100.0,48.6,51.4
地域別多摩東部エリア実数,239,112,127
地域別多摩東部エリア（％）,100.0,46.9,53.1
地域別多摩中央部北エリア実数,89,39,50
地域別多摩中央部北エリア（％）,100.0,43.8,56.2
地域別多摩中央部南エリア実数,267,138,129
地域別多摩中央部南エリア（％）,100.0,51.7,48.3
地域別多摩西部エリア実数,43,21,22
地域別多摩西部エリア（％）,100.0,48.8,51.2
選挙への関心度別関心があった（計）実数,1084,552,532
選挙への関心度別関心があった（計）（％）,100.0,50.9,49.1
選挙への関心度別関心があった実数,642,358,284
選挙への関心度別関心があった（％）,100.0,55.8,44.2
選挙への関心度別やや関心があった実数,442,194,248
選挙への関心度別やや関心があった（％）,100.0,43.9,56.1
選挙への関心度別関心がなかった（計）実数,179,73,106
選挙への関心度別関心がなかった（計）（％）,100.0,40.8,59.2
選挙への関心度別あまり関心がなかった実数,554,253,301
選挙への関心度別あまり関心がなかった（％）,100.0,45.7,54.3
選挙への関心度別関心がなかった実数,369,159,210
選挙への関心度別関心がなかった（％）,100.0,43.1,56.9
選挙への関心度別どちらともいえない実数,185,94,91
選挙への関心度別どちらともいえない（％）,100.0,50.8,49.2
選挙への関心度別わからない実数,7,4,3
選挙への関心度別わからない（％）,100.0,57.1,42.9
投票への意識別投票するべき（計）実数,1484,719,765
投票への意識別投票するべき（計）（％）,100.0,48.5,51.5
投票への意識別必ず投票するべき実数,703,365,338
投票への意識別必ず投票するべき（％）,100.0,51.9,48.1
投票への意識別可能な限り投票するべき実数,781,354,427
投票への意識別可能な限り投票するべき（％）,100.0,45.3,54.7
投票への意識別投票するのもしないのも自由実数,315,149,166
投票への意識別投票するのもしないのも自由（％）,100.0,47.3,52.7
投票への意識別その他実数,11,6,5
投票への意識別その他（％）,100.0,54.5,45.5
投票への意識別わからない実数,15,8,7
投票への意識別わからない（％）,100.0,53.3,46.7
投票への参加状況別投票した（計）実数,1246,617,629
投票への参加状況別投票した（計）（％）,100.0,49.5,50.5
投票への参加状況別投票日（12月14日）に投票した実数,987,492,495
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,49.8,50.2
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,125,134
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,48.3,51.7
投票への参加状況別投票しなかった実数,563,258,305
投票への参加状況別投票しなかった（％）,100.0,45.8,54.2
投票への参加状況別答えたくない実数,18,7,11
投票への参加状況別答えたくない（％）,100.0,38.9,61.1
新聞の定期購読定期購読している実数,1142,547,595
新聞の定期購読定期購読している（％）,100.0,47.9,52.1
新聞の定期購読定期購読していない実数,681,333,348
新聞の定期購読定期購読していない（％）,100.0,48.9,51.1
インターネットの利用有無利用している実数,984,505,479
インターネットの利用有無利用している（％）,100.0,51.3,48.7
インターネットの利用有無利用していない実数,835,375,460
インターネットの利用有無利用していない（％）,100.0,44.9,55.1
ネット選挙の認知度別知っている実数,955,518,437
ネット選挙の認知度別知っている（％）,100.0,54.2,45.8
ネット選挙の認知度別知らなかった実数,752,312,440
ネット選挙の認知度別知らなかった（％）,100.0,41.5,58.5
