,参議院議員選挙/調査数,参議院議員選挙/定期購読している,参議院議員選挙/定期購読していない,東京都知事選挙/調査数,東京都知事選挙/定期購読している,東京都知事選挙/定期購読していない
全体,1823,1240,583,1823,1240,583
全体,100.0,68.0,32.0,100.0,68.0,32.0
性別男性,852,593,259,852,593,259
性別男性,100.0,69.6,30.4,100.0,69.6,30.4
性別女性,971,647,324,971,647,324
性別女性,100.0,66.6,33.4,100.0,66.6,33.4
年齢別18歳,7,4,3,7,4,3
年齢別18歳,100.0,57.1,42.9,100.0,57.1,42.9
年齢別19歳,20,3,17,20,3,17
年齢別19歳,100.0,15.0,85.0,100.0,15.0,85.0
年齢別20歳代,164,42,122,164,42,122
年齢別20歳代,100.0,25.6,74.4,100.0,25.6,74.4
年齢別30歳代,257,118,139,257,118,139
年齢別30歳代,100.0,45.9,54.1,100.0,45.9,54.1
年齢別40歳代,398,265,133,398,265,133
年齢別40歳代,100.0,66.6,33.4,100.0,66.6,33.4
年齢別50歳代,311,253,58,311,253,58
年齢別50歳代,100.0,81.4,18.6,100.0,81.4,18.6
年齢別60歳代,337,297,40,337,297,40
年齢別60歳代,100.0,88.1,11.9,100.0,88.1,11.9
年齢別70歳代,231,186,45,231,186,45
年齢別70歳代,100.0,80.5,19.5,100.0,80.5,19.5
年齢別80歳以上,98,72,26,98,72,26
年齢別80歳以上,100.0,73.5,26.5,100.0,73.5,26.5
性/年齢別男性18歳,1,1,-,1,1,-
性/年齢別男性18歳,100.0,100.0,-,100.0,100.0,-
性/年齢別男性19歳,12,1,11,12,1,11
性/年齢別男性19歳,100.0,8.3,91.7,100.0,8.3,91.7
性/年齢別男性20歳代,83,19,64,83,19,64
性/年齢別男性20歳代,100.0,22.9,77.1,100.0,22.9,77.1
性/年齢別男性30歳代,122,59,63,122,59,63
性/年齢別男性30歳代,100.0,48.4,51.6,100.0,48.4,51.6
性/年齢別男性40歳代,170,116,54,170,116,54
性/年齢別男性40歳代,100.0,68.2,31.8,100.0,68.2,31.8
性/年齢別男性50歳代,152,124,28,152,124,28
性/年齢別男性50歳代,100.0,81.6,18.4,100.0,81.6,18.4
性/年齢別男性60歳代,157,139,18,157,139,18
性/年齢別男性60歳代,100.0,88.5,11.5,100.0,88.5,11.5
性/年齢別男性70歳代,107,93,14,107,93,14
性/年齢別男性70歳代,100.0,86.9,13.1,100.0,86.9,13.1
性/年齢別男性80歳以上,48,41,7,48,41,7
性/年齢別男性80歳以上,100.0,85.4,14.6,100.0,85.4,14.6
性/年齢別女性18歳,6,3,3,6,3,3
性/年齢別女性18歳,100.0,50.0,50.0,100.0,50.0,50.0
性/年齢別女性19歳,8,2,6,8,2,6
性/年齢別女性19歳,100.0,25.0,75.0,100.0,25.0,75.0
性/年齢別女性20歳代,81,23,58,81,23,58
性/年齢別女性20歳代,100.0,28.4,71.6,100.0,28.4,71.6
性/年齢別女性30歳代,135,59,76,135,59,76
性/年齢別女性30歳代,100.0,43.7,56.3,100.0,43.7,56.3
性/年齢別女性40歳代,228,149,79,228,149,79
性/年齢別女性40歳代,100.0,65.4,34.6,100.0,65.4,34.6
性/年齢別女性50歳代,159,129,30,159,129,30
性/年齢別女性50歳代,100.0,81.1,18.9,100.0,81.1,18.9
性/年齢別女性60歳代,180,158,22,180,158,22
性/年齢別女性60歳代,100.0,87.8,12.2,100.0,87.8,12.2
性/年齢別女性70歳代,124,93,31,124,93,31
性/年齢別女性70歳代,100.0,75.0,25.0,100.0,75.0,25.0
性/年齢別女性80歳以上,50,31,19,50,31,19
性/年齢別女性80歳以上,100.0,62.0,38.0,100.0,62.0,38.0
未・既婚別未婚,344,121,223,344,121,223
未・既婚別未婚,100.0,35.2,64.8,100.0,35.2,64.8
未・既婚別既婚（死別・離別を含む）,1479,1119,360,1479,1119,360
未・既婚別既婚（死別・離別を含む）,100.0,75.7,24.3,100.0,75.7,24.3
子供の有無別子供はいない,404,147,257,404,147,257
子供の有無別子供はいない,100.0,36.4,63.6,100.0,36.4,63.6
子供の有無別未就学（～６歳）,114,63,51,114,63,51
子供の有無別未就学（～６歳）,100.0,55.3,44.7,100.0,55.3,44.7
子供の有無別小・中・高校生,394,264,130,394,264,130
子供の有無別小・中・高校生,100.0,67.0,33.0,100.0,67.0,33.0
子供の有無別大学生・大学院生・短大生・専門学校生,144,110,34,144,110,34
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,76.4,23.6,100.0,76.4,23.6
子供の有無別学校教育終了,791,666,125,791,666,125
子供の有無別学校教育終了,100.0,84.2,15.8,100.0,84.2,15.8
子供の有無別その他,60,47,13,60,47,13
子供の有無別その他,100.0,78.3,21.7,100.0,78.3,21.7
職業別自営業（計）,133,101,32,133,101,32
職業別自営業（計）,100.0,75.9,24.1,100.0,75.9,24.1
職業別農林漁業,1,1,-,1,1,-
職業別農林漁業,100.0,100.0,-,100.0,100.0,-
職業別商工・サービス業,42,27,15,42,27,15
職業別商工・サービス業,100.0,64.3,35.7,100.0,64.3,35.7
職業別その他自由業,90,73,17,90,73,17
職業別その他自由業,100.0,81.1,18.9,100.0,81.1,18.9
職業別お勤め（計）,821,484,337,821,484,337
職業別お勤め（計）,100.0,59.0,41.0,100.0,59.0,41.0
職業別経営・管理職,74,61,13,74,61,13
職業別経営・管理職,100.0,82.4,17.6,100.0,82.4,17.6
