,調査数,ネット選挙運動の規制が緩和され、より自由に選挙運動ができることが望ましい,ネット選挙運動の規制をより強化する,現状のままでよい,わからない,無回答
全体,999,264,90,172,434,39
全体,100.0,26.4,9.0,17.2,43.4,3.9
性別男性,485,164,41,83,181,16
性別男性,100.0,33.8,8.5,17.1,37.3,3.3
性別女性,514,100,49,89,253,23
性別女性,100.0,19.5,9.5,17.3,49.2,4.5
年齢20歳代,52,27,6,11,7,1
年齢20歳代,100.0,51.9,11.5,21.2,13.5,1.9
年齢30歳代,145,65,17,26,32,5
年齢30歳代,100.0,44.8,11.7,17.9,22.1,3.4
年齢40歳代,217,75,27,38,74,3
年齢40歳代,100.0,34.6,12.4,17.5,34.1,1.4
年齢50歳代,178,42,25,38,62,11
年齢50歳代,100.0,23.6,14.0,21.3,34.8,6.2
年齢60歳代,213,40,8,43,114,8
年齢60歳代,100.0,18.8,3.8,20.2,53.5,3.8
年齢70歳代,151,9,5,12,118,7
年齢70歳代,100.0,6.0,3.3,7.9,78.1,4.6
年齢80歳以上,36,5,1,1,25,4
年齢80歳以上,100.0,13.9,2.8,2.8,69.4,11.1
性／年齢別男性20歳代,28,15,1,8,4,-
性／年齢別男性20歳代,100.0,53.6,3.6,28.6,14.3,-
性／年齢別男性30歳代,66,43,6,9,5,3
性／年齢別男性30歳代,100.0,65.2,9.1,13.6,7.6,4.5
性／年齢別男性40歳代,92,34,13,16,28,1
性／年齢別男性40歳代,100.0,37.0,14.1,17.4,30.4,1.1
性／年齢別男性50歳代,93,34,14,20,21,4
性／年齢別男性50歳代,100.0,36.6,15.1,21.5,22.6,4.3
性／年齢別男性60歳代,110,26,4,22,53,5
性／年齢別男性60歳代,100.0,23.6,3.6,20.0,48.2,4.5
性／年齢別男性70歳代,75,7,3,7,57,1
性／年齢別男性70歳代,100.0,9.3,4.0,9.3,76.0,1.3
性／年齢別男性80歳以上,20,5,-,1,12,2
性／年齢別男性80歳以上,100.0,25.0,-,5.0,60.0,10.0
性／年齢別女性20歳代,24,12,5,3,3,1
性／年齢別女性20歳代,100.0,50.0,20.8,12.5,12.5,4.2
性／年齢別女性30歳代,79,22,11,17,27,2
性／年齢別女性30歳代,100.0,27.8,13.9,21.5,34.2,2.5
性／年齢別女性40歳代,125,41,14,22,46,2
性／年齢別女性40歳代,100.0,32.8,11.2,17.6,36.8,1.6
性／年齢別女性50歳代,85,8,11,18,41,7
性／年齢別女性50歳代,100.0,9.4,12.9,21.2,48.2,8.2
性／年齢別女性60歳代,103,14,4,21,61,3
性／年齢別女性60歳代,100.0,13.6,3.9,20.4,59.2,2.9
性／年齢別女性70歳代,76,2,2,5,61,6
