,（n=1435）（％）,,,,
国政全体、都政全体のことを考えてくれる人だと思ったから,60.9,,,,
候補者の政策や主張に賛成だから,40.7,,,,
人柄、経歴などから国政、都政を託すのに最適な人だと思ったから,26.0,,,,
自分の日常の暮らしを守ってくれる人だと思ったから,22.2,,,,
自分の支持する政党の推薦する人だから,19.9,,,,
テレビや新聞などマスコミを通して知っている人だから,16.3,,,,
テレビやラジオ、新聞等メディアの報道内容からふさわしい人だと思ったから,13.7,,,,
ポスターや選挙公報などを見て、ふさわしい人だと思ったから,8.2,,,,
団体や組織や知人に頼まれたから,4.9,,,,
地元の利益を考えてくれる人だと思ったから,3.4,,,,
家族や友人との選挙に関する話の中で、ふさわしい人だと思ったから,3.1,,,,
ホームページやＳＮＳ等のインターネット上の情報を見てふさわしい人だと思ったから,2.4,,,,
自分の仕事や職業上の利益を守ってくれる人だと思ったから,2.0,,,,
その他,0.7,,,,
特に理由はない（なんとなく）,3.9,,,,
わからない,0.7,,,,
