,投票率(%),ｎ,関心があった（％）,やや関心があった（％）,どちらともいえない（％）,あまり関心がなかった（％）,関心がなかった（％）,わからない（％）,無回答（％）,関心があった（計）（％）,関心がなかった（計）（％）,備考
今回選挙,57.50,1823,34.7,35.7,16.3,6.9,5.6,0.8,0.0,70.4,12.5,
平成25年参議院議員選挙,53.51,1089,27.9,29.8,15.1,15.0,11.2,1.0,,57.7,26.2,
平成22年参議院議員選挙,58.70,2005,48.3,26.4,8.3,10.6,6.1,0.3,0.0,74.7,16.7,
平成19年参議院議員選挙,57.87,2028,49.5,24.7,7.4,11.2,7.0,,0.0,74.2,18.2,
平成16年参議院議員選挙,56.08,1123,28.2,35.0,9.7,19.9,6.2,1.0,,63.2,26.1,
平成13年参議院議員選挙,53.27,939,41.2,36.4,10.4,6.9,2.8,2.2,,77.6,9.7,
平成10年参議院議員選挙,57.85,1106,35.9,33.5,1.9,20.5,7.9,0.3,,69.4,28.4,
,,,,,,,,,,,,注：平成25年の選択肢は今回調査と同じものから「無回答」を除いたもの。
,,,,,,,,,,,,平成22年の選択肢は「関心があった」「やや関心があった」「どちらともいえない」「あまり関心がなかった」「関心がなかった」「わからない、答えたくない」「無回答」
,,,,,,,,,,,,平成19年の選択肢は平成22年の選択肢から「わからない、答えたくない」を除いたもの、
,,,,,,,,,,,,平成10年から平成16年の選択肢は「かなり関心があった」「少しは関心があった」「どちらともいえない」「あまり関心がなかった」「まったく関心がなかった」「わからない、答えたくない」
