,ｎ,ネット選挙運動の規制が緩和され、より自由に選挙運動ができることが望ましい,ネット選挙運動の規制をより強化する,現状のままでよい,わからない,無回答
全体(%),(999),26.4,9.0,17.2,43.4,3.9
性別男性(%),(485),33.8,8.5,17.1,37.3,3.3
性別女性(%),(514),19.5,9.5,17.3,49.2,4.5
年齢別20歳代(%),(52),51.9,11.5,21.2,13.5,1.9
年齢別30歳代(%),(145),44.8,11.7,17.9,22.1,3.4
年齢別40歳代(%),(217),34.6,12.4,17.5,34.1,1.4
年齢別50歳代(%),(178),23.6,14.0,21.3,34.8,6.2
年齢別60歳代(%),(213),18.8,3.8,20.2,53.5,3.8
年齢別70歳代(%),(151),6.0,3.3,7.9,78.1,4.6
年齢別80歳以上(%),(36),13.9,2.8,2.8,69.4,11.1
職業別自営業(%),(92),22.8,7.6,13.0,52.2,4.3
職業別勤め人(%),(452),34.5,12.4,20.8,29.9,2.4
職業別学生(%),(11),36.4,36.4,9.1,9.1,9.1
職業別専業主婦（夫）(%),(221),19.0,6.3,16.7,53.8,4.1
職業別その他(%),(35),25.7,8.6,20.0,45.7,0.0
職業別無職(%),(180),16.7,3.3,11.1,61.1,7.8
