,調査数,電車・駅構内、庁舎・公共施設等での選挙公報用ポスター（仲間由紀恵）,コンビニレジ画面の広告,選挙広報用の新聞広告,国、都、区市町村の広報誌,ラジオ告知（都民ニュース）,庁舎や公園などの懸垂幕・横断幕,都庁舎のライトアップ,衆議院議員選挙メッセージツリーイベント（渋谷・吉祥寺）,スーパー、コンビニなどの店内放送、防災無線による放送,ポケットティッシュ、マスク等の広報グッズ,はし袋広告（コンビニ、大学で配布）,区市町村の広報車,区市町村の広報掲示板,都及び区市町村、総務省のホームページ,都、区市町村、総務省のＳＮＳ（ツイッター等）,インターネットバナー広告（Yahoo!JAPAN・プロモツイート）,その他,見たり聞いたりしたものはない,わからない、忘れた,無回答
全体実数,1827,623,45,560,306,102,100,8,10,30,46,1,354,264,30,16,76,6,390,209,11
全体（％）,100.0,34.1,2.5,30.7,16.7,5.6,5.5,0.4,0.5,1.6,2.5,0.1,19.4,14.4,1.6,0.9,4.2,0.3,21.3,11.4,0.6
性別男性実数,882,318,23,292,148,67,54,5,5,17,22,1,161,112,16,9,53,2,188,96,6
性別男性（％）,100.0,36.1,2.6,33.1,16.8,7.6,6.1,0.6,0.6,1.9,2.5,0.1,18.3,12.7,1.8,1.0,6.0,0.2,21.3,10.9,0.7
性別女性実数,945,305,22,268,158,35,46,3,5,13,24,-,193,152,14,7,23,4,202,113,5
性別女性（％）,100.0,32.3,2.3,28.4,16.7,3.7,4.9,0.3,0.5,1.4,2.5,-,20.4,16.1,1.5,0.7,2.4,0.4,21.4,12.0,0.5
年齢別20歳代実数,174,69,8,23,13,4,11,1,1,3,8,1,34,19,3,5,17,1,40,26,2
年齢別20歳代（％）,100.0,39.7,4.6,13.2,7.5,2.3,6.3,0.6,0.6,1.7,4.6,0.6,19.5,10.9,1.7,2.9,9.8,0.6,23.0,14.9,1.1
年齢別30歳代実数,261,83,12,44,29,7,12,1,-,7,5,-,37,27,5,3,24,-,69,43,1
年齢別30歳代（％）,100.0,31.8,4.6,16.9,11.1,2.7,4.6,0.4,-,2.7,1.9,-,14.2,10.3,1.9,1.1,9.2,-,26.4,16.5,0.4
年齢別40歳代実数,365,148,6,84,50,16,19,-,5,5,7,-,65,50,7,4,16,1,69,57,1
年齢別40歳代（％）,100.0,40.5,1.6,23.0,13.7,4.4,5.2,-,1.4,1.4,1.9,-,17.8,13.7,1.9,1.1,4.4,0.3,18.9,15.6,0.3
年齢別50歳代実数,294,113,7,110,52,17,20,2,1,9,12,-,60,55,4,3,15,-,49,30,1
年齢別50歳代（％）,100.0,38.4,2.4,37.4,17.7,5.8,6.8,0.7,0.3,3.1,4.1,-,20.4,18.7,1.4,1.0,5.1,-,16.7,10.2,0.3
年齢別60歳代実数,313,110,6,128,79,25,16,3,1,4,9,-,77,60,7,-,1,2,68,17,1
年齢別60歳代（％）,100.0,35.1,1.9,40.9,25.2,8.0,5.1,1.0,0.3,1.3,2.9,-,24.6,19.2,2.2,-,0.3,0.6,21.7,5.4,0.3
年齢別70歳代実数,296,81,5,132,62,25,18,1,2,2,2,-,65,39,4,1,3,1,59,18,3
年齢別70歳代（％）,100.0,27.4,1.7,44.6,20.9,8.4,6.1,0.3,0.7,0.7,0.7,-,22.0,13.2,1.4,0.3,1.0,0.3,19.9,6.1,1.0
年齢別80歳以上実数,124,19,1,39,21,8,4,-,-,-,3,-,16,14,-,-,-,1,36,18,2
年齢別80歳以上（％）,100.0,15.3,0.8,31.5,16.9,6.5,3.2,-,-,-,2.4,-,12.9,11.3,-,-,-,0.8,29.0,14.5,1.6
性/年齢別男性20歳代実数,92,39,4,15,6,3,7,-,-,1,4,1,16,6,-,1,9,-,18,13,2
性/年齢別男性20歳代（％）,100.0,42.4,4.3,16.3,6.5,3.3,7.6,-,-,1.1,4.3,1.1,17.4,6.5,-,1.1,9.8,-,19.6,14.1,2.2
性/年齢別男性30歳代実数,118,41,8,23,10,3,8,-,-,3,4,-,14,9,3,1,16,-,32,19,1
性/年齢別男性30歳代（％）,100.0,34.7,6.8,19.5,8.5,2.5,6.8,-,-,2.5,3.4,-,11.9,7.6,2.5,0.8,13.6,-,27.1,16.1,0.8
性/年齢別男性40歳代実数,174,73,3,41,24,12,10,-,2,3,1,-,34,24,3,3,14,-,37,25,-
性/年齢別男性40歳代（％）,100.0,42.0,1.7,23.6,13.8,6.9,5.7,-,1.1,1.7,0.6,-,19.5,13.8,1.7,1.7,8.0,-,21.3,14.4,-
性/年齢別男性50歳代実数,161,62,4,56,25,13,11,2,1,6,6,-,27,23,2,3,11,-,29,19,-
性/年齢別男性50歳代（％）,100.0,38.5,2.5,34.8,15.5,8.1,6.8,1.2,0.6,3.7,3.7,-,16.8,14.3,1.2,1.9,6.8,-,18.0,11.8,-
性/年齢別男性60歳代実数,153,54,2,64,37,16,7,2,1,3,5,-,31,26,5,-,1,1,38,7,1
性/年齢別男性60歳代（％）,100.0,35.3,1.3,41.8,24.2,10.5,4.6,1.3,0.7,2.0,3.3,-,20.3,17.0,3.3,-,0.7,0.7,24.8,4.6,0.7
性/年齢別男性70歳代実数,134,39,2,70,35,16,10,1,1,1,1,-,31,18,3,1,2,1,22,7,1
性/年齢別男性70歳代（％）,100.0,29.1,1.5,52.2,26.1,11.9,7.5,0.7,0.7,0.7,0.7,-,23.1,13.4,2.2,0.7,1.5,0.7,16.4,5.2,0.7
性/年齢別男性80歳以上実数,50,10,-,23,11,4,1,-,-,-,1,-,8,6,-,-,-,-,12,6,1
性/年齢別男性80歳以上（％）,100.0,20.0,-,46.0,22.0,8.0,2.0,-,-,-,2.0,-,16.0,12.0,-,-,-,-,24.0,12.0,2.0
性/年齢別女性20歳代実数,82,30,4,8,7,1,4,1,1,2,4,-,18,13,3,4,8,1,22,13,-
性/年齢別女性20歳代（％）,100.0,36.6,4.9,9.8,8.5,1.2,4.9,1.2,1.2,2.4,4.9,-,22.0,15.9,3.7,4.9,9.8,1.2,26.8,15.9,-
性/年齢別女性30歳代実数,143,42,4,21,19,4,4,1,-,4,1,-,23,18,2,2,8,-,37,24,-
性/年齢別女性30歳代（％）,100.0,29.4,2.8,14.7,13.3,2.8,2.8,0.7,-,2.8,0.7,-,16.1,12.6,1.4,1.4,5.6,-,25.9,16.8,-
性/年齢別女性40歳代実数,191,75,3,43,26,4,9,-,3,2,6,-,31,26,4,1,2,1,32,32,1
性/年齢別女性40歳代（％）,100.0,39.3,1.6,22.5,13.6,2.1,4.7,-,1.6,1.0,3.1,-,16.2,13.6,2.1,0.5,1.0,0.5,16.8,16.8,0.5
性/年齢別女性50歳代実数,133,51,3,54,27,4,9,-,-,3,6,-,33,32,2,-,4,-,20,11,1
性/年齢別女性50歳代（％）,100.0,38.3,2.3,40.6,20.3,3.0,6.8,-,-,2.3,4.5,-,24.8,24.1,1.5,-,3.0,-,15.0,8.3,0.8
性/年齢別女性60歳代実数,160,56,4,64,42,9,9,1,-,1,4,-,46,34,2,-,-,1,30,10,-
性/年齢別女性60歳代（％）,100.0,35.0,2.5,40.0,26.3,5.6,5.6,0.6,-,0.6,2.5,-,28.8,21.3,1.3,-,-,0.6,18.8,6.3,-
性/年齢別女性70歳代実数,162,42,3,62,27,9,8,-,1,1,1,-,34,21,1,-,1,-,37,11,2
性/年齢別女性70歳代（％）,100.0,25.9,1.9,38.3,16.7,5.6,4.9,-,0.6,0.6,0.6,-,21.0,13.0,0.6,-,0.6,-,22.8,6.8,1.2
性/年齢別女性80歳以上実数,74,9,1,16,10,4,3,-,-,-,2,-,8,8,-,-,-,1,24,12,1
性/年齢別女性80歳以上（％）,100.0,12.2,1.4,21.6,13.5,5.4,4.1,-,-,-,2.7,-,10.8,10.8,-,-,-,1.4,32.4,16.2,1.4
未・既婚別未婚実数,453,146,11,85,45,22,22,3,3,10,16,-,73,48,10,8,33,1,112,71,4
未・既婚別未婚（％）,100.0,32.2,2.4,18.8,9.9,4.9,4.9,0.7,0.7,2.2,3.5,-,16.1,10.6,2.2,1.8,7.3,0.2,24.7,15.7,0.9
未・既婚別既婚（死別・離別を含む）実数,1366,475,34,473,261,80,78,5,7,20,30,1,280,215,20,8,42,5,275,138,7
未・既婚別既婚（死別・離別を含む）（％）,100.0,34.8,2.5,34.6,19.1,5.9,5.7,0.4,0.5,1.5,2.2,0.1,20.5,15.7,1.5,0.6,3.1,0.4,20.1,10.1,0.5
子供の有無別子供はいない実数,642,211,18,138,73,35,34,3,4,17,18,-,101,74,13,9,48,1,157,93,4
子供の有無別子供はいない（％）,100.0,32.9,2.8,21.5,11.4,5.5,5.3,0.5,0.6,2.6,2.8,-,15.7,11.5,2.0,1.4,7.5,0.2,24.5,14.5,0.6
子供の有無別未就学（～６歳）実数,180,60,3,38,24,2,9,-,-,2,4,1,29,23,1,1,9,-,48,25,1
