,調査数,５分以内,10分以内,20分以内,30分以内,30分を超える,無回答
全体,2011,636,1060,221,50,26,18
全体,100.0,31.6,52.7,11.0,2.5,1.3,0.9
性別男性,950,312,478,109,25,15,11
性別男性,100.0,32.8,50.3,11.5,2.6,1.6,1.2
性別女性,1061,324,582,112,25,11,7
性別女性,100.0,30.5,54.9,10.6,2.4,1.0,0.7
年齢20歳代,295,61,193,23,11,1,6
年齢20歳代,100.0,20.7,65.4,7.8,3.7,0.3,2.0
年齢30歳代,355,119,182,35,18,-,1
年齢30歳代,100.0,33.5,51.3,9.9,5.1,-,0.3
年齢40歳代,398,142,198,44,8,5,1
年齢40歳代,100.0,35.7,49.7,11.1,2.0,1.3,0.3
年齢50歳代,293,98,158,30,5,2,-
年齢50歳代,100.0,33.4,53.9,10.2,1.7,0.7,-
年齢60歳代,327,111,166,35,3,10,2
年齢60歳代,100.0,33.9,50.8,10.7,0.9,3.1,0.6
年齢70歳代,232,78,116,28,3,6,1
年齢70歳代,100.0,33.6,50.0,12.1,1.3,2.6,0.4
年齢80歳以上,90,21,41,21,1,1,5
年齢80歳以上,100.0,23.3,45.6,23.3,1.1,1.1,5.6
性／年齢別男性20歳代,143,23,94,13,6,1,6
性／年齢別男性20歳代,100.0,16.1,65.7,9.1,4.2,0.7,4.2
性／年齢別男性30歳代,153,57,72,17,7,-,-
性／年齢別男性30歳代,100.0,37.3,47.1,11.1,4.6,-,-
性／年齢別男性40歳代,176,61,90,21,2,2,-
性／年齢別男性40歳代,100.0,34.7,51.1,11.9,1.1,1.1,-
性／年齢別男性50歳代,148,53,74,14,5,2,-
性／年齢別男性50歳代,100.0,35.8,50.0,9.5,3.4,1.4,-
性／年齢別男性60歳代,169,64,78,20,-,6,1
性／年齢別男性60歳代,100.0,37.9,46.2,11.8,-,3.6,0.6
性／年齢別男性70歳代,118,45,54,13,3,3,-
性／年齢別男性70歳代,100.0,38.1,45.8,11.0,2.5,2.5,-
