,n,投票日(7月31日)に投票した（％）,期日前投票（又は不在者投票等）をした（％）,投票しなかった（％）,答えたくない（％）,投票した（計）（％）
全体,1823,68.8,13.0,17.6,0.6,81.8
職業別自営業,133,71.4,22.6,5.3,0.8,94.0
職業別勤め人,821,64.9,13.8,20.5,0.9,78.7
職業別学生,47,51.1,8.5,40.4,0.0,59.6
職業別専業主婦(夫),395,76.5,13.2,10.1,0.3,89.6
職業別その他,25,60.0,16.0,24.0,0.0,76.0
職業別無職(年金受給者含む),402,70.9,8.5,20.1,0.5,79.4
選挙への関心度別関心があった(計),1424,78.5,15.4,5.8,0.3,93.9
選挙への関心度別関心がなかった(計),175,23.4,2.3,72.0,2.3,25.7
選挙への関心度別どちらともいえない,209,45.5,6.7,46.9,1.0,52.2
投票への意識別必ず投票するべき,615,82.6,16.1,1.0,0.3,98.7
投票への意識別可能な限り投票するべき,828,75.6,14.3,9.9,0.2,89.9
投票への意識別投票するのもしないのも自由,335,33.4,6.0,59.1,1.5,39.4
投票への意識別その他,1,0.0,0.0,100.0,0.0,-
