,ｎ,テレビ・ラジオの選挙報道（％）,新聞・雑誌などの選挙報道（％）,選挙公報（％）,候補者等のポスター（％）,テレビ・ラジオの政見放送・経歴放送（％）,候補者等の街頭演説（％）,家族、友人、知人からの勧め（％）,候補者等の新聞広告（％）
全体,1246,48.6,37.6,33.1,19.4,15.7,11.1,8.7,8.3
性別男性,617,50.7,41.2,32.7,19.6,17.3,10.7,6.0,8.3
性別女性,629,46.4,34.0,33.5,19.2,14.0,11.4,11.3,8.3
年齢別20歳代,91,46.2,35.2,29.7,16.5,11.0,5.5,11.0,6.6
年齢別30歳代,161,47.8,24.2,26.7,14.3,8.1,11.2,8.7,1.9
年齢別40歳代,247,51.4,34.4,32.0,21.1,13.8,10.5,8.1,5.7
年齢別50歳代,195,52.3,48.2,28.7,23.1,14.9,11.3,12.8,7.2
年齢別60歳代,233,50.2,42.9,38.2,21.0,20.2,12.4,6.4,14.2
年齢別70歳代,239,44.8,38.9,34.3,19.2,18.8,12.1,7.9,10.9
年齢別80歳以上,80,41.3,31.3,46.3,15.0,21.3,11.3,6.3,8.8
