,ｎ,選挙期間に入る前から（12月1日以前）（％）,投票日当日を除く選挙期間中（12月2日～12月13日まで）（％）,投票日当日（12月14日）（％）,わからない、忘れた（％）,無回答（％）
全体,259,47.9,40.5,8.5,2.3,0.8
性別男性,125,48.8,37.6,8.8,3.2,1.6
性別女性,134,47.0,43.3,8.2,1.5,0.0
年齢別20歳代,23,34.8,43.5,13.0,8.7,0.0
年齢別30歳代,28,25.0,53.6,14.3,7.1,0.0
年齢別40歳代,49,36.7,53.1,8.2,2.0,0.0
年齢別50歳代,41,41.5,46.3,12.2,0.0,0.0
年齢別60歳代,55,58.2,29.1,7.3,5.5,0.0
年齢別70歳代,53,71.7,24.5,3.8,0.0,0.0
年齢別80歳以上,10,40.0,60.0,0.0,0.0,0.0
職業別自営業,27,51.9,40.7,7.4,0.0,0.0
職業別勤め人,140,41.4,42.1,11.4,3.6,1.4
職業別学生,3,0.0,100.0,0.0,0.0,0.0
職業別専業主婦(夫),44,54.5,38.6,6.8,0.0,0.0
職業別その他,5,60.0,20.0,20.0,0.0,0.0
職業別無職(年金受給者含む),40,62.5,35.0,0.0,2.5,0.0
