質問,n,選挙期間に入る前から(1月22日以前)(%),投票するまでの選挙期間中(投票した日を除く)(%),投票した日当日(%),わからない、忘れた(%)
全体,(172),40.1,55.2,3.5,1.2
性別男性,(89),41.6,55.1,2.2,1.1
性別女性,(83),38.6,55.4,4.8,1.2
年齢別20歳代,(7),57.1,42.9,0,0
年齢別30歳代,(28),17.9,71.4,10.7,0
年齢別40歳代,(34),32.4,61.8,2.9,2.9
年齢別50歳代,(32),43.8,56.3,0,0
年齢別60歳代,(32),50.0,46.9,3.1,0
年齢別70歳代,(36),50.0,44.4,2.8,2.8
年齢別80歳以上,(3),33.3,66.7,0,0
職業別自営業,(11),36.4,63.6,0,0
職業別勤め人,(83),34.9,59.0,6.0,6.0
職業別学生,(1),100.0,0,0,0
職業別専業主婦(夫),(32),40.6,56.3,0,3.1
職業別その他,(13),53.8,46.2,0,0
職業別無職,(32),46.9,46.9,3.1,3.1
