,ｎ,仕事が忙しく、時間がなかったから（％）,病気（看病を含む）又は体調が悪かったから（％）,政治や選挙には関心がないから（％）,自分一人が投票しなくても選挙の結果に影響がないから（％）,選挙によって政治や暮らしが良くなるわけではないから（％）,適当な候補者がいなかったから（％）,投票所へ行くのが面倒だったから（％）,投票日を忘れていたから、知らなかったから（％）
全体,321,37.7,23.1,16.5,14.6,12.8,9.7,9.3,4.0
性別男性,150,44.0,20.7,18.0,14.7,12.7,9.3,9.3,2.0
性別女性,171,32.2,25.1,15.2,14.6,12.9,9.9,9.4,5.8
年齢別18歳,1,-,-,-,-,-,-,100.0,-
年齢別19歳,9,55.6,-,44.4,-,11.1,-,11.1,-
年齢別20歳代,68,48.5,1.5,29.4,23.5,20.6,10.3,8.8,4.4
年齢別30歳代,47,61.7,4.3,19.1,23.4,19.1,10.6,8.5,4.3
年齢別40歳代,59,54.2,11.9,15.3,15.3,16.9,10.2,11.9,1.7
年齢別50歳代,41,43.9,9.8,12.2,7.3,7.3,12.2,7.3,4.9
年齢別60歳代,30,13.3,43.3,6.7,20.0,10.0,10.0,6.7,3.3
年齢別70歳代,34,-,61.8,8.8,5.9,2.9,14.7,8.8,5.9
年齢別80歳以上,32,-,81.3,3.1,-,-,-,9.4,6.3
