,調査数,1回のみ,2～3回,4回以上,わからない,無回答
全体実数,37,13,19,2,2,1
全体（％）,100.0,35.1,51.4,5.4,5.4,2.7
性別男性実数,17,5,9,1,1,1
性別男性（％）,100.0,29.4,52.9,5.9,5.9,5.9
性別女性実数,20,8,10,1,1,-
性別女性（％）,100.0,40.0,50.0,5.0,5.0,-
年齢別20歳代実数,7,3,4,-,-,-
年齢別20歳代（％）,100.0,42.9,57.1,-,-,-
年齢別30歳代実数,7,2,4,1,-,-
年齢別30歳代（％）,100.0,28.6,57.1,14.3,-,-
年齢別40歳代実数,13,4,8,-,1,-
年齢別40歳代（％）,100.0,30.8,61.5,-,7.7,-
年齢別50歳代実数,5,3,1,1,-,-
年齢別50歳代（％）,100.0,60.0,20.0,20.0,-,-
年齢別60歳代実数,2,-,2,-,-,-
年齢別60歳代（％）,100.0,-,100.0,-,-,-
年齢別70歳代実数,2,1,-,-,1,-
年齢別70歳代（％）,100.0,50.0,-,-,50.0,-
年齢別80歳以上実数,1,-,-,-,-,1
年齢別80歳以上（％）,100.0,-,-,-,-,100.0
性/年齢別男性20歳代実数,2,-,2,-,-,-
性/年齢別男性20歳代（％）,100.0,-,100.0,-,-,-
性/年齢別男性30歳代実数,2,1,1,-,-,-
性/年齢別男性30歳代（％）,100.0,50.0,50.0,-,-,-
性/年齢別男性40歳代実数,7,2,4,-,1,-
性/年齢別男性40歳代（％）,100.0,28.6,57.1,-,14.3,-
性/年齢別男性50歳代実数,3,1,1,1,-,-
性/年齢別男性50歳代（％）,100.0,33.3,33.3,33.3,-,-
性/年齢別男性60歳代実数,1,-,1,-,-,-
性/年齢別男性60歳代（％）,100.0,-,100.0,-,-,-
性/年齢別男性70歳代実数,1,1,-,-,-,-
性/年齢別男性70歳代（％）,100.0,100.0,-,-,-,-
性/年齢別男性80歳以上実数,1,-,-,-,-,1
性/年齢別男性80歳以上（％）,100.0,-,-,-,-,100.0
性/年齢別女性20歳代実数,5,3,2,-,-,-
性/年齢別女性20歳代（％）,100.0,60.0,40.0,-,-,-
性/年齢別女性30歳代実数,5,1,3,1,-,-
性/年齢別女性30歳代（％）,100.0,20.0,60.0,20.0,-,-
性/年齢別女性40歳代実数,6,2,4,-,-,-
性/年齢別女性40歳代（％）,100.0,33.3,66.7,-,-,-
性/年齢別女性50歳代実数,2,2,-,-,-,-
性/年齢別女性50歳代（％）,100.0,100.0,-,-,-,-
性/年齢別女性60歳代実数,1,-,1,-,-,-
性/年齢別女性60歳代（％）,100.0,-,100.0,-,-,-
性/年齢別女性70歳代実数,1,-,-,-,1,-
性/年齢別女性70歳代（％）,100.0,-,-,-,100.0,-
性/年齢別女性80歳以上実数,-,-,-,-,-,-
性/年齢別女性80歳以上（％）,-,-,-,-,-,-
未・既婚別未婚実数,14,2,10,2,-,-
未・既婚別未婚（％）,100.0,14.3,71.4,14.3,-,-
未・既婚別既婚（死別・離別を含む）実数,23,11,9,-,2,1
未・既婚別既婚（死別・離別を含む）（％）,100.0,47.8,39.1,-,8.7,4.3
子供の有無別子供はいない実数,19,5,12,2,-,-
子供の有無別子供はいない（％）,100.0,26.3,63.2,10.5,-,-
子供の有無別未就学（～６歳）実数,5,3,1,-,1,-
子供の有無別未就学（～６歳）（％）,100.0,60.0,20.0,-,20.0,-
子供の有無別小・中・高校生実数,7,2,4,-,1,-
