,調査数,日常的に使っている,時々使っている,ほとんど利用しない,無回答
全体実数,984,853,120,9,2
全体（％）,100.0,86.7,12.2,0.9,0.2
性別男性実数,505,460,38,7,-
性別男性（％）,100.0,91.1,7.5,1.4,-
性別女性実数,479,393,82,2,2
性別女性（％）,100.0,82.0,17.1,0.4,0.4
年齢別20歳代実数,156,145,11,-,-
年齢別20歳代（％）,100.0,92.9,7.1,-,-
年齢別30歳代実数,215,189,24,1,1
年齢別30歳代（％）,100.0,87.9,11.2,0.5,0.5
年齢別40歳代実数,293,266,27,-,-
年齢別40歳代（％）,100.0,90.8,9.2,-,-
年齢別50歳代実数,176,148,26,1,1
年齢別50歳代（％）,100.0,84.1,14.8,0.6,0.6
年齢別60歳代実数,108,80,23,5,-
年齢別60歳代（％）,100.0,74.1,21.3,4.6,-
年齢別70歳代実数,33,23,8,2,-
年齢別70歳代（％）,100.0,69.7,24.2,6.1,-
年齢別80歳以上実数,3,2,1,-,-
年齢別80歳以上（％）,100.0,66.7,33.3,-,-
性/年齢別男性20歳代実数,80,74,6,-,-
性/年齢別男性20歳代（％）,100.0,92.5,7.5,-,-
性/年齢別男性30歳代実数,100,94,5,1,-
性/年齢別男性30歳代（％）,100.0,94.0,5.0,1.0,-
性/年齢別男性40歳代実数,141,133,8,-,-
性/年齢別男性40歳代（％）,100.0,94.3,5.7,-,-
性/年齢別男性50歳代実数,103,93,9,1,-
性/年齢別男性50歳代（％）,100.0,90.3,8.7,1.0,-
性/年齢別男性60歳代実数,59,50,6,3,-
性/年齢別男性60歳代（％）,100.0,84.7,10.2,5.1,-
性/年齢別男性70歳代実数,20,15,3,2,-
性/年齢別男性70歳代（％）,100.0,75.0,15.0,10.0,-
性/年齢別男性80歳以上実数,2,1,1,-,-
性/年齢別男性80歳以上（％）,100.0,50.0,50.0,-,-
性/年齢別女性20歳代実数,76,71,5,-,-
性/年齢別女性20歳代（％）,100.0,93.4,6.6,-,-
性/年齢別女性30歳代実数,115,95,19,-,1
性/年齢別女性30歳代（％）,100.0,82.6,16.5,-,0.9
性/年齢別女性40歳代実数,152,133,19,-,-
性/年齢別女性40歳代（％）,100.0,87.5,12.5,-,-
性/年齢別女性50歳代実数,73,55,17,-,1
性/年齢別女性50歳代（％）,100.0,75.3,23.3,-,1.4
性/年齢別女性60歳代実数,49,30,17,2,-
性/年齢別女性60歳代（％）,100.0,61.2,34.7,4.1,-
性/年齢別女性70歳代実数,13,8,5,-,-
性/年齢別女性70歳代（％）,100.0,61.5,38.5,-,-
性/年齢別女性80歳以上実数,1,1,-,-,-
性/年齢別女性80歳以上（％）,100.0,100.0,-,-,-
未・既婚別未婚実数,332,305,23,3,1
未・既婚別未婚（％）,100.0,91.9,6.9,0.9,0.3
未・既婚別既婚（死別・離別を含む）実数,650,546,97,6,1
未・既婚別既婚（死別・離別を含む）（％）,100.0,84.0,14.9,0.9,0.2
子供の有無別子供はいない実数,447,405,38,4,-
子供の有無別子供はいない（％）,100.0,90.6,8.5,0.9,-
子供の有無別未就学（～６歳）実数,153,135,17,-,1
子供の有無別未就学（～６歳）（％）,100.0,88.2,11.1,-,0.7
子供の有無別小・中・高校生実数,210,184,25,1,-
子供の有無別小・中・高校生（％）,100.0,87.6,11.9,0.5,-
子供の有無別大学生・大学院生・短大生・専門学校生実数,71,66,5,-,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,93.0,7.0,-,-
子供の有無別学校教育終了実数,196,147,44,4,1
子供の有無別学校教育終了（％）,100.0,75.0,22.4,2.0,0.5
子供の有無別その他実数,2,2,-,-,-
子供の有無別その他（％）,100.0,100.0,-,-,-
職業別自営業（計）実数,79,69,9,1,-
職業別自営業（計）（％）,100.0,87.3,11.4,1.3,-
職業別農林漁業実数,1,1,-,-,-
職業別農林漁業（％）,100.0,100.0,-,-,-
職業別商工・サービス業実数,45,38,6,1,-
職業別商工・サービス業（％）,100.0,84.4,13.3,2.2,-
職業別その他自由業実数,33,30,3,-,-
