,参議院議員選挙/調査数,参議院議員選挙/投票するべき（計）,参議院議員選挙/必ず投票するべき,参議院議員選挙/可能な限り投票するべき,参議院議員選挙/投票するのもしないのも自由,参議院議員選挙/投票その他,参議院議員選挙/投票わからない,東京都知事選挙/調査数,東京都知事選挙/投票するべき（計）,東京都知事選挙/必ず投票するべき,東京都知事選挙/可能な限り投票するべき,東京都知事選挙/投票するのもしないのも自由,東京都知事選挙/投票その他,東京都知事選挙/投票わからない
全体,1823,1434,596,838,344,1,44,1823,1443,615,828,335,1,44
全体,100.0,78.7,32.7,46.0,18.9,0.1,2.4,100.0,79.2,33.7,45.4,18.4,0.1,2.4
性別男性,852,682,329,353,150,1,19,852,685,338,347,147,1,19
性別男性,100.0,80.0,38.6,41.4,17.6,0.1,2.2,100.0,80.4,39.7,40.7,17.3,0.1,2.2
性別女性,971,752,267,485,194,-,25,971,758,277,481,188,-,25
性別女性,100.0,77.4,27.5,49.9,20.0,-,2.6,100.0,78.1,28.5,49.5,19.4,-,2.6
年齢別18歳,7,3,1,2,2,-,2,7,3,1,2,2,-,2
年齢別18歳,100.0,42.9,14.3,28.6,28.6,-,28.6,100.0,42.9,14.3,28.6,28.6,-,28.6
年齢別19歳,20,10,-,10,8,-,2,20,10,-,10,8,-,2
年齢別19歳,100.0,50.0,-,50.0,40.0,-,10.0,100.0,50.0,-,50.0,40.0,-,10.0
年齢別20歳代,164,73,19,54,79,-,12,164,73,20,53,79,-,12
年齢別20歳代,100.0,44.5,11.6,32.9,48.2,-,7.3,100.0,44.5,12.2,32.3,48.2,-,7.3
年齢別30歳代,257,193,54,139,64,-,-,257,194,58,136,63,-,-
年齢別30歳代,100.0,75.1,21.0,54.1,24.9,-,-,100.0,75.5,22.6,52.9,24.5,-,-
年齢別40歳代,398,322,95,227,71,-,5,398,325,100,225,69,-,4
年齢別40歳代,100.0,80.9,23.9,57.0,17.8,-,1.3,100.0,81.7,25.1,56.5,17.3,-,1.0
年齢別50歳代,311,264,112,152,43,-,4,311,266,114,152,41,-,4
年齢別50歳代,100.0,84.9,36.0,48.9,13.8,-,1.3,100.0,85.5,36.7,48.9,13.2,-,1.3
年齢別60歳代,337,301,161,140,27,-,9,337,302,165,137,25,-,10
年齢別60歳代,100.0,89.3,47.8,41.5,8.0,-,2.7,100.0,89.6,49.0,40.7,7.4,-,3.0
年齢別70歳代,231,192,109,83,34,1,4,231,194,112,82,32,1,4
年齢別70歳代,100.0,83.1,47.2,35.9,14.7,0.4,1.7,100.0,84.0,48.5,35.5,13.9,0.4,1.7
年齢別80歳以上,98,76,45,31,16,-,6,98,76,45,31,16,-,6
年齢別80歳以上,100.0,77.6,45.9,31.6,16.3,-,6.1,100.0,77.6,45.9,31.6,16.3,-,6.1
