名称,郵便番号,住所,緯度,経度,座標系,代表電話番号
千代田区選挙管理委員会,102-8688,千代田区九段南1-2-1,35.694001,139.753608,JGD2011,03-3264-2111
中央区選挙管理委員会,104-8404,中央区築地1-1-1,35.670630,139.772000,JGD2011,03-3543-0211
港区選挙管理委員会,105-8511,港区芝公園1-5-25,35.658044,139.751535,JGD2011,03-3578-2111
新宿区選挙管理委員会,160-8484,新宿区歌舞伎町1-5-1第1分庁舎3階,35.693396,139.703409,JGD2011,03-3209-1111
文京区選挙管理委員会,112-8555,文京区春日1-16-21,35.707914,139.752653,JGD2011,03-3812-7111
台東区選挙管理委員会,110-8615,台東区東上野4-5-6,35.712601,139.779959,JGD2011,03-5246-1111
墨田区選挙管理委員会,130-8640,墨田区吾妻橋1-23-20,35.710505,139.801508,JGD2011,03-5608-1111
江東区選挙管理委員会,135-8383,江東区東陽4-11-28,35.672802,139.817340,JGD2011,03-3647-9111
品川区選挙管理委員会,140-8715,品川区広町2-1-36品川区防災センター・第2庁舎,35.609177,139.730167,JGD2011,03-3777-1111
目黒区選挙管理委員会,153-8573,目黒区上目黒2-19-15,35.641390,139.698105,JGD2011,03-3715-1111
大田区選挙管理委員会,144-8621,大田区蒲田5-13-14,35.561451,139.716100,JGD2011,03-5744-1111
世田谷区選挙管理委員会,154-8504,世田谷区世田谷4-21-27,35.645949,139.653078,JGD2011,03-5432-1111
渋谷区選挙管理委員会,150-8010,渋谷区宇田川町1-1渋谷区役所12階,35.663684,139.697741,JGD2011,03-3463-1211
中野区選挙管理委員会,164-8501,中野区中野4-8-1,35.707369,139.663762,JGD2011,03-3389-1111
杉並区選挙管理委員会,166-8570,杉並区阿佐谷南1-15-1,35.699661,139.636188,JGD2011,03-3312-2111
豊島区選挙管理委員会,170-0013,豊島区南池袋2-45-1本庁舎8階,35.726104,139.716654,JGD2011,03-3981-1111
北区選挙管理委員会,114-8546,北区滝野川2-52-10,35.751473,139.733254,JGD2011,03-3908-1111
荒川区選挙管理委員会,116-8501,荒川区荒川2-2-3,35.736056,139.783364,JGD2011,03-3802-3111
板橋区選挙管理委員会,173-8501,板橋区板橋2-66-1,35.750880,139.709189,JGD2011,03-3964-1111
練馬区選挙管理委員会,176-8501,練馬区豊玉北6-12-1,35.735671,139.651705,JGD2011,03-3993-1111
足立区選挙管理委員会,120-8510,足立区中央本町1-17-1,35.774783,139.804576,JGD2011,03-3880-5111
葛飾区選挙管理委員会,124-8555,葛飾区立石5-13-1,35.743181,139.847312,JGD2011,03-3695-1111
江戸川区選挙管理委員会,132-8501,江戸川区中央1-4-1,35.707031,139.868218,JGD2011,03-3652-1151
八王子市選挙管理委員会,192-8501,八王子市元本郷町3-24-1,35.666428,139.315993,JGD2011,0426-26-3111
立川市選挙管理委員会,190-8666,立川市泉町1156-9,35.714042,139.407759,JGD2011,042-523-2111
武蔵野市選挙管理委員会,180-8777,武蔵野市緑町2-2-28,35.717717,139.566045,JGD2011,0422-51-5131
三鷹市選挙管理委員会,181-8555,三鷹市野崎1-1-1第3庁舎,35.683516,139.559481,JGD2011,0422-45-1151
青梅市選挙管理委員会,198-8701,青梅市東青梅1-11-1,35.787856,139.275831,JGD2011,0428-22-1111
府中市選挙管理委員会,183-8703,府中市宮西町2-24,35.668977,139.477612,JGD2011,0423-64-4111
昭島市選挙管理委員会,196-8511,昭島市田中町1-17-1,35.705811,139.353574,JGD2011,042-544-5111
調布市選挙管理委員会,182-8511,調布市小島町2-35-1,35.650630,139.540805,JGD2011,0424-81-7111
町田市選挙管理委員会,194-8520,町田市森野2-2-22,35.546643,139.438645,JGD2011,042-722-3111
小金井市選挙管理委員会,184-0013,小金井市前原町3-41-15第2庁舎,35.698566,139.504908,JGD2011,0423-83-1111
小平市選挙管理委員会,187-0043,小平市学園東町1-19-12健康センター,35.726968,139.477577,JGD2011,0423-41-1211
