,調査数,区部（計）,センター・コア・エリア,区部東部・北部エリア,区部西部・南部エリア,市郡部（計）,多摩東部エリア,多摩中央部北エリア,多摩中央部南エリア,多摩西部エリア
全体実数,1827,1189,314,382,493,638,239,89,267,43
全体（％）,100.0,65.1,17.2,20.9,27.0,34.9,13.1,4.9,14.6,2.4
性別男性実数,882,572,143,194,235,310,112,39,138,21
性別男性（％）,100.0,64.9,16.2,22.0,26.6,35.1,12.7,4.4,15.6,2.4
性別女性実数,945,617,171,188,258,328,127,50,129,22
性別女性（％）,100.0,65.3,18.1,19.9,27.3,34.7,13.4,5.3,13.7,2.3
年齢別20歳代実数,174,111,33,30,48,63,22,7,31,3
年齢別20歳代（％）,100.0,63.8,19.0,17.2,27.6,36.2,12.6,4.0,17.8,1.7
年齢別30歳代実数,261,183,62,48,73,78,25,14,35,4
年齢別30歳代（％）,100.0,70.1,23.8,18.4,28.0,29.9,9.6,5.4,13.4,1.5
年齢別40歳代実数,365,241,57,79,105,124,58,19,43,4
年齢別40歳代（％）,100.0,66.0,15.6,21.6,28.8,34.0,15.9,5.2,11.8,1.1
年齢別50歳代実数,294,186,36,64,86,108,39,13,45,11
年齢別50歳代（％）,100.0,63.3,12.2,21.8,29.3,36.7,13.3,4.4,15.3,3.7
年齢別60歳代実数,313,199,53,70,76,114,48,9,48,9
年齢別60歳代（％）,100.0,63.6,16.9,22.4,24.3,36.4,15.3,2.9,15.3,2.9
年齢別70歳代実数,296,179,53,61,65,117,38,19,49,11
年齢別70歳代（％）,100.0,60.5,17.9,20.6,22.0,39.5,12.8,6.4,16.6,3.7
年齢別80歳以上実数,124,90,20,30,40,34,9,8,16,1
年齢別80歳以上（％）,100.0,72.6,16.1,24.2,32.3,27.4,7.3,6.5,12.9,0.8
性/年齢別男性20歳代実数,92,57,17,16,24,35,11,5,17,2
性/年齢別男性20歳代（％）,100.0,62.0,18.5,17.4,26.1,38.0,12.0,5.4,18.5,2.2
性/年齢別男性30歳代実数,118,88,30,22,36,30,11,6,12,1
性/年齢別男性30歳代（％）,100.0,74.6,25.4,18.6,30.5,25.4,9.3,5.1,10.2,0.8
性/年齢別男性40歳代実数,174,110,26,38,46,64,27,10,26,1
性/年齢別男性40歳代（％）,100.0,63.2,14.9,21.8,26.4,36.8,15.5,5.7,14.9,0.6
性/年齢別男性50歳代実数,161,102,16,37,49,59,19,7,27,6
性/年齢別男性50歳代（％）,100.0,63.4,9.9,23.0,30.4,36.6,11.8,4.3,16.8,3.7
性/年齢別男性60歳代実数,153,101,27,37,37,52,24,2,22,4
性/年齢別男性60歳代（％）,100.0,66.0,17.6,24.2,24.2,34.0,15.7,1.3,14.4,2.6
性/年齢別男性70歳代実数,134,75,20,29,26,59,17,9,26,7
性/年齢別男性70歳代（％）,100.0,56.0,14.9,21.6,19.4,44.0,12.7,6.7,19.4,5.2
性/年齢別男性80歳以上実数,50,39,7,15,17,11,3,-,8,-
性/年齢別男性80歳以上（％）,100.0,78.0,14.0,30.0,34.0,22.0,6.0,-,16.0,-
性/年齢別女性20歳代実数,82,54,16,14,24,28,11,2,14,1
性/年齢別女性20歳代（％）,100.0,65.9,19.5,17.1,29.3,34.1,13.4,2.4,17.1,1.2
性/年齢別女性30歳代実数,143,95,32,26,37,48,14,8,23,3
性/年齢別女性30歳代（％）,100.0,66.4,22.4,18.2,25.9,33.6,9.8,5.6,16.1,2.1
性/年齢別女性40歳代実数,191,131,31,41,59,60,31,9,17,3
性/年齢別女性40歳代（％）,100.0,68.6,16.2,21.5,30.9,31.4,16.2,4.7,8.9,1.6
性/年齢別女性50歳代実数,133,84,20,27,37,49,20,6,18,5
性/年齢別女性50歳代（％）,100.0,63.2,15.0,20.3,27.8,36.8,15.0,4.5,13.5,3.8
性/年齢別女性60歳代実数,160,98,26,33,39,62,24,7,26,5
性/年齢別女性60歳代（％）,100.0,61.3,16.3,20.6,24.4,38.8,15.0,4.4,16.3,3.1
性/年齢別女性70歳代実数,162,104,33,32,39,58,21,10,23,4
性/年齢別女性70歳代（％）,100.0,64.2,20.4,19.8,24.1,35.8,13.0,6.2,14.2,2.5
性/年齢別女性80歳以上実数,74,51,13,15,23,23,6,8,8,1
性/年齢別女性80歳以上（％）,100.0,68.9,17.6,20.3,31.1,31.1,8.1,10.8,10.8,1.4
未・既婚別未婚実数,453,300,83,95,122,153,58,21,68,6
未・既婚別未婚（％）,100.0,66.2,18.3,21.0,26.9,33.8,12.8,4.6,15.0,1.3
未・既婚別既婚（死別・離別を含む）実数,1366,884,230,287,367,482,180,67,199,36
未・既婚別既婚（死別・離別を含む）（％）,100.0,64.7,16.8,21.0,26.9,35.3,13.2,4.9,14.6,2.6
子供の有無別子供はいない実数,642,438,135,128,175,204,81,29,86,8
子供の有無別子供はいない（％）,100.0,68.2,21.0,19.9,27.3,31.8,12.6,4.5,13.4,1.2
子供の有無別未就学（～６歳）実数,180,128,40,43,45,52,20,10,20,2
子供の有無別未就学（～６歳）（％）,100.0,71.1,22.2,23.9,25.0,28.9,11.1,5.6,11.1,1.1
子供の有無別小・中・高校生実数,270,168,39,50,79,102,37,17,40,8
子供の有無別小・中・高校生（％）,100.0,62.2,14.4,18.5,29.3,37.8,13.7,6.3,14.8,3.0
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,69,14,20,35,37,13,3,17,4
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,65.1,13.2,18.9,33.0,34.9,12.3,2.8,16.0,3.8
子供の有無別学校教育終了実数,743,467,99,168,200,276,97,36,116,27
子供の有無別学校教育終了（％）,100.0,62.9,13.3,22.6,26.9,37.1,13.1,4.8,15.6,3.6
子供の有無別その他実数,7,4,-,3,1,3,-,-,3,-
子供の有無別その他（％）,100.0,57.1,-,42.9,14.3,42.9,-,-,42.9,-
職業別自営業（計）実数,152,117,34,35,48,35,13,4,15,3
職業別自営業（計）（％）,100.0,77.0,22.4,23.0,31.6,23.0,8.6,2.6,9.9,2.0
職業別農林漁業実数,3,3,-,1,2,-,-,-,-,-
職業別農林漁業（％）,100.0,100.0,-,33.3,66.7,-,-,-,-,-
職業別商工・サービス業実数,96,76,24,23,29,20,8,3,6,3
職業別商工・サービス業（％）,100.0,79.2,25.0,24.0,30.2,20.8,8.3,3.1,6.3,3.1
職業別その他自由業実数,53,38,10,11,17,15,5,1,9,-
