,都、区市町村のＳＮＳ（ツイッター等）,インターネットバナー広告（Yahoo!JAPAN）,その他,見たり聞いたりしたものはない,わからない、忘れた,無回答
全体,15,30,6,387,477,7
全体,0.7,1.5,0.3,19.2,23.7,0.3
性別男性,10,23,2,184,198,4
性別男性,1.1,2.4,0.2,19.4,20.8,0.4
性別女性,5,7,4,203,279,3
性別女性,0.5,0.7,0.4,19.1,26.3,0.3
年齢20歳代,3,6,-,67,114,1
年齢20歳代,1.0,2.0,-,22.7,38.6,0.3
年齢30歳代,4,11,1,65,78,2
年齢30歳代,1.1,3.1,0.3,18.3,22.0,0.6
年齢40歳代,4,6,1,70,83,1
年齢40歳代,1.0,1.5,0.3,17.6,20.9,0.3
年齢50歳代,3,4,-,53,52,2
年齢50歳代,1.0,1.4,-,18.1,17.7,0.7
年齢60歳代,1,3,3,54,66,-
年齢60歳代,0.3,0.9,0.9,16.5,20.2,-
年齢70歳代,-,-,1,53,59,-
年齢70歳代,-,-,0.4,22.8,25.4,-
年齢80歳以上,-,-,-,22,20,-
年齢80歳以上,-,-,-,24.4,22.2,-
性／年齢別男性20歳代,2,6,-,31,57,-
性／年齢別男性20歳代,1.4,4.2,-,21.7,39.9,-
性／年齢別男性30歳代,1,8,1,21,29,2
性／年齢別男性30歳代,0.7,5.2,0.7,13.7,19.0,1.3
性／年齢別男性40歳代,3,5,-,30,33,1
性／年齢別男性40歳代,1.7,2.8,-,17.0,18.8,0.6
性／年齢別男性50歳代,3,3,-,26,18,-
性／年齢別男性50歳代,2.0,2.0,-,17.6,12.2,-
性／年齢別男性60歳代,1,1,1,35,26,-
性／年齢別男性60歳代,0.6,0.6,0.6,20.7,15.4,-
性／年齢別男性70歳代,-,-,-,32,26,-
性／年齢別男性70歳代,-,-,-,27.1,22.0,-
性／年齢別男性80歳以上,-,-,-,9,9,-
性／年齢別男性80歳以上,-,-,-,23.1,23.1,-
性／年齢別女性20歳代,1,-,-,36,57,1
性／年齢別女性20歳代,0.7,-,-,23.7,37.5,0.7
性／年齢別女性30歳代,3,3,-,44,49,-
性／年齢別女性30歳代,1.5,1.5,-,21.8,24.3,-
性／年齢別女性40歳代,1,1,1,40,50,-
性／年齢別女性40歳代,0.5,0.5,0.5,18.0,22.5,-
性／年齢別女性50歳代,-,1,-,27,34,2
性／年齢別女性50歳代,-,0.7,-,18.6,23.4,1.4
性／年齢別女性60歳代,-,2,2,19,40,-
性／年齢別女性60歳代,-,1.3,1.3,12.0,25.3,-
性／年齢別女性70歳代,-,-,1,21,33,-
性／年齢別女性70歳代,-,-,0.9,18.4,28.9,-
性／年齢別女性80歳以上,-,-,-,13,11,-
性／年齢別女性80歳以上,-,-,-,25.5,21.6,-
未・既婚別未婚（死別・離別を含む）,6,14,-,189,232,2
未・既婚別未婚（死別・離別を含む）,0.7,1.7,-,23.6,29.0,0.2
未・既婚別既婚,9,16,6,194,235,4
未・既婚別既婚,0.8,1.3,0.5,16.3,19.8,0.3
子供の有無別子供はいない,8,18,1,166,218,2
子供の有無別子供はいない,1.0,2.3,0.1,21.3,28.0,0.3
子供の有無別未就学（～６歳）,2,2,-,20,33,2
子供の有無別未就学（～６歳）,1.3,1.3,-,12.9,21.3,1.3
子供の有無別小・中・高校生,6,7,1,45,68,1
子供の有無別小・中・高校生,1.9,2.2,0.3,14.1,21.3,0.3
子供の有無別大学生・大学院生・短大生・専門学校生,1,-,-,25,18,-
子供の有無別大学生・大学院生・短大生・専門学校生,1.1,-,-,27.2,19.6,-
子供の有無別学校教育終了,1,4,4,127,125,-
子供の有無別学校教育終了,0.1,0.6,0.6,18.9,18.6,-
子供の有無別その他,-,-,-,2,4,-
子供の有無別その他,-,-,-,18.2,36.4,-
職業別自営業（計）,5,4,2,31,28,-
職業別自営業（計）,2.9,2.3,1.1,17.8,16.1,-
職業別農林漁業,-,-,-,1,1,-
職業別農林漁業,-,-,-,50.0,50.0,-
職業別商工・サービス業,2,1,-,9,14,-
職業別商工・サービス業,2.8,1.4,-,12.7,19.7,-
職業別その他自由業,3,3,2,21,13,-
職業別その他自由業,3.0,3.0,2.0,20.8,12.9,-
職業別お勤め（計）,6,21,2,200,218,3
職業別お勤め（計）,0.6,2.1,0.2,20.4,22.2,0.3
職業別経営・管理職,1,4,-,21,22,1
職業別経営・管理職,0.9,3.7,-,19.3,20.2,0.9
職業別専門職・技術職,3,6,-,39,39,1
職業別専門職・技術職,1.1,2.3,-,14.9,14.9,0.4
職業別事務職,1,5,-,72,70,-
職業別事務職,0.3,1.6,-,23.6,23.0,-
職業別労務職・技能職,-,-,-,19,24,-
職業別労務職・技能職,-,-,-,21.3,27.0,-
職業別販売・サービス職,1,6,2,49,63,1
職業別販売・サービス職,0.5,2.8,0.9,22.6,29.0,0.5
職業別その他（計）,4,5,2,154,224,3
職業別その他（計）,0.5,0.6,0.2,18.3,26.6,0.4
職業別学生,1,1,-,7,23,-
職業別学生,1.9,1.9,-,13.2,43.4,-
職業別専業主婦（夫）,1,1,2,59,117,2
職業別専業主婦（夫）,0.3,0.3,0.5,15.1,29.9,0.5
職業別その他,1,1,-,17,7,1
職業別その他,1.6,1.6,-,27.4,11.3,1.6
職業別無職（年金受給者含む）,1,2,-,71,77,-
職業別無職（年金受給者含む）,0.3,0.6,-,21.2,23.0,-
投票所までの時間別５分以内,11,14,3,134,98,1
投票所までの時間別５分以内,1.7,2.2,0.5,21.1,15.4,0.2
投票所までの時間別10分以内,3,13,2,207,323,3
投票所までの時間別10分以内,0.3,1.2,0.2,19.5,30.5,0.3
投票所までの時間別20分以内,1,2,1,38,39,2
投票所までの時間別20分以内,0.5,0.9,0.5,17.2,17.6,0.9
投票所までの時間別30分以内,-,1,-,-,9,-
投票所までの時間別30分以内,-,2.0,-,-,18.0,-
投票所までの時間別30分を超える,-,-,-,-,3,-
投票所までの時間別30分を超える,-,-,-,-,11.5,-
地域別区部（計）,12,26,3,292,281,1
地域別区部（計）,0.9,1.9,0.2,21.0,20.2,0.1
地域別センターコア,3,9,-,68,43,-
地域別センターコア,0.8,2.4,-,18.3,11.6,-
地域別区部東部・北部エリア,2,7,-,104,65,1
地域別区部東部・北部エリア,0.5,1.7,-,25.5,15.9,0.2
地域別区部西部・南部エリア,7,10,3,120,173,-
地域別区部西部・南部エリア,1.1,1.6,0.5,19.6,28.3,-
地域別市郡部（計）,3,4,3,95,196,6
地域別市郡部（計）,0.5,0.6,0.5,15.3,31.7,1.0
地域別多摩東部エリア,-,-,-,42,83,3
地域別多摩東部エリア,-,-,-,17.9,35.3,1.3
地域別多摩中央部北エリア,-,-,3,25,5,1
地域別多摩中央部北エリア,-,-,3.4,28.4,5.7,1.1
地域別多摩中央部南エリア,3,4,-,27,86,1
地域別多摩中央部南エリア,1.1,1.5,-,10.3,33.0,0.4
地域別多摩西部エリア,-,-,-,1,22,1
地域別多摩西部エリア,-,-,-,2.9,62.9,2.9
選挙への関心度別関心があった（計）,12,21,4,197,204,4
選挙への関心度別関心があった（計）,1.0,1.8,0.3,16.8,17.4,0.3
選挙への関心度別関心があった,7,14,3,103,109,3
選挙への関心度別関心があった,1.1,2.2,0.5,16.2,17.1,0.5
選挙への関心度別やや関心があった,5,7,1,94,95,1
選挙への関心度別やや関心があった,0.9,1.3,0.2,17.6,17.8,0.2
選挙への関心度別関心がなかった（計）,1,4,2,139,193,2
選挙への関心度別関心がなかった（計）,0.2,0.8,0.4,26.1,36.2,0.4
選挙への関心度別あまり関心がなかった,1,4,1,81,106,1
選挙への関心度別あまり関心がなかった,0.3,1.3,0.3,25.6,33.5,0.3
選挙への関心度別関心がなかった,-,-,1,58,87,1
選挙への関心度別関心がなかった,-,-,0.5,26.7,40.1,0.5
選挙への関心度別どちらともいえない,2,5,-,50,72,1
選挙への関心度別どちらともいえない,0.7,1.7,-,16.8,24.2,0.3
選挙への関心度別わからない、答えたくない,-,-,-,1,8,-
選挙への関心度別わからない、答えたくない,-,-,-,10.0,80.0,-
投票への意識別必ず投票するべき,6,8,3,93,111,3
投票への意識別必ず投票するべき,1.0,1.3,0.5,15.3,18.2,0.5
投票への意識別可能な限り投票するべき,5,16,2,149,176,2
投票への意識別可能な限り投票するべき,0.6,1.9,0.2,17.6,20.8,0.2
投票への意識別投票するのもしないのも自由,4,5,1,131,137,2
投票への意識別投票するのもしないのも自由,0.8,1.1,0.2,27.7,29.0,0.4
投票への意識別その他,-,-,-,2,5,-
投票への意識別その他,-,-,-,25.0,62.5,-
投票への意識別わからない,-,1,-,7,43,-
投票への意識別わからない,-,1.6,-,11.3,69.4,-
投票への参加状況別投票した（計）,15,21,5,145,158,3
投票への参加状況別投票した（計）,1.5,2.1,0.5,14.5,15.8,0.3
投票への参加状況別投票日（２月９日）に投票した,12,18,5,125,133,3
投票への参加状況別投票日（２月１０日）に投票した,1.5,2.2,0.6,15.1,16.1,0.4
投票への参加状況別期日前投票（又は不在者投票等）をした,3,3,-,20,25,-
投票への参加状況別期日前投票（又は不在者投票等）をした,1.7,1.7,-,11.6,14.5,-
投票への参加状況別投票しなかった,-,9,1,237,293,3
投票への参加状況別投票しなかった,-,0.9,0.1,24.6,30.4,0.3
投票への参加状況別答えたくない,-,-,-,3,24,1
投票への参加状況別答えたくない,-,-,-,7.1,57.1,2.4
ネット投票の認知度別知っている,15,26,3,222,269,6
ネット投票の認知度別知っている,1.2,2.0,0.2,17.2,20.8,0.5
ネット投票の認知度別知らなかった,-,4,3,153,187,1
ネット投票の認知度別知らなかった,-,0.6,0.5,23.7,29.0,0.2
インターネットの利用有無別インターネットを利用している,15,30,3,210,290,4
インターネットの利用有無別インターネットを利用している,1.3,2.6,0.3,17.9,24.7,0.3
インターネットの利用有無別インターネットを利用していない,-,-,3,177,186,3
インターネットの利用有無別インターネットを利用していない,-,-,0.4,21.3,22.4,0.4
新聞の定期購読別定期購読している,4,15,6,195,231,4
新聞の定期購読別定期購読している,0.3,1.2,0.5,16.2,19.2,0.3
新聞の定期購読別定期購読していない,11,15,-,190,242,3
新聞の定期購読別定期購読していない,1.4,1.9,-,23.9,30.4,0.4
