,調査数,テレビ・ラジオの選挙報道,新聞・雑誌などの選挙報道,選挙公報,投票所入場（整理）券,候補者等の新聞広告,候補者等のポスター,候補者等の街頭演説,候補者の個人演説会,候補者のはがき・ビラ,候補者等のホームページやＳＮＳ（ツイッターやフェイスブック等）、動画,政党、候補者の後援会などからの推薦,家族、友人、知人からの勧め,その他,どれにも接していない,わからない、忘れた,無回答
全体実数,1827,1303,782,704,480,287,793,403,72,263,84,90,160,14,117,25,9
全体（％）,100.0,71.3,42.8,38.5,26.3,15.7,43.4,22.1,3.9,14.4,4.6,4.9,8.8,0.8,6.4,1.4,0.5
性別男性実数,882,631,403,330,223,152,380,200,30,109,51,42,58,7,56,8,5
性別男性（％）,100.0,71.5,45.7,37.4,25.3,17.2,43.1,22.7,3.4,12.4,5.8,4.8,6.6,0.8,6.3,0.9,0.6
性別女性実数,945,672,379,374,257,135,413,203,42,154,33,48,102,7,61,17,4
性別女性（％）,100.0,71.1,40.1,39.6,27.2,14.3,43.7,21.5,4.4,16.3,3.5,5.1,10.8,0.7,6.5,1.8,0.4
年齢別20歳代実数,174,114,61,46,37,16,72,54,8,8,18,5,16,2,14,6,1
年齢別20歳代（％）,100.0,65.5,35.1,26.4,21.3,9.2,41.4,31.0,4.6,4.6,10.3,2.9,9.2,1.1,8.0,3.4,0.6
年齢別30歳代実数,261,179,76,67,55,23,100,61,7,31,17,5,13,3,24,5,2
年齢別30歳代（％）,100.0,68.6,29.1,25.7,21.1,8.8,38.3,23.4,2.7,11.9,6.5,1.9,5.0,1.1,9.2,1.9,0.8
年齢別40歳代実数,365,264,142,122,88,50,178,89,10,58,28,5,23,2,18,3,-
年齢別40歳代（％）,100.0,72.3,38.9,33.4,24.1,13.7,48.8,24.4,2.7,15.9,7.7,1.4,6.3,0.5,4.9,0.8,-
年齢別50歳代実数,294,216,150,109,85,51,133,68,9,42,9,18,38,1,13,2,-
年齢別50歳代（％）,100.0,73.5,51.0,37.1,28.9,17.3,45.2,23.1,3.1,14.3,3.1,6.1,12.9,0.3,4.4,0.7,-
年齢別60歳代実数,313,232,166,149,99,81,147,73,15,58,9,27,29,3,21,1,2
年齢別60歳代（％）,100.0,74.1,53.0,47.6,31.6,25.9,47.0,23.3,4.8,18.5,2.9,8.6,9.3,1.0,6.7,0.3,0.6
年齢別70歳代実数,296,213,136,151,87,50,126,43,16,52,3,28,33,2,16,5,2
年齢別70歳代（％）,100.0,72.0,45.9,51.0,29.4,16.9,42.6,14.5,5.4,17.6,1.0,9.5,11.1,0.7,5.4,1.7,0.7
年齢別80歳以上実数,124,85,51,60,29,16,37,15,7,14,-,2,8,1,11,3,2
年齢別80歳以上（％）,100.0,68.5,41.1,48.4,23.4,12.9,29.8,12.1,5.6,11.3,-,1.6,6.5,0.8,8.9,2.4,1.6
性/年齢別男性20歳代実数,92,57,34,23,22,9,36,27,5,1,11,4,5,1,7,2,1
性/年齢別男性20歳代（％）,100.0,62.0,37.0,25.0,23.9,9.8,39.1,29.3,5.4,1.1,12.0,4.3,5.4,1.1,7.6,2.2,1.1
性/年齢別男性30歳代実数,118,80,34,30,26,9,43,33,2,10,9,1,3,1,12,3,1
性/年齢別男性30歳代（％）,100.0,67.8,28.8,25.4,22.0,7.6,36.4,28.0,1.7,8.5,7.6,0.8,2.5,0.8,10.2,2.5,0.8
性/年齢別男性40歳代実数,174,132,68,56,30,18,84,42,2,23,15,2,9,1,5,2,-
性/年齢別男性40歳代（％）,100.0,75.9,39.1,32.2,17.2,10.3,48.3,24.1,1.1,13.2,8.6,1.1,5.2,0.6,2.9,1.1,-
性/年齢別男性50歳代実数,161,119,82,50,39,30,68,39,4,16,6,7,15,-,11,-,-
性/年齢別男性50歳代（％）,100.0,73.9,50.9,31.1,24.2,18.6,42.2,24.2,2.5,9.9,3.7,4.3,9.3,-,6.8,-,-
性/年齢別男性60歳代実数,153,106,89,71,55,51,72,33,4,29,7,13,10,1,12,-,2
性/年齢別男性60歳代（％）,100.0,69.3,58.2,46.4,35.9,33.3,47.1,21.6,2.6,19.0,4.6,8.5,6.5,0.7,7.8,-,1.3
性/年齢別男性70歳代実数,134,102,72,72,41,26,60,17,9,23,3,15,13,2,7,1,-
性/年齢別男性70歳代（％）,100.0,76.1,53.7,53.7,30.6,19.4,44.8,12.7,6.7,17.2,2.2,11.2,9.7,1.5,5.2,0.7,-
性/年齢別男性80歳以上実数,50,35,24,28,10,9,17,9,4,7,-,-,3,1,2,-,1
性/年齢別男性80歳以上（％）,100.0,70.0,48.0,56.0,20.0,18.0,34.0,18.0,8.0,14.0,-,-,6.0,2.0,4.0,-,2.0
性/年齢別女性20歳代実数,82,57,27,23,15,7,36,27,3,7,7,1,11,1,7,4,-
性/年齢別女性20歳代（％）,100.0,69.5,32.9,28.0,18.3,8.5,43.9,32.9,3.7,8.5,8.5,1.2,13.4,1.2,8.5,4.9,-
性/年齢別女性30歳代実数,143,99,42,37,29,14,57,28,5,21,8,4,10,2,12,2,1
性/年齢別女性30歳代（％）,100.0,69.2,29.4,25.9,20.3,9.8,39.9,19.6,3.5,14.7,5.6,2.8,7.0,1.4,8.4,1.4,0.7
性/年齢別女性40歳代実数,191,132,74,66,58,32,94,47,8,35,13,3,14,1,13,1,-
性/年齢別女性40歳代（％）,100.0,69.1,38.7,34.6,30.4,16.8,49.2,24.6,4.2,18.3,6.8,1.6,7.3,0.5,6.8,0.5,-
性/年齢別女性50歳代実数,133,97,68,59,46,21,65,29,5,26,3,11,23,1,2,2,-
性/年齢別女性50歳代（％）,100.0,72.9,51.1,44.4,34.6,15.8,48.9,21.8,3.8,19.5,2.3,8.3,17.3,0.8,1.5,1.5,-
性/年齢別女性60歳代実数,160,126,77,78,44,30,75,40,11,29,2,14,19,2,9,1,-
性/年齢別女性60歳代（％）,100.0,78.8,48.1,48.8,27.5,18.8,46.9,25.0,6.9,18.1,1.3,8.8,11.9,1.3,5.6,0.6,-
性/年齢別女性70歳代実数,162,111,64,79,46,24,66,26,7,29,-,13,20,-,9,4,2
性/年齢別女性70歳代（％）,100.0,68.5,39.5,48.8,28.4,14.8,40.7,16.0,4.3,17.9,-,8.0,12.3,-,5.6,2.5,1.2
性/年齢別女性80歳以上実数,74,50,27,32,19,7,20,6,3,7,-,2,5,-,9,3,1
性/年齢別女性80歳以上（％）,100.0,67.6,36.5,43.2,25.7,9.5,27.0,8.1,4.1,9.5,-,2.7,6.8,-,12.2,4.1,1.4
未・既婚別未婚実数,453,300,152,125,95,49,196,116,16,47,27,15,26,4,36,8,3
未・既婚別未婚（％）,100.0,66.2,33.6,27.6,21.0,10.8,43.3,25.6,3.5,10.4,6.0,3.3,5.7,0.9,7.9,1.8,0.7
未・既婚別既婚（死別・離別を含む）実数,1366,998,627,578,384,238,597,287,56,216,55,75,133,10,80,17,6
未・既婚別既婚（死別・離別を含む）（％）,100.0,73.1,45.9,42.3,28.1,17.4,43.7,21.0,4.1,15.8,4.0,5.5,9.7,0.7,5.9,1.2,0.4
子供の有無別子供はいない実数,642,447,236,204,157,82,271,160,22,66,45,19,31,7,45,9,4
子供の有無別子供はいない（％）,100.0,69.6,36.8,31.8,24.5,12.8,42.2,24.9,3.4,10.3,7.0,3.0,4.8,1.1,7.0,1.4,0.6
子供の有無別未就学（～６歳）実数,180,121,60,57,46,23,89,50,6,30,11,4,15,-,11,4,2
子供の有無別未就学（～６歳）（％）,100.0,67.2,33.3,31.7,25.6,12.8,49.4,27.8,3.3,16.7,6.1,2.2,8.3,-,6.1,2.2,1.1
子供の有無別小・中・高校生実数,270,192,110,91,67,37,120,51,7,49,13,9,28,-,15,6,1
子供の有無別小・中・高校生（％）,100.0,71.1,40.7,33.7,24.8,13.7,44.4,18.9,2.6,18.1,4.8,3.3,10.4,-,5.6,2.2,0.4
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,75,56,44,28,20,49,23,5,18,3,6,11,1,6,1,1
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,70.8,52.8,41.5,26.4,18.9,46.2,21.7,4.7,17.0,2.8,5.7,10.4,0.9,5.7,0.9,0.9
子供の有無別学校教育終了実数,743,546,361,349,211,137,321,146,38,130,15,59,87,6,48,7,2
子供の有無別学校教育終了（％）,100.0,73.5,48.6,47.0,28.4,18.4,43.2,19.7,5.1,17.5,2.0,7.9,11.7,0.8,6.5,0.9,0.3
子供の有無別その他実数,7,6,5,3,3,3,3,1,-,1,-,1,-,-,-,-,-
子供の有無別その他（％）,100.0,85.7,71.4,42.9,42.9,42.9,42.9,14.3,-,14.3,-,14.3,-,-,-,-,-
職業別自営業（計）実数,152,108,75,71,37,29,61,32,6,30,9,13,11,-,4,2,1
