,投票率（％）,ｎ,関心があった（％）,やや関心があった（％）,どちらともいえない（％）,あまり関心がなかった（％）,関心がなかった（％）,わからない（％）,無回答（％）,関心があった（計）（％）,関心がなかった（計）（％）,備考
今回選挙,54.36,1827,35.1,24.2,9.8,20.2,10.1,0.4,0.2,59.3,30.3,
平成24年衆議院議員選挙,62.20,1822,45.4,25.6,10.9,10.3,7.3,02.,0.4,71.0,17.6,
平成21年衆議院議員選挙,66.37,1937,62.7,20.9,5.4,6.4,4.4,0.1,0.1,83.6,10.8,
平成17年衆議院議員選挙,65.59,1097,53.4,31.1,6.0,7.0,2.0,0.4,0.0,84.5,9.0,
平成15年衆議院議員選挙,58.35,969,38.0,34.9,7.9,14.6,4.4,0.2,0.0,72.9,19.0,
平成12年衆議院議員選挙,60.46,907,72.8,10.3,10.3,0.0,16.0,1.0,0.0,72.8,16.0,
平成8年衆議院議員選挙,56.54,1111,27.0,31.8,3.6,25.0,12.0,0.6,0.0,58.8,37.0,
平成5年衆議院議員選挙,60.21,1152,50.9,29.5,6.8,0.0,12.8,0.1,0.0,80.4,12.8,
平成2年衆議院議員選挙,66.55,1149,83.8,0.0,7.7,0.0,8.1,0.4,0.0,83.8,8.1,
,,,,,,,,,,,,注：平成17年、平成15年、平成8年、平成5年の選択肢は、「かなり関心があった」「少しは関心があった」「どちらともいえない」「あまり関心がなかった」「まったく関心がなかった」「わからない、答えたくない」
,,,,,,,,,,,,平成12年及び平成2年の選択肢は、「関心があった」「関心がなかった」「どちらともいえない」「わからない」
