,調査数,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80歳以上
全体実数,1827,73,101,119,142,175,190,158,136,147,166,162,134,124
全体（％）,100.0,4.0,5.5,6.5,7.8,9.6,10.4,8.6,7.4,8.0,9.1,8.9,7.3,6.8
性別男性実数,882,38,54,58,60,88,86,84,77,76,77,70,64,50
性別男性（％）,100.0,4.3,6.1,6.6,6.8,10.0,9.8,9.5,8.7,8.6,8.7,7.9,7.3,5.7
性別女性実数,945,35,47,61,82,87,104,74,59,71,89,92,70,74
性別女性（％）,100.0,3.7,5.0,6.5,8.7,9.2,11.0,7.8,6.2,7.5,9.4,9.7,7.4,7.8
年齢別20歳代実数,174,73,101,-,-,-,-,-,-,-,-,-,-,-
年齢別20歳代（％）,100.0,42.0,58.0,-,-,-,-,-,-,-,-,-,-,-
年齢別30歳代実数,261,-,-,119,142,-,-,-,-,-,-,-,-,-
年齢別30歳代（％）,100.0,-,-,45.6,54.4,-,-,-,-,-,-,-,-,-
年齢別40歳代実数,365,-,-,-,-,175,190,-,-,-,-,-,-,-
年齢別40歳代（％）,100.0,-,-,-,-,47.9,52.1,-,-,-,-,-,-,-
年齢別50歳代実数,294,-,-,-,-,-,-,158,136,-,-,-,-,-
年齢別50歳代（％）,100.0,-,-,-,-,-,-,53.7,46.3,-,-,-,-,-
年齢別60歳代実数,313,-,-,-,-,-,-,-,-,147,166,-,-,-
年齢別60歳代（％）,100.0,-,-,-,-,-,-,-,-,47.0,53.0,-,-,-
年齢別70歳代実数,296,-,-,-,-,-,-,-,-,-,-,162,134,-
年齢別70歳代（％）,100.0,-,-,-,-,-,-,-,-,-,-,54.7,45.3,-
年齢別80歳以上実数,124,-,-,-,-,-,-,-,-,-,-,-,-,124
年齢別80歳以上（％）,100.0,-,-,-,-,-,-,-,-,-,-,-,-,100.0
性/年齢別男性20歳代実数,92,38,54,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性20歳代（％）,100.0,41.3,58.7,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性30歳代実数,118,-,-,58,60,-,-,-,-,-,-,-,-,-
性/年齢別男性30歳代（％）,100.0,-,-,49.2,50.8,-,-,-,-,-,-,-,-,-
性/年齢別男性40歳代実数,174,-,-,-,-,88,86,-,-,-,-,-,-,-
性/年齢別男性40歳代（％）,100.0,-,-,-,-,50.6,49.4,-,-,-,-,-,-,-
性/年齢別男性50歳代実数,161,-,-,-,-,-,-,84,77,-,-,-,-,-
性/年齢別男性50歳代（％）,100.0,-,-,-,-,-,-,52.2,47.8,-,-,-,-,-
性/年齢別男性60歳代実数,153,-,-,-,-,-,-,-,-,76,77,-,-,-
性/年齢別男性60歳代（％）,100.0,-,-,-,-,-,-,-,-,49.7,50.3,-,-,-
性/年齢別男性70歳代実数,134,-,-,-,-,-,-,-,-,-,-,70,64,-
性/年齢別男性70歳代（％）,100.0,-,-,-,-,-,-,-,-,-,-,52.2,47.8,-
性/年齢別男性80歳以上実数,50,-,-,-,-,-,-,-,-,-,-,-,-,50
性/年齢別男性80歳以上（％）,100.0,-,-,-,-,-,-,-,-,-,-,-,-,100.0
性/年齢別女性20歳代実数,82,35,47,-,-,-,-,-,-,-,-,-,-,-
性/年齢別女性20歳代（％）,100.0,42.7,57.3,-,-,-,-,-,-,-,-,-,-,-
性/年齢別女性30歳代実数,143,-,-,61,82,-,-,-,-,-,-,-,-,-
性/年齢別女性30歳代（％）,100.0,-,-,42.7,57.3,-,-,-,-,-,-,-,-,-
性/年齢別女性40歳代実数,191,-,-,-,-,87,104,-,-,-,-,-,-,-
性/年齢別女性40歳代（％）,100.0,-,-,-,-,45.5,54.5,-,-,-,-,-,-,-
性/年齢別女性50歳代実数,133,-,-,-,-,-,-,74,59,-,-,-,-,-
性/年齢別女性50歳代（％）,100.0,-,-,-,-,-,-,55.6,44.4,-,-,-,-,-
性/年齢別女性60歳代実数,160,-,-,-,-,-,-,-,-,71,89,-,-,-
性/年齢別女性60歳代（％）,100.0,-,-,-,-,-,-,-,-,44.4,55.6,-,-,-
性/年齢別女性70歳代実数,162,-,-,-,-,-,-,-,-,-,-,92,70,-
性/年齢別女性70歳代（％）,100.0,-,-,-,-,-,-,-,-,-,-,56.8,43.2,-
性/年齢別女性80歳以上実数,74,-,-,-,-,-,-,-,-,-,-,-,-,74
性/年齢別女性80歳以上（％）,100.0,-,-,-,-,-,-,-,-,-,-,-,-,100.0
未・既婚別未婚実数,453,71,73,57,52,50,47,38,19,15,17,8,4,2
未・既婚別未婚（％）,100.0,15.7,16.1,12.6,11.5,11.0,10.4,8.4,4.2,3.3,3.8,1.8,0.9,0.4
未・既婚別既婚（死別・離別を含む）実数,1366,2,28,61,90,124,143,119,116,132,149,152,129,121
未・既婚別既婚（死別・離別を含む）（％）,100.0,0.1,2.0,4.5,6.6,9.1,10.5,8.7,8.5,9.7,10.9,11.1,9.4,8.9
子供の有無別子供はいない実数,642,69,85,77,67,74,75,53,41,26,25,20,17,13
子供の有無別子供はいない（％）,100.0,10.7,13.2,12.0,10.4,11.5,11.7,8.3,6.4,4.0,3.9,3.1,2.6,2.0
子供の有無別未就学（～６歳）実数,180,3,16,35,54,48,19,4,1,-,-,-,-,-
子供の有無別未就学（～６歳）（％）,100.0,1.7,8.9,19.4,30.0,26.7,10.6,2.2,0.6,-,-,-,-,-
子供の有無別小・中・高校生実数,270,-,1,10,38,67,88,49,13,3,1,-,-,-
子供の有無別小・中・高校生（％）,100.0,-,0.4,3.7,14.1,24.8,32.6,18.1,4.8,1.1,0.4,-,-,-
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,1,-,-,-,4,27,41,24,6,2,-,-,1
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,0.9,-,-,-,3.8,25.5,38.7,22.6,5.7,1.9,-,-,0.9
子供の有無別学校教育終了実数,743,-,-,-,-,2,11,43,73,113,135,141,116,109
子供の有無別学校教育終了（％）,100.0,-,-,-,-,0.3,1.5,5.8,9.8,15.2,18.2,19.0,15.6,14.7
子供の有無別その他実数,7,-,-,-,-,-,-,1,1,-,5,-,-,-
子供の有無別その他（％）,100.0,-,-,-,-,-,-,14.3,14.3,-,71.4,-,-,-
職業別自営業（計）実数,152,-,4,3,9,14,15,19,18,19,22,16,10,3
職業別自営業（計）（％）,100.0,-,2.6,2.0,5.9,9.2,9.9,12.5,11.8,12.5,14.5,10.5,6.6,2.0
職業別農林漁業実数,3,-,-,-,-,-,1,1,-,-,1,-,-,-
職業別農林漁業（％）,100.0,-,-,-,-,-,33.3,33.3,-,-,33.3,-,-,-
職業別商工・サービス業実数,96,-,2,1,7,7,6,13,12,14,14,10,7,3
職業別商工・サービス業（％）,100.0,-,2.1,1.0,7.3,7.3,6.3,13.5,12.5,14.6,14.6,10.4,7.3,3.1
職業別その他自由業実数,53,-,2,2,2,7,8,5,6,5,7,6,3,-
職業別その他自由業（％）,100.0,-,3.8,3.8,3.8,13.2,15.1,9.4,11.3,9.4,13.2,11.3,5.7,-
職業別お勤め（計）実数,934,39,82,98,103,123,135,108,83,83,44,24,10,2
職業別お勤め（計）（％）,100.0,4.2,8.8,10.5,11.0,13.2,14.5,11.6,8.9,8.9,4.7,2.6,1.1,0.2
職業別経営・管理職実数,94,-,2,3,3,10,17,18,17,8,7,3,5,1
職業別経営・管理職（％）,100.0,-,2.1,3.2,3.2,10.6,18.1,19.1,18.1,8.5,7.4,3.2,5.3,1.1
職業別専門職・技術職実数,243,8,18,30,26,41,36,29,21,22,8,4,-,-
職業別専門職・技術職（％）,100.0,3.3,7.4,12.3,10.7,16.9,14.8,11.9,8.6,9.1,3.3,1.6,-,-
職業別事務職実数,249,7,30,28,32,39,42,30,15,19,3,2,1,1
職業別事務職（％）,100.0,2.8,12.0,11.2,12.9,15.7,16.9,12.0,6.0,7.6,1.2,0.8,0.4,0.4
職業別労務職・技能職実数,111,6,12,8,7,9,11,13,13,11,14,4,3,-
職業別労務職・技能職（％）,100.0,5.4,10.8,7.2,6.3,8.1,9.9,11.7,11.7,9.9,12.6,3.6,2.7,-
職業別販売・サービス職実数,237,18,20,29,35,24,29,18,17,23,12,11,1,-
職業別販売・サービス職（％）,100.0,7.6,8.4,12.2,14.8,10.1,12.2,7.6,7.2,9.7,5.1,4.6,0.4,-
職業別その他（計）実数,732,34,15,17,30,35,39,30,35,44,99,122,113,119
職業別その他（計）（％）,100.0,4.6,2.0,2.3,4.1,4.8,5.3,4.1,4.8,6.0,13.5,16.7,15.4,16.3
職業別生徒・学生実数,35,31,3,1,-,-,-,-,-,-,-,-,-,-
職業別生徒・学生（％）,100.0,88.6,8.6,2.9,-,-,-,-,-,-,-,-,-,-
職業別専業主婦（夫）実数,309,1,5,15,28,26,32,18,23,25,37,48,30,21
職業別専業主婦（夫）（％）,100.0,0.3,1.6,4.9,9.1,8.4,10.4,5.8,7.4,8.1,12.0,15.5,9.7,6.8
職業別その他実数,18,1,3,-,-,3,2,1,1,2,1,3,1,-
職業別その他（％）,100.0,5.6,16.7,-,-,16.7,11.1,5.6,5.6,11.1,5.6,16.7,5.6,-
職業別無職（年金受給者含む）実数,370,1,4,1,2,6,5,11,11,17,61,71,82,98
職業別無職（年金受給者含む）（％）,100.0,0.3,1.1,0.3,0.5,1.6,1.4,3.0,3.0,4.6,16.5,19.2,22.2,26.5
投票所までの時間別５分以内実数,712,26,36,46,63,74,85,62,45,57,78,59,54,27
投票所までの時間別５分以内（％）,100.0,3.7,5.1,6.5,8.8,10.4,11.9,8.7,6.3,8.0,11.0,8.3,7.6,3.8
投票所までの時間別10分以内実数,769,26,40,43,52,80,73,66,64,59,67,76,63,60
投票所までの時間別10分以内（％）,100.0,3.4,5.2,5.6,6.8,10.4,9.5,8.6,8.3,7.7,8.7,9.9,8.2,7.8
投票所までの時間別20分以内実数,245,12,15,18,19,17,20,24,26,23,20,21,10,20
投票所までの時間別20分以内（％）,100.0,4.9,6.1,7.3,7.8,6.9,8.2,9.8,10.6,9.4,8.2,8.6,4.1,8.2
投票所までの時間別30分以内実数,38,2,2,3,1,3,6,3,-,4,-,4,2,8
投票所までの時間別30分以内（％）,100.0,5.3,5.3,7.9,2.6,7.9,15.8,7.9,-,10.5,-,10.5,5.3,21.1
投票所までの時間別30分を超える実数,11,2,-,1,-,-,1,2,-,-,-,1,2,2
投票所までの時間別30分を超える（％）,100.0,18.2,-,9.1,-,-,9.1,18.2,-,-,-,9.1,18.2,18.2
投票所までの時間別わからない実数,48,5,8,8,7,1,5,1,1,3,1,-,2,6
投票所までの時間別わからない（％）,100.0,10.4,16.7,16.7,14.6,2.1,10.4,2.1,2.1,6.3,2.1,-,4.2,12.5
地域別区部（計）実数,1189,37,74,80,103,120,121,102,84,86,113,100,79,90
地域別区部（計）（％）,100.0,3.1,6.2,6.7,8.7,10.1,10.2,8.6,7.1,7.2,9.5,8.4,6.6,7.6
地域別センターコア実数,314,8,25,30,32,32,25,22,14,20,33,30,23,20
地域別センターコア（％）,100.0,2.5,8.0,9.6,10.2,10.2,8.0,7.0,4.5,6.4,10.5,9.6,7.3,6.4
地域別区部東部・北部エリア実数,382,10,20,22,26,33,46,33,31,34,36,37,24,30
地域別区部東部・北部エリア（％）,100.0,2.6,5.2,5.8,6.8,8.6,12.0,8.6,8.1,8.9,9.4,9.7,6.3,7.9
地域別区部西部・南部エリア実数,493,19,29,28,45,55,50,47,39,32,44,33,32,40
地域別区部西部・南部エリア（％）,100.0,3.9,5.9,5.7,9.1,11.2,10.1,9.5,7.9,6.5,8.9,6.7,6.5,8.1
地域別市郡部（計）実数,638,36,27,39,39,55,69,56,52,61,53,62,55,34
地域別市郡部（計）（％）,100.0,5.6,4.2,6.1,6.1,8.6,10.8,8.8,8.2,9.6,8.3,9.7,8.6,5.3
地域別多摩東部エリア実数,239,14,8,16,9,29,29,15,24,30,18,18,20,9
地域別多摩東部エリア（％）,100.0,5.9,3.3,6.7,3.8,12.1,12.1,6.3,10.0,12.6,7.5,7.5,8.4,3.8
地域別多摩中央部北エリア実数,89,4,3,7,7,10,9,8,5,3,6,9,10,8
地域別多摩中央部北エリア（％）,100.0,4.5,3.4,7.9,7.9,11.2,10.1,9.0,5.6,3.4,6.7,10.1,11.2,9.0
地域別多摩中央部南エリア実数,267,17,14,16,19,14,29,28,17,24,24,27,22,16
地域別多摩中央部南エリア（％）,100.0,6.4,5.2,6.0,7.1,5.2,10.9,10.5,6.4,9.0,9.0,10.1,8.2,6.0
地域別多摩西部エリア実数,43,1,2,-,4,2,2,5,6,4,5,8,3,1
地域別多摩西部エリア（％）,100.0,2.3,4.7,-,9.3,4.7,4.7,11.6,14.0,9.3,11.6,18.6,7.0,2.3
選挙への関心度別関心があった（計）実数,1084,32,47,60,70,99,100,90,81,94,114,116,100,81
選挙への関心度別関心があった（計）（％）,100.0,3.0,4.3,5.5,6.5,9.1,9.2,8.3,7.5,8.7,10.5,10.7,9.2,7.5
選挙への関心度別関心があった実数,642,11,32,23,29,57,49,56,45,57,75,77,71,60
選挙への関心度別関心があった（％）,100.0,1.7,5.0,3.6,4.5,8.9,7.6,8.7,7.0,8.9,11.7,12.0,11.1,9.3
選挙への関心度別やや関心があった実数,442,21,15,37,41,42,51,34,36,37,39,39,29,21
選挙への関心度別やや関心があった（％）,100.0,4.8,3.4,8.4,9.3,9.5,11.5,7.7,8.1,8.4,8.8,8.8,6.6,4.8
選挙への関心度別関心がなかった（計）実数,179,5,10,12,22,25,29,13,14,10,11,18,6,4
選挙への関心度別関心がなかった（計）（％）,100.0,2.8,5.6,6.7,12.3,14.0,16.2,7.3,7.8,5.6,6.1,10.1,3.4,2.2
選挙への関心度別あまり関心がなかった実数,554,36,43,47,48,51,60,55,41,41,40,28,27,37
選挙への関心度別あまり関心がなかった（％）,100.0,6.5,7.8,8.5,8.7,9.2,10.8,9.9,7.4,7.4,7.2,5.1,4.9,6.7
選挙への関心度別関心がなかった実数,369,25,26,26,33,31,41,40,28,26,32,18,18,25
選挙への関心度別関心がなかった（％）,100.0,6.8,7.0,7.0,8.9,8.4,11.1,10.8,7.6,7.0,8.7,4.9,4.9,6.8
選挙への関心度別どちらともいえない実数,185,11,17,21,15,20,19,15,13,15,8,10,9,12
選挙への関心度別どちらともいえない（％）,100.0,5.9,9.2,11.4,8.1,10.8,10.3,8.1,7.0,8.1,4.3,5.4,4.9,6.5
選挙への関心度別わからない実数,7,-,1,-,1,-,-,-,-,2,1,-,1,1
選挙への関心度別わからない（％）,100.0,-,14.3,-,14.3,-,-,-,-,28.6,14.3,-,14.3,14.3
投票への意識別投票するべき（計）実数,1484,50,70,81,108,145,157,126,107,123,145,144,119,109
投票への意識別投票するべき（計）（％）,100.0,3.4,4.7,5.5,7.3,9.8,10.6,8.5,7.2,8.3,9.8,9.7,8.0,7.3
投票への意識別必ず投票するべき実数,703,16,28,31,43,64,67,49,54,54,83,92,67,55
投票への意識別必ず投票するべき（％）,100.0,2.3,4.0,4.4,6.1,9.1,9.5,7.0,7.7,7.7,11.8,13.1,9.5,7.8
投票への意識別可能な限り投票するべき実数,781,34,42,50,65,81,90,77,53,69,62,52,52,54
投票への意識別可能な限り投票するべき（％）,100.0,4.4,5.4,6.4,8.3,10.4,11.5,9.9,6.8,8.8,7.9,6.7,6.7,6.9
投票への意識別投票するのもしないのも自由実数,315,23,29,36,32,30,30,29,25,23,18,16,13,11
投票への意識別投票するのもしないのも自由（％）,100.0,7.3,9.2,11.4,10.2,9.5,9.5,9.2,7.9,7.3,5.7,5.1,4.1,3.5
投票への意識別その他実数,11,-,-,1,-,-,1,1,3,-,2,-,1,2
投票への意識別その他（％）,100.0,-,-,9.1,-,-,9.1,9.1,27.3,-,18.2,-,9.1,18.2
投票への意識別わからない実数,15,-,2,1,2,-,1,2,1,1,1,2,1,1
投票への意識別わからない（％）,100.0,-,13.3,6.7,13.3,-,6.7,13.3,6.7,6.7,6.7,13.3,6.7,6.7
投票への参加状況別投票した（計）実数,1246,32,59,69,92,117,130,99,96,101,132,138,101,80
投票への参加状況別投票した（計）（％）,100.0,2.6,4.7,5.5,7.4,9.4,10.4,7.9,7.7,8.1,10.6,11.1,8.1,6.4
投票への参加状況別投票日（12月14日）に投票した実数,987,24,44,56,77,93,105,79,75,69,109,104,82,70
投票への参加状況別投票日（12月14日）に投票した（％）,100.0,2.4,4.5,5.7,7.8,9.4,10.6,8.0,7.6,7.0,11.0,10.5,8.3,7.1
投票への参加状況別期日前投票（又は不在者投票等）をした実数,259,8,15,13,15,24,25,20,21,32,23,34,19,10
投票への参加状況別期日前投票（又は不在者投票等）をした（％）,100.0,3.1,5.8,5.0,5.8,9.3,9.7,7.7,8.1,12.4,8.9,13.1,7.3,3.9
投票への参加状況別投票しなかった実数,563,40,40,49,46,55,58,57,39,46,34,24,31,44
投票への参加状況別投票しなかった（％）,100.0,7.1,7.1,8.7,8.2,9.8,10.3,10.1,6.9,8.2,6.0,4.3,5.5,7.8
投票への参加状況別答えたくない実数,18,1,2,1,4,3,2,2,1,-,-,-,2,-
投票への参加状況別答えたくない（％）,100.0,5.6,11.1,5.6,22.2,16.7,11.1,11.1,5.6,-,-,-,11.1,-
新聞の定期購読定期購読している実数,1142,38,34,34,50,73,115,108,104,113,137,128,111,97
新聞の定期購読定期購読している（％）,100.0,3.3,3.0,3.0,4.4,6.4,10.1,9.5,9.1,9.9,12.0,11.2,9.7,8.5
新聞の定期購読定期購読していない実数,681,34,67,85,91,102,74,50,32,34,29,34,22,27
新聞の定期購読定期購読していない（％）,100.0,5.0,9.8,12.5,13.4,15.0,10.9,7.3,4.7,5.0,4.3,5.0,3.2,4.0
インターネットの利用有無利用している実数,984,66,90,99,116,146,147,103,73,69,39,24,9,3
インターネットの利用有無利用している（％）,100.0,6.7,9.1,10.1,11.8,14.8,14.9,10.5,7.4,7.0,4.0,2.4,0.9,0.3
インターネットの利用有無利用していない実数,835,7,11,19,25,28,42,54,63,78,127,137,124,120
インターネットの利用有無利用していない（％）,100.0,0.8,1.3,2.3,3.0,3.4,5.0,6.5,7.5,9.3,15.2,16.4,14.9,14.4
ネット選挙の認知度別知っている実数,955,28,53,64,89,98,115,98,86,79,88,75,52,30
ネット選挙の認知度別知っている（％）,100.0,2.9,5.5,6.7,9.3,10.3,12.0,10.3,9.0,8.3,9.2,7.9,5.4,3.1
ネット選挙の認知度別知らなかった実数,752,45,46,53,49,73,68,53,44,60,60,62,62,77
ネット選挙の認知度別知らなかった（％）,100.0,6.0,6.1,7.0,6.5,9.7,9.0,7.0,5.9,8.0,8.0,8.2,8.2,10.2
