質問,今回選挙(n=2011)(%),平成24年都知事選挙(n=1822)(%),備考
電車・バス・駅構内、庁舎・公共施設等でのポスター※1,30.2,0,
テレビ、電車内、駅中のモニター、街中の大型モニター、QBハウス内モニター、コンビニレジ画面での動画広告放映※2,27.5,0,
選挙広報用の新聞広告,15.0,23.6,
区市町村の広報車,11.1,7.7,
都、区市町村の広報誌※3,8.8,0,
区市町村の公報掲示板,6.4,4.1,
スーパー、コンビニなどの店内放送、防災無線による放送※4,3.8,0,
庁舎や公園などの懸垂幕・横断幕・のぼり旗,3.3,5.2,
ラジオCM,2.6,5.3,
都及び区市町村のホームページ,1.7,1.6,
インターネットバナー広告(Yahoo!JAPAN),1.5,2.3,
都知事選メッセージバス※5,1.4,1.7,
ポケットティッシュ、マスク等の公報グッズ※6,1.3,1.6,
新宿駅西口の柱面電飾広告※7,1.1,0,
銀座数寄屋橋交差点の大型懸垂幕※7,0.9,0,
都、区市町村のSNS(ツイッター等)※8,0.7,0.3,
都庁舎のライトアップ※7,0.6,0,
はし袋広告(コンビニ、大学で配布)※9,0,0.1,
その他,0.3,0.2,
見たり聞いたりしたものはない,19.2,27.8,
わからない、忘れた,23.7,4.3,
無回答,0.3,0.5,
,,,注：※1平成24年は「各駅構内のポスター」9.1％、「庁舎や公共施設等でのポスター」8.6％、「電車内の中吊り広告」6.0％、「各社バスの車内広告」2.3％
,,,※2平成24年は「街頭・駅構内ビジョンによるＣＭ放映」8.9％、「ＪＲ電車内動画ビジョン」3.2％、「コンビニレジ画面の広告」0.5％
,,,※3平成24年は「区市町村の広報紙」17.8％、「都の広報紙」16.3％
,,,※4平成24年は「防災無線による放送」1.5％、「スーパーなどの店内放送」0.2％
,,,※5平成24年は「自動車の車体ステッカー」
,,,※6平成24年は「ポケットティッシュ等の広報グッズ」
,,,※7今回調査で追加
,,,※8平成24年は「都選管のフェイスブック」
,,,※9平成24年は「コンビニの箸袋広告」
