,ｎ,すべてのポスターを一枚一枚よく見た（％）,すべてのポスターをざっと見た（％）,関心のある候補者のポスターしか見なかった（％）,ほとんど見なかった（％）,わからない、忘れた（％）,無回答（％）,見た（計）（％）
全体,1827,8.6,51.2,9.0,29.6,1.3,0.4,68.7
性別男性,882,10.2,50.8,9.4,27.9,1.1,0.6,70.4
性別女性,945,7.1,51.5,8.6,31.2,1.4,0.2,67.2
年齢別20歳代,174,2.3,47.7,8.6,38.5,2.9,0.0,58.6
年齢別30歳代,261,3.1,49.8,5.4,37.5,3.4,0.8,58.2
年齢別40歳代,365,6.8,56.4,6.6,28.8,1.4,0.0,69.9
年齢別50歳代,294,8.2,55.4,6.5,28.6,0.3,1.0,70.1
年齢別60歳代,313,12.5,53.7,10.5,22.7,0.6,0.0,76.7
年齢別70歳代,296,14.9,48.3,13.9,22.3,0.0,0.7,77.0
年齢別80歳以上,124,10.5,33.9,14.5,40.3,0.8,0.0,58.9
職業別自営業,152,8.6,52.0,11.2,27.0,0.7,0.7,71.7
職業別勤め人,934,6.6,54.3,7.2,30.1,1.5,0.3,68.1
職業別学生,35,2.9,42.9,11.4,42.9,0.0,0.0,57.1
職業別専業主婦(夫),309,9.7,48.2,10.4,29.8,1.6,0.3,68.3
職業別その他,18,11.1,66.7,0.0,22.2,0.0,0.0,77.8
職業別無職(年金受給者含む),370,13.0,45.4,11.9,28.4,0.8,0.5,70.3
