,地域,ｎ,知っている（％）,知らなかった（％）,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,全体,1823,93.2,6.8,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,関心があった(計),1424,96.9,3.1,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,関心がなかった(計),175,73.1,26.9,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,どちらともいえない,209,88.5,11.5,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,全体,1699,92.1,7.9,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,関心があった(計),1380,95.1,4.9,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,関心がなかった(計),128,77.3,22.7,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,どちらともいえない,185,80.5,19.5,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,全体,1699,71.2,28.8,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,関心があった(計),1380,76.5,23.5,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,関心がなかった(計),128,46.1,53.9,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,どちらともいえない,185,50.3,49.7,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日までの前日含む）までの間できること(今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間),全体,1699,69.3,30.7,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日までの前日含む）までの間できること(今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間),関心があった(計),1380,75.4,24.6,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日までの前日含む）までの間できること(今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間),関心がなかった(計),128,36.7,63.3,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日までの前日含む）までの間できること(今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間),どちらともいえない,185,48.6,51.4,,,,,
オ)期日前投票は夜の８時までできること,全体,1699,68.5,31.5,,,,,
オ)期日前投票は夜の８時までできること,関心があった(計),1380,72.4,27.6,,,,,
オ)期日前投票は夜の８時までできること,関心がなかった(計),128,47.7,52.3,,,,,
オ)期日前投票は夜の８時までできること,どちらともいえない,185,54.1,45.9,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,全体,1699,18.8,81.2,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,関心があった(計),1380,20.7,79.3,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,関心がなかった(計),128,9.4,90.6,,,,,
カ)期日前投票ができる場所が東京都の特設ＨＰに掲載されていること,どちらともいえない,185,11.9,88.1,,,,,
