,ｎ,利用した（％）,知っているが利用していない（％）,知らない（％）,わからない（％）,知っている（計）（％）,,,
全体,1823,5.2,16.9,63.0,14.9,22.1,,,
性別男性,852,6.3,20.8,61.9,11.0,27.1,,,
性別女性,971,4.1,13.5,64.1,18.3,17.6,,,
年齢別18歳,7,14.3,14.3,42.9,28.6,28.6,,,
年齢別19歳,20,0.0,10.0,80.0,10.0,10.0,,,
年齢別20歳代,164,3.7,18.3,71.3,6.7,22.0,,,
年齢別30歳代,257,6.2,23.0,65.4,5.4,29.2,,,
年齢別40歳代,398,7.3,18.8,65.1,8.8,26.1,,,
年齢別50歳代,311,6.1,21.2,62.7,10.0,27.3,,,
年齢別60歳代,337,5.0,13.9,59.1,22.0,19.0,,,
年齢別70歳代,231,2.2,10.8,58.4,28.6,13.0,,,
年齢別80歳以上,98,1.0,3.1,58.2,37.8,4.1,,,
職業別自営業,133,10.5,18.0,60.2,11.3,28.6,,,
職業別勤め人,821,6.8,22.5,64.2,6.5,29.4,,,
職業別学生,47,4.3,17.0,70.2,8.5,21.3,,,
職業別専業主婦(夫),395,3.3,13.7,65.1,18.0,17.0,,,
職業別その他,25,8.0,20.0,56.0,16.0,28.0,,,
職業別無職(年金受給者含む),402,1.7,8.0,59.2,31.1,9.7,,,
