,区市町村の広報車,都及び区市町村の広報紙,スーパーなどの店内放送・防災無線による放送,都及び区市町村のホームページ・フェイスブック・ツイッター・インターネット広告（Yahoo!）,家族、友人、知人からの勧め,その他,どれにも接していない,わからない、忘れた,無回答
全体,143,110,10,46,129,14,83,99,2
全体,7.1,5.5,0.5,2.3,6.4,0.7,4.1,4.9,0.1
性別男性,59,50,5,27,42,6,49,45,2
性別男性,6.2,5.3,0.5,2.8,4.4,0.6,5.2,4.7,0.2
性別女性,84,60,5,19,87,8,34,54,-
性別女性,7.9,5.7,0.5,1.8,8.2,0.8,3.2,5.1,-
年齢20歳代,19,5,2,7,25,5,20,34,-
年齢20歳代,6.4,1.7,0.7,2.4,8.5,1.7,6.8,11.5,-
年齢30歳代,26,15,2,16,25,4,19,20,-
年齢30歳代,7.3,4.2,0.6,4.5,7.0,1.1,5.4,5.6,-
年齢40歳代,31,18,2,11,23,2,13,16,1
年齢40歳代,7.8,4.5,0.5,2.8,5.8,0.5,3.3,4.0,0.3
年齢50歳代,19,16,1,8,19,1,12,8,-
年齢50歳代,6.5,5.5,0.3,2.7,6.5,0.3,4.1,2.7,-
年齢60歳代,27,35,1,4,16,-,8,9,-
年齢60歳代,8.3,10.7,0.3,1.2,4.9,-,2.4,2.8,-
年齢70歳代,12,12,1,-,15,2,7,7,-
年齢70歳代,5.2,5.2,0.4,-,6.5,0.9,3.0,3.0,-
年齢80歳以上,5,6,-,-,4,-,4,4,-
年齢80歳以上,5.6,6.7,-,-,4.4,-,4.4,4.4,-
性／年齢別男性20歳代,7,3,1,4,13,2,12,17,-
性／年齢別男性20歳代,4.9,2.1,0.7,2.8,9.1,1.4,8.4,11.9,-
性／年齢別男性30歳代,7,4,-,8,8,2,11,7,-
性／年齢別男性30歳代,4.6,2.6,-,5.2,5.2,1.3,7.2,4.6,-
性／年齢別男性40歳代,10,6,2,8,4,1,7,7,1
性／年齢別男性40歳代,5.7,3.4,1.1,4.5,2.3,0.6,4.0,4.0,0.6
性／年齢別男性50歳代,14,11,-,6,9,-,7,3,-
性／年齢別男性50歳代,9.5,7.4,-,4.1,6.1,-,4.7,2.0,-
性／年齢別男性60歳代,11,17,1,1,5,-,6,5,-
性／年齢別男性60歳代,6.5,10.1,0.6,0.6,3.0,-,3.6,3.0,-
性／年齢別男性70歳代,7,6,1,-,2,1,5,5,-
性／年齢別男性70歳代,5.9,5.1,0.8,-,1.7,0.8,4.2,4.2,-
性／年齢別男性80歳以上,2,3,-,-,1,-,1,1,-
性／年齢別男性80歳以上,5.1,7.7,-,-,2.6,-,2.6,2.6,-
性／年齢別女性20歳代,12,2,1,3,12,3,8,17,-
性／年齢別女性20歳代,7.9,1.3,0.7,2.0,7.9,2.0,5.3,11.2,-
性／年齢別女性30歳代,19,11,2,8,17,2,8,13,-
性／年齢別女性30歳代,9.4,5.4,1.0,4.0,8.4,1.0,4.0,6.4,-
性／年齢別女性40歳代,21,12,-,3,19,1,6,9,-
性／年齢別女性40歳代,9.5,5.4,-,1.4,8.6,0.5,2.7,4.1,-
性／年齢別女性50歳代,5,5,1,2,10,1,5,5,-
性／年齢別女性50歳代,3.4,3.4,0.7,1.4,6.9,0.7,3.4,3.4,-
性／年齢別女性60歳代,16,18,-,3,11,-,2,4,-
性／年齢別女性60歳代,10.1,11.4,-,1.9,7.0,-,1.3,2.5,-
性／年齢別女性70歳代,5,6,-,-,13,1,2,2,-
性／年齢別女性70歳代,4.4,5.3,-,-,11.4,0.9,1.8,1.8,-
性／年齢別女性80歳以上,3,3,-,-,3,-,3,3,-
性／年齢別女性80歳以上,5.9,5.9,-,-,5.9,-,5.9,5.9,-
未・既婚別未婚（死別・離別を含む）,44,19,3,24,59,10,48,69,-
未・既婚別未婚（死別・離別を含む）,5.5,2.4,0.4,3.0,7.4,1.2,6.0,8.6,-
未・既婚別既婚,99,90,7,22,70,4,33,25,1
未・既婚別既婚,8.3,7.6,0.6,1.9,5.9,0.3,2.8,2.1,0.1
子供の有無別子供はいない,48,18,3,24,58,11,43,63,-
子供の有無別子供はいない,6.2,2.3,0.4,3.1,7.4,1.4,5.5,8.1,-
子供の有無別未就学（～６歳）,17,8,2,7,13,1,1,6,1
子供の有無別未就学（～６歳）,11.0,5.2,1.3,4.5,8.4,0.6,0.6,3.9,0.6
子供の有無別小・中・高校生,30,25,2,10,21,-,9,6,-
子供の有無別小・中・高校生,9.4,7.8,0.6,3.1,6.6,-,2.8,1.9,-
子供の有無別大学生・大学院生・短大生・専門学校生,5,1,-,1,5,-,7,4,-
子供の有無別大学生・大学院生・短大生・専門学校生,5.4,1.1,-,1.1,5.4,-,7.6,4.3,-
子供の有無別学校教育終了,52,64,3,6,34,2,20,13,-
子供の有無別学校教育終了,7.7,9.5,0.4,0.9,5.1,0.3,3.0,1.9,-
子供の有無別その他,-,1,-,-,1,-,-,2,-
子供の有無別その他,-,9.1,-,-,9.1,-,-,18.2,-
職業別自営業（計）,12,8,-,7,10,1,12,10,-
職業別自営業（計）,6.9,4.6,-,4.0,5.7,0.6,6.9,5.7,-
職業別農林漁業,-,-,-,-,-,-,-,-,-
職業別農林漁業,-,-,-,-,-,-,-,-,-
職業別商工・サービス業,5,5,-,2,4,1,5,5,-
職業別商工・サービス業,7.0,7.0,-,2.8,5.6,1.4,7.0,7.0,-
職業別その他自由業,7,3,-,5,6,-,7,5,-
職業別その他自由業,6.9,3.0,-,5.0,5.9,-,6.9,5.0,-
職業別お勤め（計）,66,47,7,29,58,8,42,50,1
職業別お勤め（計）,6.7,4.8,0.7,3.0,5.9,0.8,4.3,5.1,0.1
職業別経営・管理職,12,8,1,4,1,1,3,5,1
職業別経営・管理職,11.0,7.3,0.9,3.7,0.9,0.9,2.8,4.6,0.9
職業別専門職・技術職,12,20,2,9,12,4,9,6,-
職業別専門職・技術職,4.6,7.7,0.8,3.4,4.6,1.5,3.4,2.3,-
職業別事務職,23,12,2,5,22,3,12,16,-
職業別事務職,7.5,3.9,0.7,1.6,7.2,1.0,3.9,5.2,-
職業別労務職・技能職,4,1,-,4,8,-,6,5,-
職業別労務職・技能職,4.5,1.1,-,4.5,9.0,-,6.7,5.6,-
職業別販売・サービス職,15,6,2,7,15,-,12,18,-
職業別販売・サービス職,6.9,2.8,0.9,3.2,6.9,-,5.5,8.3,-
職業別その他（計）,64,55,3,10,60,5,28,37,-
職業別その他（計）,7.6,6.5,0.4,1.2,7.1,0.6,3.3,4.4,-
職業別学生,4,1,-,-,4,1,2,11,-
職業別学生,7.5,1.9,-,-,7.5,1.9,3.8,20.8,-
職業別専業主婦（夫）,32,33,1,2,36,2,7,9,-
職業別専業主婦（夫）,8.2,8.4,0.3,0.5,9.2,0.5,1.8,2.3,-
職業別その他,9,3,-,5,2,1,5,1,-
職業別その他,14.5,4.8,-,8.1,3.2,1.6,8.1,1.6,-
職業別無職（年金受給者含む）,19,18,2,3,18,1,14,16,-
職業別無職（年金受給者含む）,5.7,5.4,0.6,0.9,5.4,0.3,4.2,4.8,-
投票所までの時間別５分以内,49,30,1,23,36,5,27,38,-
投票所までの時間別５分以内,7.7,4.7,0.2,3.6,5.7,0.8,4.2,6.0,-
投票所までの時間別10分以内,60,53,2,17,83,7,37,46,-
投票所までの時間別10分以内,5.7,5.0,0.2,1.6,7.8,0.7,3.5,4.3,-
投票所までの時間別20分以内,14,15,4,4,8,2,10,10,1
投票所までの時間別20分以内,6.3,6.8,1.8,1.8,3.6,0.9,4.5,4.5,0.5
投票所までの時間別30分以内,14,3,2,2,2,-,3,4,-
投票所までの時間別30分以内,28.0,6.0,4.0,4.0,4.0,-,6.0,8.0,-
投票所までの時間別30分を超える,6,9,1,-,-,-,-,-,-
投票所までの時間別30分を超える,23.1,34.6,3.8,-,-,-,-,-,-
地域別区部（計）,107,49,7,42,102,11,70,72,-
地域別区部（計）,7.7,3.5,0.5,3.0,7.3,0.8,5.0,5.2,-
地域別センターコア,26,9,1,11,6,-,12,8,-
地域別センターコア,7.0,2.4,0.3,3.0,1.6,-,3.2,2.2,-
地域別区部東部・北部エリア,47,27,1,14,44,6,16,11,-
地域別区部東部・北部エリア,11.5,6.6,0.2,3.4,10.8,1.5,3.9,2.7,-
地域別区部西部・南部エリア,34,13,5,17,52,5,42,53,-
地域別区部西部・南部エリア,5.6,2.1,0.8,2.8,8.5,0.8,6.9,8.7,-
地域別市郡部（計）,36,61,3,4,27,3,13,27,2
地域別市郡部（計）,5.8,9.9,0.5,0.6,4.4,0.5,2.1,4.4,0.3
地域別多摩東部エリア,2,13,2,2,14,-,5,13,2
地域別多摩東部エリア,0.9,5.5,0.9,0.9,6.0,-,2.1,5.5,0.9
地域別多摩中央部北エリア,3,9,-,-,4,1,5,-,-
地域別多摩中央部北エリア,3.4,10.2,-,-,4.5,1.1,5.7,-,-
地域別多摩中央部南エリア,31,39,1,2,7,2,3,14,-
地域別多摩中央部南エリア,11.9,14.9,0.4,0.8,2.7,0.8,1.1,5.4,-
地域別多摩西部エリア,-,-,-,-,2,-,-,-,-
地域別多摩西部エリア,-,-,-,-,5.7,-,-,-,-
選挙への関心度別関心があった（計）,109,98,7,34,70,8,14,5,2
選挙への関心度別関心があった（計）,9.3,8.4,0.6,2.9,6.0,0.7,1.2,0.4,0.2
選挙への関心度別関心があった,67,58,3,22,36,5,8,2,1
選挙への関心度別関心があった,10.5,9.1,0.5,3.5,5.7,0.8,1.3,0.3,0.2
選挙への関心度別やや関心があった,42,40,4,12,34,3,6,3,1
選挙への関心度別やや関心があった,7.9,7.5,0.7,2.2,6.4,0.6,1.1,0.6,0.2
選挙への関心度別関心がなかった（計）,15,5,1,6,45,5,50,71,-
選挙への関心度別関心がなかった（計）,2.8,0.9,0.2,1.1,8.4,0.9,9.4,13.3,-
選挙への関心度別あまり関心がなかった,11,3,-,2,31,3,23,31,-
選挙への関心度別あまり関心がなかった,3.5,0.9,-,0.6,9.8,0.9,7.3,9.8,-
選挙への関心度別関心がなかった,4,2,1,4,14,2,27,40,-
選挙への関心度別関心がなかった,1.8,0.9,0.5,1.8,6.5,0.9,12.4,18.4,-
選挙への関心度別どちらともいえない,19,7,2,6,14,1,17,16,-
選挙への関心度別どちらともいえない,6.4,2.3,0.7,2.0,4.7,0.3,5.7,5.4,-
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,2,7,-
選挙への関心度別わからない、答えたくない,-,-,-,-,-,-,20.0,70.0,-
投票への意識別必ず投票するべき,50,46,2,15,33,4,1,3,1
投票への意識別必ず投票するべき,8.2,7.6,0.3,2.5,5.4,0.7,0.2,0.5,0.2
投票への意識別可能な限り投票するべき,68,59,5,24,65,5,15,19,-
投票への意識別可能な限り投票するべき,8.0,7.0,0.6,2.8,7.7,0.6,1.8,2.2,-
投票への意識別投票するのもしないのも自由,23,4,3,5,28,5,57,48,1
投票への意識別投票するのもしないのも自由,4.9,0.8,0.6,1.1,5.9,1.1,12.1,10.1,0.2
投票への意識別その他,-,-,-,-,-,-,2,-,-
投票への意識別その他,-,-,-,-,-,-,25.0,-,-
投票への意識別わからない,1,1,-,1,2,-,6,26,-
投票への意識別わからない,1.6,1.6,-,1.6,3.2,-,9.7,41.9,-
投票への参加状況別投票した（計）,87,78,7,39,72,8,3,2,1
投票への参加状況別投票した（計）,8.7,7.8,0.7,3.9,7.2,0.8,0.3,0.2,0.1
投票への参加状況別投票日（２月９日）に投票した,68,64,7,27,62,7,3,2,1
投票への参加状況別投票日（２月１０日）に投票した,8.2,7.7,0.8,3.3,7.5,0.8,0.4,0.2,0.1
投票への参加状況別期日前投票（又は不在者投票等）をした,19,14,-,12,10,1,-,-,-
投票への参加状況別期日前投票（又は不在者投票等）をした,11.0,8.1,-,7.0,5.8,0.6,-,-,-
投票への参加状況別投票しなかった,54,31,3,7,56,6,77,78,-
投票への参加状況別投票しなかった,5.6,3.2,0.3,0.7,5.8,0.6,8.0,8.1,-
投票への参加状況別答えたくない,2,-,-,-,1,-,3,17,1
投票への参加状況別答えたくない,4.8,-,-,-,2.4,-,7.1,40.5,2.4
ネット投票の認知度別知っている,98,90,8,42,89,10,28,35,1
ネット投票の認知度別知っている,7.6,7.0,0.6,3.3,6.9,0.8,2.2,2.7,0.1
ネット投票の認知度別知らなかった,43,18,1,4,35,3,46,57,1
ネット投票の認知度別知らなかった,6.7,2.8,0.2,0.6,5.4,0.5,7.1,8.8,0.2
