,調査数,見た（計）,すべてのポスターを一枚一枚よく見た,すべてのポスターをざっと見た,関心のある候補者のポスターしか見なかった,ほとんど見なかった,わからない、忘れた,無回答
全体実数,1827,1256,157,935,164,541,23,7
全体（％）,100.0,68.7,8.6,51.2,9.0,29.6,1.3,0.4
性別男性実数,882,621,90,448,83,246,10,5
性別男性（％）,100.0,70.4,10.2,50.8,9.4,27.9,1.1,0.6
性別女性実数,945,635,67,487,81,295,13,2
性別女性（％）,100.0,67.2,7.1,51.5,8.6,31.2,1.4,0.2
年齢別20歳代実数,174,102,4,83,15,67,5,-
年齢別20歳代（％）,100.0,58.6,2.3,47.7,8.6,38.5,2.9,-
年齢別30歳代実数,261,152,8,130,14,98,9,2
年齢別30歳代（％）,100.0,58.2,3.1,49.8,5.4,37.5,3.4,0.8
年齢別40歳代実数,365,255,25,206,24,105,5,-
年齢別40歳代（％）,100.0,69.9,6.8,56.4,6.6,28.8,1.4,-
年齢別50歳代実数,294,206,24,163,19,84,1,3
年齢別50歳代（％）,100.0,70.1,8.2,55.4,6.5,28.6,0.3,1.0
年齢別60歳代実数,313,240,39,168,33,71,2,-
年齢別60歳代（％）,100.0,76.7,12.5,53.7,10.5,22.7,0.6,-
年齢別70歳代実数,296,228,44,143,41,66,-,2
年齢別70歳代（％）,100.0,77.0,14.9,48.3,13.9,22.3,-,0.7
年齢別80歳以上実数,124,73,13,42,18,50,1,-
年齢別80歳以上（％）,100.0,58.9,10.5,33.9,14.5,40.3,0.8,-
性/年齢別男性20歳代実数,92,54,3,42,9,37,1,-
性/年齢別男性20歳代（％）,100.0,58.7,3.3,45.7,9.8,40.2,1.1,-
性/年齢別男性30歳代実数,118,68,2,59,7,44,4,2
性/年齢別男性30歳代（％）,100.0,57.6,1.7,50.0,5.9,37.3,3.4,1.7
性/年齢別男性40歳代実数,174,126,17,98,11,46,2,-
性/年齢別男性40歳代（％）,100.0,72.4,9.8,56.3,6.3,26.4,1.1,-
性/年齢別男性50歳代実数,161,113,14,86,13,46,-,2
性/年齢別男性50歳代（％）,100.0,70.2,8.7,53.4,8.1,28.6,-,1.2
性/年齢別男性60歳代実数,153,118,22,80,16,33,2,-
性/年齢別男性60歳代（％）,100.0,77.1,14.4,52.3,10.5,21.6,1.3,-
性/年齢別男性70歳代実数,134,109,24,67,18,24,-,1
性/年齢別男性70歳代（％）,100.0,81.3,17.9,50.0,13.4,17.9,-,0.7
性/年齢別男性80歳以上実数,50,33,8,16,9,16,1,-
性/年齢別男性80歳以上（％）,100.0,66.0,16.0,32.0,18.0,32.0,2.0,-
性/年齢別女性20歳代実数,82,48,1,41,6,30,4,-
性/年齢別女性20歳代（％）,100.0,58.5,1.2,50.0,7.3,36.6,4.9,-
性/年齢別女性30歳代実数,143,84,6,71,7,54,5,-
性/年齢別女性30歳代（％）,100.0,58.7,4.2,49.7,4.9,37.8,3.5,-
性/年齢別女性40歳代実数,191,129,8,108,13,59,3,-
性/年齢別女性40歳代（％）,100.0,67.5,4.2,56.5,6.8,30.9,1.6,-
性/年齢別女性50歳代実数,133,93,10,77,6,38,1,1
性/年齢別女性50歳代（％）,100.0,69.9,7.5,57.9,4.5,28.6,0.8,0.8
性/年齢別女性60歳代実数,160,122,17,88,17,38,-,-
性/年齢別女性60歳代（％）,100.0,76.3,10.6,55.0,10.6,23.8,-,-
性/年齢別女性70歳代実数,162,119,20,76,23,42,-,1
性/年齢別女性70歳代（％）,100.0,73.5,12.3,46.9,14.2,25.9,-,0.6
性/年齢別女性80歳以上実数,74,40,5,26,9,34,-,-
性/年齢別女性80歳以上（％）,100.0,54.1,6.8,35.1,12.2,45.9,-,-
未・既婚別未婚実数,453,282,19,225,38,161,9,1
未・既婚別未婚（％）,100.0,62.3,4.2,49.7,8.4,35.5,2.0,0.2
未・既婚別既婚（死別・離別を含む）実数,1366,969,137,706,126,378,14,5
未・既婚別既婚（死別・離別を含む）（％）,100.0,70.9,10.0,51.7,9.2,27.7,1.0,0.4
子供の有無別子供はいない実数,642,412,33,332,47,217,11,2
子供の有無別子供はいない（％）,100.0,64.2,5.1,51.7,7.3,33.8,1.7,0.3
子供の有無別未就学（～６歳）実数,180,116,10,95,11,57,5,2
子供の有無別未就学（～６歳）（％）,100.0,64.4,5.6,52.8,6.1,31.7,2.8,1.1
子供の有無別小・中・高校生実数,270,184,20,147,17,80,5,1
子供の有無別小・中・高校生（％）,100.0,68.1,7.4,54.4,6.3,29.6,1.9,0.4
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,69,11,50,8,35,2,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,65.1,10.4,47.2,7.5,33.0,1.9,-
子供の有無別学校教育終了実数,743,548,92,366,90,188,4,3
子供の有無別学校教育終了（％）,100.0,73.8,12.4,49.3,12.1,25.3,0.5,0.4
子供の有無別その他実数,7,3,1,2,-,4,-,-
子供の有無別その他（％）,100.0,42.9,14.3,28.6,-,57.1,-,-
職業別自営業（計）実数,152,109,13,79,17,41,1,1
職業別自営業（計）（％）,100.0,71.7,8.6,52.0,11.2,27.0,0.7,0.7
職業別農林漁業実数,3,2,1,-,1,1,-,-
職業別農林漁業（％）,100.0,66.7,33.3,-,33.3,33.3,-,-
職業別商工・サービス業実数,96,70,9,51,10,25,1,-
職業別商工・サービス業（％）,100.0,72.9,9.4,53.1,10.4,26.0,1.0,-
職業別その他自由業実数,53,37,3,28,6,15,-,1
職業別その他自由業（％）,100.0,69.8,5.7,52.8,11.3,28.3,-,1.9
職業別お勤め（計）実数,934,636,62,507,67,281,14,3
職業別お勤め（計）（％）,100.0,68.1,6.6,54.3,7.2,30.1,1.5,0.3
職業別経営・管理職実数,94,65,9,47,9,29,-,-
職業別経営・管理職（％）,100.0,69.1,9.6,50.0,9.6,30.9,-,-
職業別専門職・技術職実数,243,168,13,139,16,70,5,-
職業別専門職・技術職（％）,100.0,69.1,5.3,57.2,6.6,28.8,2.1,-
職業別事務職実数,249,169,20,134,15,76,4,-
職業別事務職（％）,100.0,67.9,8.0,53.8,6.0,30.5,1.6,-
職業別労務職・技能職実数,111,72,7,55,10,38,1,-
職業別労務職・技能職（％）,100.0,64.9,6.3,49.5,9.0,34.2,0.9,-
職業別販売・サービス職実数,237,162,13,132,17,68,4,3
職業別販売・サービス職（％）,100.0,68.4,5.5,55.7,7.2,28.7,1.7,1.3
職業別その他（計）実数,732,505,81,344,80,216,8,3
職業別その他（計）（％）,100.0,69.0,11.1,47.0,10.9,29.5,1.1,0.4
職業別生徒・学生実数,35,20,1,15,4,15,-,-
職業別生徒・学生（％）,100.0,57.1,2.9,42.9,11.4,42.9,-,-
職業別専業主婦（夫）実数,309,211,30,149,32,92,5,1
職業別専業主婦（夫）（％）,100.0,68.3,9.7,48.2,10.4,29.8,1.6,0.3
職業別その他実数,18,14,2,12,-,4,-,-
職業別その他（％）,100.0,77.8,11.1,66.7,-,22.2,-,-
職業別無職（年金受給者含む）実数,370,260,48,168,44,105,3,2
職業別無職（年金受給者含む）（％）,100.0,70.3,13.0,45.4,11.9,28.4,0.8,0.5
投票所までの時間別５分以内実数,712,513,61,393,59,189,7,3
投票所までの時間別５分以内（％）,100.0,72.1,8.6,55.2,8.3,26.5,1.0,0.4
投票所までの時間別10分以内実数,769,539,75,387,77,219,8,3
投票所までの時間別10分以内（％）,100.0,70.1,9.8,50.3,10.0,28.5,1.0,0.4
投票所までの時間別20分以内実数,245,164,19,122,23,77,3,1
投票所までの時間別20分以内（％）,100.0,66.9,7.8,49.8,9.4,31.4,1.2,0.4
投票所までの時間別30分以内実数,38,21,1,18,2,16,1,-
投票所までの時間別30分以内（％）,100.0,55.3,2.6,47.4,5.3,42.1,2.6,-
投票所までの時間別30分を超える実数,11,5,-,4,1,5,1,-
投票所までの時間別30分を超える（％）,100.0,45.5,-,36.4,9.1,45.5,9.1,-
投票所までの時間別わからない実数,48,11,1,8,2,34,3,-
投票所までの時間別わからない（％）,100.0,22.9,2.1,16.7,4.2,70.8,6.3,-
地域別区部（計）実数,1189,826,111,603,112,341,19,3
地域別区部（計）（％）,100.0,69.5,9.3,50.7,9.4,28.7,1.6,0.3
地域別センターコア実数,314,214,32,155,27,94,6,-
地域別センターコア（％）,100.0,68.2,10.2,49.4,8.6,29.9,1.9,-
地域別区部東部・北部エリア実数,382,275,34,209,32,105,2,-
地域別区部東部・北部エリア（％）,100.0,72.0,8.9,54.7,8.4,27.5,0.5,-
地域別区部西部・南部エリア実数,493,337,45,239,53,142,11,3
地域別区部西部・南部エリア（％）,100.0,68.4,9.1,48.5,10.8,28.8,2.2,0.6
地域別市郡部（計）実数,638,430,46,332,52,200,4,4
地域別市郡部（計）（％）,100.0,67.4,7.2,52.0,8.2,31.3,0.6,0.6
地域別多摩東部エリア実数,239,172,11,141,20,63,2,2
地域別多摩東部エリア（％）,100.0,72.0,4.6,59.0,8.4,26.4,0.8,0.8
地域別多摩中央部北エリア実数,89,47,5,36,6,41,1,-
地域別多摩中央部北エリア（％）,100.0,52.8,5.6,40.4,6.7,46.1,1.1,-
地域別多摩中央部南エリア実数,267,183,26,133,24,83,1,-
地域別多摩中央部南エリア（％）,100.0,68.5,9.7,49.8,9.0,31.1,0.4,-
地域別多摩西部エリア実数,43,28,4,22,2,13,-,2
地域別多摩西部エリア（％）,100.0,65.1,9.3,51.2,4.7,30.2,-,4.7
選挙への関心度別関心があった（計）実数,1084,872,126,622,124,200,9,3
選挙への関心度別関心があった（計）（％）,100.0,80.4,11.6,57.4,11.4,18.5,0.8,0.3
選挙への関心度別関心があった実数,642,526,100,354,72,111,3,2
選挙への関心度別関心があった（％）,100.0,81.9,15.6,55.1,11.2,17.3,0.5,0.3
選挙への関心度別やや関心があった実数,442,346,26,268,52,89,6,1
選挙への関心度別やや関心があった（％）,100.0,78.3,5.9,60.6,11.8,20.1,1.4,0.2
選挙への関心度別関心がなかった（計）実数,179,121,6,103,12,55,2,1
選挙への関心度別関心がなかった（計）（％）,100.0,67.6,3.4,57.5,6.7,30.7,1.1,0.6
選挙への関心度別あまり関心がなかった実数,554,259,25,207,27,282,10,3
