質問,今回選挙(n=999)(%),平成24年都知事選挙(n=1415)(%),備考
都政全体のことを考えてくれる人だと思ったから,45.6,46.9,
候補者の政策や主張に賛成だから,43.0,27.5,
人柄、経歴などから都政を託すのに最適な人だと思ったから,28.0,19.6,
自分の日常の暮らしを守ってくれる人だと思ったから,24.3,19.8,
テレビや新聞などマスコミを通して知っている人だから,19.9,6.6,
テレビやラジオ、新聞等メディアの報道内容からふさわしい人だと思ったから※,9.3,0,
家族や友人との選挙に関する話の中で、ふさわしい人だと思ったから,6.6,4.3,
地元の利益を考えてくれる人だと思ったから,6.1,6.5,
自分の支持する政党の推薦する人だから,6.1,9.7,
ホームページやSNS等のインターネット上の情報を見てふさわしい人だと思ったから※,3.0,0,
団体や組織や知人に頼まれたから,2.9,1.6,
ポスターや選挙公報などを見て、ふさわしい人だと思ったから,2.9,6.4,
自分の仕事や職業上の利益を守ってくれる人だと思ったから,2.8,2.5,
その他,4.9,3.3,
特に理由はない(なんとなく),3.8,7.2,
わからない,0.7,0.1,
無回答,0.6,0.5,
,,,注：※今回調査で追加
