,年齢,ｎ,知っている（％）,知らなかった（％）,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,全体,1823,93.2,6.8,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,18歳,7,85.7,14.3,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,19歳,20,85.0,15.0,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,20歳代,164,87.2,12.8,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,30歳代,257,95.3,4.7,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,40歳代,398,96.0,4.0,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,50歳代,311,98.1,1.9,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,60歳代,337,92.9,7.1,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,70歳代,231,88.3,11.7,,,,,
ア)投票日前に投票できる制度（期日前投票）があること,80歳代以上,98,85.7,14.3,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,全体,1699,92.1,7.9,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,18歳,6,66.7,33.3,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,19歳,17,88.2,11.8,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,20歳代,143,86.7,13.3,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,30歳代,245,91.0,9.0,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,40歳代,382,90.8,9.2,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,50歳代,305,92.1,7.9,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,60歳代,313,96.8,3.2,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,70歳代,204,97.1,2.9,,,,,
イ)仕事や買い物、旅行などを理由として期日前投票ができること,80歳代以上,84,82.1,17.9,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,全体,1699,71.2,28.8,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,18歳,6,16.7,83.3,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,19歳,17,47.1,52.9,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,20歳代,143,65.0,35.0,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,30歳代,245,70.6,29.4,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,40歳代,382,70.2,29.8,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,50歳代,305,73.1,26.9,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,60歳代,313,77.6,22.4,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,70歳代,204,74.0,26.0,,,,,
ウ)印鑑や身分証明書などを持参しなくても、期日前投票ができること,80歳代以上,84,59.5,40.5,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間）,全体,1699,69.3,30.7,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間）,18歳,6,16.7,83.3,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間）,19歳,17,35.3,64.7,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間）,20歳代,143,55.2,44.8,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間）,30歳代,245,66.1,33.9,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間）,40歳代,382,70.9,29.1,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間）,50歳代,305,75.4,24.6,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間）,60歳代,313,76.4,23.6,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間）,70歳代,204,68.6,31.4,,,,,
エ)期日前投票は、公示日（告示日）※の翌日から投票日の前日（土日含む）までの間できること（今回の参議院議員選挙の場合は17日間、東京都知事選挙の場合は16日間）,80歳代以上,84,59.5,40.5,,,,,
