,調査数,テレビ・ラジオの選挙報道,新聞・雑誌などの選挙報道,選挙公報,候補者等のポスター,テレビ・ラジオの政見放送・経歴放送,候補者の新聞広告,候補者等の街頭演説,候補者の個人演説会,候補者のはがき・候補者等のビラ,候補者のホームページ、ツイッター等のネット上の情報,候補者以外のホームページ、ツイッター等のネット上の情報,候補者の後援会などからの推薦,各種団体からの推薦,家族、友人、知人からの勧め,その他,どれにも接していない,役立ったものはない,わからない、忘れた,無回答
全体,999,727,552,375,192,226,92,80,22,19,79,65,14,25,94,11,4,29,3,9
全体,100.0,72.8,55.3,37.5,19.2,22.6,9.2,8.0,2.2,1.9,7.9,6.5,1.4,2.5,9.4,1.1,0.4,2.9,0.3,0.9
性別男性,485,354,285,177,96,119,50,37,13,10,40,37,8,14,30,6,3,14,3,4
性別男性,100.0,73.0,58.8,36.5,19.8,24.5,10.3,7.6,2.7,2.1,8.2,7.6,1.6,2.9,6.2,1.2,0.6,2.9,0.6,0.8
性別女性,514,373,267,198,96,107,42,43,9,9,39,28,6,11,64,5,1,15,-,5
性別女性,100.0,72.6,51.9,38.5,18.7,20.8,8.2,8.4,1.8,1.8,7.6,5.4,1.2,2.1,12.5,1.0,0.2,2.9,-,1.0
年齢20歳代,52,35,17,16,10,8,3,4,1,1,8,11,-,1,6,-,-,3,-,-
年齢20歳代,100.0,67.3,32.7,30.8,19.2,15.4,5.8,7.7,1.9,1.9,15.4,21.2,-,1.9,11.5,-,-,5.8,-,-
年齢30歳代,145,99,60,54,25,29,8,11,3,5,31,18,2,3,19,-,-,3,-,2
年齢30歳代,100.0,68.3,41.4,37.2,17.2,20.0,5.5,7.6,2.1,3.4,21.4,12.4,1.4,2.1,13.1,-,-,2.1,-,1.4
年齢40歳代,217,168,116,76,41,45,21,18,2,3,15,19,1,1,20,3,1,2,-,3
年齢40歳代,100.0,77.4,53.5,35.0,18.9,20.7,9.7,8.3,0.9,1.4,6.9,8.8,0.5,0.5,9.2,1.4,0.5,0.9,-,1.4
年齢50歳代,178,130,105,73,36,40,16,15,3,3,13,12,2,8,17,2,2,9,1,1
年齢50歳代,100.0,73.0,59.0,41.0,20.2,22.5,9.0,8.4,1.7,1.7,7.3,6.7,1.1,4.5,9.6,1.1,1.1,5.1,0.6,0.6
年齢60歳代,213,153,142,84,45,57,25,15,8,3,9,4,2,7,18,3,1,5,-,2
年齢60歳代,100.0,71.8,66.7,39.4,21.1,26.8,11.7,7.0,3.8,1.4,4.2,1.9,0.9,3.3,8.5,1.4,0.5,2.3,-,0.9
年齢70歳代,151,109,85,53,25,32,11,12,3,3,3,1,5,4,13,2,-,6,1,-
年齢70歳代,100.0,72.2,56.3,35.1,16.6,21.2,7.3,7.9,2.0,2.0,2.0,0.7,3.3,2.6,8.6,1.3,-,4.0,0.7,-
年齢80歳以上,36,28,22,15,10,14,7,5,2,1,-,-,2,1,1,1,-,1,1,-
年齢80歳以上,100.0,77.8,61.1,41.7,27.8,38.9,19.4,13.9,5.6,2.8,-,-,5.6,2.8,2.8,2.8,-,2.8,2.8,-
性／年齢別男性20歳代,28,18,8,8,6,5,2,1,1,1,4,7,-,-,3,-,-,1,-,-
性／年齢別男性20歳代,100.0,64.3,28.6,28.6,21.4,17.9,7.1,3.6,3.6,3.6,14.3,25.0,-,-,10.7,-,-,3.6,-,-
性／年齢別男性30歳代,66,47,31,24,10,14,4,5,1,2,12,7,1,2,6,-,-,2,-,1
性／年齢別男性30歳代,100.0,71.2,47.0,36.4,15.2,21.2,6.1,7.6,1.5,3.0,18.2,10.6,1.5,3.0,9.1,-,-,3.0,-,1.5
性／年齢別男性40歳代,92,72,51,32,15,19,11,6,1,1,9,12,1,1,6,1,-,2,-,-
性／年齢別男性40歳代,100.0,78.3,55.4,34.8,16.3,20.7,12.0,6.5,1.1,1.1,9.8,13.0,1.1,1.1,6.5,1.1,-,2.2,-,-
性／年齢別男性50歳代,93,68,55,37,20,21,9,9,3,1,9,8,1,2,6,1,2,5,1,1
性／年齢別男性50歳代,100.0,73.1,59.1,39.8,21.5,22.6,9.7,9.7,3.2,1.1,9.7,8.6,1.1,2.2,6.5,1.1,2.2,5.4,1.1,1.1
性／年齢別男性60歳代,110,78,80,42,25,31,13,9,3,3,5,2,-,4,7,1,1,2,-,1
性／年齢別男性60歳代,100.0,70.9,72.7,38.2,22.7,28.2,11.8,8.2,2.7,2.7,4.5,1.8,-,3.6,6.4,0.9,0.9,1.8,-,0.9
性／年齢別男性70歳代,75,57,47,27,15,20,8,5,2,2,1,1,3,4,2,2,-,1,1,-
性／年齢別男性70歳代,100.0,76.0,62.7,36.0,20.0,26.7,10.7,6.7,2.7,2.7,1.3,1.3,4.0,5.3,2.7,2.7,-,1.3,1.3,-
性／年齢別男性80歳以上,20,14,13,7,5,9,3,2,2,-,-,-,2,1,-,1,-,1,1,-
性／年齢別男性80歳以上,100.0,70.0,65.0,35.0,25.0,45.0,15.0,10.0,10.0,-,-,-,10.0,5.0,-,5.0,-,5.0,5.0,-
性／年齢別女性20歳代,24,17,9,8,4,3,1,3,-,-,4,4,-,1,3,-,-,2,-,-
性／年齢別女性20歳代,100.0,70.8,37.5,33.3,16.7,12.5,4.2,12.5,-,-,16.7,16.7,-,4.2,12.5,-,-,8.3,-,-
性／年齢別女性30歳代,79,52,29,30,15,15,4,6,2,3,19,11,1,1,13,-,-,1,-,1
性／年齢別女性30歳代,100.0,65.8,36.7,38.0,19.0,19.0,5.1,7.6,2.5,3.8,24.1,13.9,1.3,1.3,16.5,-,-,1.3,-,1.3
性／年齢別女性40歳代,125,96,65,44,26,26,10,12,1,2,6,7,-,-,14,2,1,-,-,3
性／年齢別女性40歳代,100.0,76.8,52.0,35.2,20.8,20.8,8.0,9.6,0.8,1.6,4.8,5.6,-,-,11.2,1.6,0.8,-,-,2.4
性／年齢別女性50歳代,85,62,50,36,16,19,7,6,-,2,4,4,1,6,11,1,-,4,-,-
性／年齢別女性50歳代,100.0,72.9,58.8,42.4,18.8,22.4,8.2,7.1,-,2.4,4.7,4.7,1.2,7.1,12.9,1.2,-,4.7,-,-
性／年齢別女性60歳代,103,75,62,42,20,26,12,6,5,-,4,2,2,3,11,2,-,3,-,1
性／年齢別女性60歳代,100.0,72.8,60.2,40.8,19.4,25.2,11.7,5.8,4.9,-,3.9,1.9,1.9,2.9,10.7,1.9,-,2.9,-,1.0
性／年齢別女性70歳代,76,52,38,26,10,12,3,7,1,1,2,-,2,-,11,-,-,5,-,-
性／年齢別女性70歳代,100.0,68.4,50.0,34.2,13.2,15.8,3.9,9.2,1.3,1.3,2.6,-,2.6,-,14.5,-,-,6.6,-,-
性／年齢別女性80歳以上,16,14,9,8,5,5,4,3,-,1,-,-,-,-,1,-,-,-,-,-
性／年齢別女性80歳以上,100.0,87.5,56.3,50.0,31.3,31.3,25.0,18.8,-,6.3,-,-,-,-,6.3,-,-,-,-,-
未・既婚別未婚（死別・離別を含む）,279,201,123,100,54,60,22,25,5,5,34,34,3,9,25,2,1,9,-,1
未・既婚別未婚（死別・離別を含む）,100.0,72.0,44.1,35.8,19.4,21.5,7.9,9.0,1.8,1.8,12.2,12.2,1.1,3.2,9.0,0.7,0.4,3.2,-,0.4
未・既婚別既婚,711,520,425,274,137,165,69,54,17,14,45,31,11,16,69,9,3,18,3,7
未・既婚別既婚,100.0,73.1,59.8,38.5,19.3,23.2,9.7,7.6,2.4,2.0,6.3,4.4,1.5,2.3,9.7,1.3,0.4,2.5,0.4,1.0
子供の有無別子供はいない,280,205,130,94,54,54,19,31,5,4,32,36,2,8,23,-,1,9,-,1
子供の有無別子供はいない,100.0,73.2,46.4,33.6,19.3,19.3,6.8,11.1,1.8,1.4,11.4,12.9,0.7,2.9,8.2,-,0.4,3.2,-,0.4
子供の有無別未就学（～６歳）,70,46,35,30,22,16,6,8,1,2,15,10,-,2,11,2,-,-,-,-
子供の有無別未就学（～６歳）,100.0,65.7,50.0,42.9,31.4,22.9,8.6,11.4,1.4,2.9,21.4,14.3,-,2.9,15.7,2.9,-,-,-,-
子供の有無別小・中・高校生,185,145,99,76,27,42,16,14,4,2,18,11,4,3,22,2,-,2,1,3
子供の有無別小・中・高校生,100.0,78.4,53.5,41.1,14.6,22.7,8.6,7.6,2.2,1.1,9.7,5.9,2.2,1.6,11.9,1.1,-,1.1,0.5,1.6
子供の有無別大学生・大学院生・短大生・専門学校生,63,43,39,28,11,14,5,3,-,1,2,2,-,3,5,-,-,4,-,-
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,68.3,61.9,44.4,17.5,22.2,7.9,4.8,-,1.6,3.2,3.2,-,4.8,7.9,-,-,6.3,-,-
子供の有無別学校教育終了,415,297,263,165,80,109,50,25,11,9,16,7,8,10,35,8,3,17,2,3
