,n,必ず投票するべき（％）,可能な限り投票するべき（％）,投票するのもしないの自由（％）,その他（％）,わからない（％）,投票するべき計（％）
全体,1823,33.7,45.4,18.4,0.1,2.4,79.2
性別男性,852,39.7,40.7,17.3,0.1,2.2,80.4
性別女性,971,28.5,49.5,19.4,0.0,2.6,78.1
年齢別18歳,7,14.3,28.6,28.6,0.0,28.6,42.9
年齢別19歳,20,0.0,50.0,40.0,0.0,10.0,50.0
年齢別20歳代,164,12.2,32.3,48.2,0.0,7.3,44.5
年齢別30歳代,257,22.6,52.9,24.5,0.0,0.0,75.5
年齢別40歳代,398,25.1,56.5,17.3,0.0,1.0,81.7
年齢別50歳代,311,36.7,48.9,13.2,0.0,1.3,85.5
年齢別60歳代,337,49.0,40.7,7.4,0.0,3.0,89.6
年齢別70歳代,231,48.5,35.5,13.9,0.4,1.7,84.0
年齢別80歳以上,98,45.9,31.6,16.3,0.0,6.1,77.6
職業別自営業,133,46.6,41.4,11.3,0.0,0.8,88.0
職業別勤め人,821,27.5,48.4,22.0,0.0,2.1,75.9
職業別学生,47,10.6,29.8,48.9,0.0,10.6,40.4
職業別専業主婦(夫),395,33.2,52.7,12.9,0.0,1.3,85.8
職業別その他,25,32.0,36.0,28.0,0.0,4.0,68.0
職業別無職(年金受給者含む),402,45.5,36.1,14.4,0.2,3.7,81.6
