,調査数,自営業（家族従業含む）（計）,農林漁業,商工・サービス業,その他自由業,勤め人（計）,経営・管理職,専門職・技術職,事務職,労務・技能職,販売・サービス職,その他（計）,学生,専業主婦（夫）,その他,無職（年金受給者含む）,無回答
全体実数,1827,152,3,96,53,934,94,243,249,111,237,732,35,309,18,370,9
全体（％）,100.0,8.3,0.2,5.3,2.9,51.1,5.1,13.3,13.6,6.1,13.0,40.1,1.9,16.9,1.0,20.3,0.5
性別男性実数,882,101,2,69,30,536,86,158,99,80,113,240,20,1,9,210,5
性別男性（％）,100.0,11.5,0.2,7.8,3.4,60.8,9.8,17.9,11.2,9.1,12.8,27.2,2.3,0.1,1.0,23.8,0.6
性別女性実数,945,51,1,27,23,398,8,85,150,31,124,492,15,308,9,160,4
性別女性（％）,100.0,5.4,0.1,2.9,2.4,42.1,0.8,9.0,15.9,3.3,13.1,52.1,1.6,32.6,1.0,16.9,0.4
年齢別20歳代実数,174,4,-,2,2,121,2,26,37,18,38,49,34,6,4,5,-
年齢別20歳代（％）,100.0,2.3,-,1.1,1.1,69.5,1.1,14.9,21.3,10.3,21.8,28.2,19.5,3.4,2.3,2.9,-
年齢別30歳代実数,261,12,-,8,4,201,6,56,60,15,64,47,1,43,-,3,1
年齢別30歳代（％）,100.0,4.6,-,3.1,1.5,77.0,2.3,21.5,23.0,5.7,24.5,18.0,0.4,16.5,-,1.1,0.4
年齢別40歳代実数,365,29,1,13,15,258,27,77,81,20,53,74,-,58,5,11,4
年齢別40歳代（％）,100.0,7.9,0.3,3.6,4.1,70.7,7.4,21.1,22.2,5.5,14.5,20.3,-,15.9,1.4,3.0,1.1
年齢別50歳代実数,294,37,1,25,11,191,35,50,45,26,35,65,-,41,2,22,1
年齢別50歳代（％）,100.0,12.6,0.3,8.5,3.7,65.0,11.9,17.0,15.3,8.8,11.9,22.1,-,13.9,0.7,7.5,0.3
年齢別60歳代実数,313,41,1,28,12,127,15,30,22,25,35,143,-,62,3,78,2
年齢別60歳代（％）,100.0,13.1,0.3,8.9,3.8,40.6,4.8,9.6,7.0,8.0,11.2,45.7,-,19.8,1.0,24.9,0.6
年齢別70歳代実数,296,26,-,17,9,34,8,4,3,7,12,235,-,78,4,153,1
年齢別70歳代（％）,100.0,8.8,-,5.7,3.0,11.5,2.7,1.4,1.0,2.4,4.1,79.4,-,26.4,1.4,51.7,0.3
年齢別80歳以上実数,124,3,-,3,-,2,1,-,1,-,-,119,-,21,-,98,-
年齢別80歳以上（％）,100.0,2.4,-,2.4,-,1.6,0.8,-,0.8,-,-,96.0,-,16.9,-,79.0,-
性/年齢別男性20歳代実数,92,3,-,2,1,64,2,13,15,15,19,25,19,-,2,4,-
性/年齢別男性20歳代（％）,100.0,3.3,-,2.2,1.1,69.6,2.2,14.1,16.3,16.3,20.7,27.2,20.7,-,2.2,4.3,-
性/年齢別男性30歳代実数,118,9,-,6,3,106,4,34,25,10,33,2,1,-,-,1,1
性/年齢別男性30歳代（％）,100.0,7.6,-,5.1,2.5,89.8,3.4,28.8,21.2,8.5,28.0,1.7,0.8,-,-,0.8,0.8
性/年齢別男性40歳代実数,174,18,1,7,10,146,24,56,30,14,22,9,-,-,3,6,1
性/年齢別男性40歳代（％）,100.0,10.3,0.6,4.0,5.7,83.9,13.8,32.2,17.2,8.0,12.6,5.2,-,-,1.7,3.4,0.6
性/年齢別男性50歳代実数,161,22,-,18,4,122,34,33,15,19,21,16,-,-,-,16,1
性/年齢別男性50歳代（％）,100.0,13.7,-,11.2,2.5,75.8,21.1,20.5,9.3,11.8,13.0,9.9,-,-,-,9.9,0.6
性/年齢別男性60歳代実数,153,27,1,21,5,78,15,18,12,19,14,47,-,-,1,46,1
