,調査数,選挙期間に入る前から（12月1日以前）,投票日当日を除く選挙期間中（投票した日を除く）,投票した日当日,わからない、忘れた,無回答
全体実数,259,124,105,22,6,2
全体（％）,100.0,47.9,40.5,8.5,2.3,0.8
性別男性実数,125,61,47,11,4,2
性別男性（％）,100.0,48.8,37.6,8.8,3.2,1.6
性別女性実数,134,63,58,11,2,-
性別女性（％）,100.0,47.0,43.3,8.2,1.5,-
年齢別20歳代実数,23,8,10,3,-,2
年齢別20歳代（％）,100.0,34.8,43.5,13.0,-,8.7
年齢別30歳代実数,28,7,15,4,2,-
年齢別30歳代（％）,100.0,25.0,53.6,14.3,7.1,-
年齢別40歳代実数,49,18,26,4,1,-
年齢別40歳代（％）,100.0,36.7,53.1,8.2,2.0,-
年齢別50歳代実数,41,17,19,5,-,-
年齢別50歳代（％）,100.0,41.5,46.3,12.2,-,-
年齢別60歳代実数,55,32,16,4,3,-
年齢別60歳代（％）,100.0,58.2,29.1,7.3,5.5,-
年齢別70歳代実数,53,38,13,2,-,-
年齢別70歳代（％）,100.0,71.7,24.5,3.8,-,-
年齢別80歳以上実数,10,4,6,-,-,-
年齢別80歳以上（％）,100.0,40.0,60.0,-,-,-
性/年齢別男性20歳代実数,17,7,6,2,-,2
性/年齢別男性20歳代（％）,100.0,41.2,35.3,11.8,-,11.8
性/年齢別男性30歳代実数,14,5,4,4,1,-
性/年齢別男性30歳代（％）,100.0,35.7,28.6,28.6,7.1,-
性/年齢別男性40歳代実数,22,8,12,2,-,-
性/年齢別男性40歳代（％）,100.0,36.4,54.5,9.1,-,-
性/年齢別男性50歳代実数,17,6,10,1,-,-
性/年齢別男性50歳代（％）,100.0,35.3,58.8,5.9,-,-
性/年齢別男性60歳代実数,24,14,5,2,3,-
性/年齢別男性60歳代（％）,100.0,58.3,20.8,8.3,12.5,-
性/年齢別男性70歳代実数,27,20,7,-,-,-
性/年齢別男性70歳代（％）,100.0,74.1,25.9,-,-,-
性/年齢別男性80歳以上実数,4,1,3,-,-,-
性/年齢別男性80歳以上（％）,100.0,25.0,75.0,-,-,-
性/年齢別女性20歳代実数,6,1,4,1,-,-
性/年齢別女性20歳代（％）,100.0,16.7,66.7,16.7,-,-
性/年齢別女性30歳代実数,14,2,11,-,1,-
性/年齢別女性30歳代（％）,100.0,14.3,78.6,-,7.1,-
性/年齢別女性40歳代実数,27,10,14,2,1,-
性/年齢別女性40歳代（％）,100.0,37.0,51.9,7.4,3.7,-
性/年齢別女性50歳代実数,24,11,9,4,-,-
性/年齢別女性50歳代（％）,100.0,45.8,37.5,16.7,-,-
性/年齢別女性60歳代実数,31,18,11,2,-,-
性/年齢別女性60歳代（％）,100.0,58.1,35.5,6.5,-,-
性/年齢別女性70歳代実数,26,18,6,2,-,-
性/年齢別女性70歳代（％）,100.0,69.2,23.1,7.7,-,-
性/年齢別女性80歳以上実数,6,3,3,-,-,-
性/年齢別女性80歳以上（％）,100.0,50.0,50.0,-,-,-
未・既婚別未婚実数,55,21,24,7,1,2
未・既婚別未婚（％）,100.0,38.2,43.6,12.7,1.8,3.6
未・既婚別既婚（死別・離別を含む）実数,204,103,81,15,5,-
未・既婚別既婚（死別・離別を含む）（％）,100.0,50.5,39.7,7.4,2.5,-
子供の有無別子供はいない実数,92,34,42,10,4,2
子供の有無別子供はいない（％）,100.0,37.0,45.7,10.9,4.3,2.2
子供の有無別未就学（～６歳）実数,22,6,14,2,-,-
子供の有無別未就学（～６歳）（％）,100.0,27.3,63.6,9.1,-,-
子供の有無別小・中・高校生実数,32,12,17,2,1,-
子供の有無別小・中・高校生（％）,100.0,37.5,53.1,6.3,3.1,-
子供の有無別大学生・大学院生・短大生・専門学校生実数,15,5,9,1,-,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,33.3,60.0,6.7,-,-
子供の有無別学校教育終了実数,116,71,34,9,2,-
子供の有無別学校教育終了（％）,100.0,61.2,29.3,7.8,1.7,-
子供の有無別その他実数,-,-,-,-,-,-
子供の有無別その他（％）,-,-,-,-,-,-
職業別自営業（計）実数,27,14,11,2,-,-
職業別自営業（計）（％）,100.0,51.9,40.7,7.4,-,-
職業別農林漁業実数,-,-,-,-,-,-
職業別農林漁業（％）,-,-,-,-,-,-
職業別商工・サービス業実数,16,7,7,2,-,-
職業別商工・サービス業（％）,100.0,43.8,43.8,12.5,-,-
職業別その他自由業実数,11,7,4,-,-,-
職業別その他自由業（％）,100.0,63.6,36.4,-,-,-
職業別お勤め（計）実数,140,58,59,16,5,2
職業別お勤め（計）（％）,100.0,41.4,42.1,11.4,3.6,1.4
職業別経営・管理職実数,21,11,7,2,1,-
職業別経営・管理職（％）,100.0,52.4,33.3,9.5,4.8,-
職業別専門職・技術職実数,37,10,22,3,1,1
職業別専門職・技術職（％）,100.0,27.0,59.5,8.1,2.7,2.7
職業別事務職実数,45,17,20,7,1,-
職業別事務職（％）,100.0,37.8,44.4,15.6,2.2,-
職業別労務職・技能職実数,8,5,2,-,1,-
職業別労務職・技能職（％）,100.0,62.5,25.0,-,12.5,-
職業別販売・サービス職実数,29,15,8,4,1,1
職業別販売・サービス職（％）,100.0,51.7,27.6,13.8,3.4,3.4
職業別その他（計）実数,92,52,35,4,1,-
職業別その他（計）（％）,100.0,56.5,38.0,4.3,1.1,-
職業別生徒・学生実数,3,-,3,-,-,-
職業別生徒・学生（％）,100.0,-,100.0,-,-,-
職業別専業主婦（夫）実数,44,24,17,3,-,-
職業別専業主婦（夫）（％）,100.0,54.5,38.6,6.8,-,-
職業別その他実数,5,3,1,1,-,-
職業別その他（％）,100.0,60.0,20.0,20.0,-,-
職業別無職（年金受給者含む）実数,40,25,14,-,1,-
職業別無職（年金受給者含む）（％）,100.0,62.5,35.0,-,2.5,-
投票所までの時間別５分以内実数,75,32,35,6,1,1
投票所までの時間別５分以内（％）,100.0,42.7,46.7,8.0,1.3,1.3
投票所までの時間別10分以内実数,113,60,35,12,5,1
投票所までの時間別10分以内（％）,100.0,53.1,31.0,10.6,4.4,0.9
投票所までの時間別20分以内実数,55,25,26,4,-,-
投票所までの時間別20分以内（％）,100.0,45.5,47.3,7.3,-,-
投票所までの時間別30分以内実数,10,4,6,-,-,-
投票所までの時間別30分以内（％）,100.0,40.0,60.0,-,-,-
投票所までの時間別30分を超える実数,3,2,1,-,-,-
投票所までの時間別30分を超える（％）,100.0,66.7,33.3,-,-,-
投票所までの時間別わからない実数,2,1,1,-,-,-
投票所までの時間別わからない（％）,100.0,50.0,50.0,-,-,-
地域別区部（計）実数,173,77,73,17,5,1
地域別区部（計）（％）,100.0,44.5,42.2,9.8,2.9,0.6
地域別センターコア実数,45,22,18,4,1,-
地域別センターコア（％）,100.0,48.9,40.0,8.9,2.2,-
地域別区部東部・北部エリア実数,56,31,19,5,1,-
地域別区部東部・北部エリア（％）,100.0,55.4,33.9,8.9,1.8,-
地域別区部西部・南部エリア実数,72,24,36,8,3,1
地域別区部西部・南部エリア（％）,100.0,33.3,50.0,11.1,4.2,1.4
地域別市郡部（計）実数,86,47,32,5,1,1
地域別市郡部（計）（％）,100.0,54.7,37.2,5.8,1.2,1.2
地域別多摩東部エリア実数,30,16,11,3,-,-
地域別多摩東部エリア（％）,100.0,53.3,36.7,10.0,-,-
地域別多摩中央部北エリア実数,14,9,5,-,-,-
地域別多摩中央部北エリア（％）,100.0,64.3,35.7,-,-,-
地域別多摩中央部南エリア実数,38,21,13,2,1,1
地域別多摩中央部南エリア（％）,100.0,55.3,34.2,5.3,2.6,2.6
地域別多摩西部エリア実数,4,1,3,-,-,-
地域別多摩西部エリア（％）,100.0,25.0,75.0,-,-,-
選挙への関心度別関心があった（計）実数,200,105,78,12,4,1
選挙への関心度別関心があった（計）（％）,100.0,52.5,39.0,6.0,2.0,0.5
選挙への関心度別関心があった実数,135,82,44,6,2,1
選挙への関心度別関心があった（％）,100.0,60.7,32.6,4.4,1.5,0.7
選挙への関心度別やや関心があった実数,65,23,34,6,2,-
