,参議院議員選挙／調査数,参議院議員選挙／候補者・政党等のホームページ・ブログ,参議院議員選挙／候補者等のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,参議院議員選挙／候補者等からのメール,参議院議員選挙／Youtubeなど動画共有サイトでの候補者演説等選挙関連の動画,参議院議員選挙／候補者・政党以外のホームページ・ブログ,参議院議員選挙／候補者・政党以外のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,参議院議員選挙／ニュースサイトや選挙情報サイト,参議院議員選挙／まとめサイトや電子掲示板などその他のサイト,参議院議員選挙／その他,参議院議員選挙／わからない、忘れた,東京都知事選挙／調査数,東京都知事選挙／候補者・政党等のホームページ・ブログ,東京都知事選挙／候補者等のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,東京都知事選挙／候補者等からのメール,東京都知事選挙／Youtubeなど動画共有サイトでの候補者演説等選挙関連の動画,東京都知事選挙／候補者・政党以外のホームページ・ブログ,東京都知事選挙／候補者・政党以外のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,東京都知事選挙／ニュースサイトや選挙情報サイト,東京都知事選挙／まとめサイトや電子掲示板などその他のサイト,東京都知事選挙／その他,東京都知事選挙／わからない、忘れた
全体,213,69,38,4,32,17,17,154,43,-,10,238,70,44,2,38,17,18,170,52,-,10
全体,100.0,32.4,17.8,1.9,15.0,8.0,8.0,72.3,20.2,-,4.7,100.0,29.4,18.5,0.8,16.0,7.1,7.6,71.4,21.8,-,4.2
性別男性,134,50,24,3,23,12,8,101,25,-,5,149,50,28,1,25,11,9,111,31,-,4
性別男性,100.0,37.3,17.9,2.2,17.2,9.0,6.0,75.4,18.7,-,3.7,100.0,33.6,18.8,0.7,16.8,7.4,6.0,74.5,20.8,-,2.7
性別女性,79,19,14,1,9,5,9,53,18,-,5,89,20,16,1,13,6,9,59,21,-,6
性別女性,100.0,24.1,17.7,1.3,11.4,6.3,11.4,67.1,22.8,-,6.3,100.0,22.5,18.0,1.1,14.6,6.7,10.1,66.3,23.6,-,6.7
年齢別18歳,3,-,-,-,-,-,-,3,1,-,-,3,-,-,-,-,-,-,2,1,-,1
年齢別18歳,100.0,-,-,-,-,-,-,100.0,33.3,-,-,100.0,-,-,-,-,-,-,66.7,33.3,-,33.3
年齢別19歳,2,-,-,-,-,-,-,1,2,-,-,2,-,-,-,-,-,-,1,2,-,-
年齢別19歳,100.0,-,-,-,-,-,-,50.0,100.0,-,-,100.0,-,-,-,-,-,-,50.0,100.0,-,-
年齢別20歳代,24,7,5,1,3,2,4,14,8,-,1,29,6,6,1,4,2,4,16,12,-,1
年齢別20歳代,100.0,29.2,20.8,4.2,12.5,8.3,16.7,58.3,33.3,-,4.2,100.0,20.7,20.7,3.4,13.8,6.9,13.8,55.2,41.4,-,3.4
年齢別30歳代,41,16,7,1,10,5,4,29,10,-,3,53,16,10,-,13,5,6,39,14,-,2
年齢別30歳代,100.0,39.0,17.1,2.4,24.4,12.2,9.8,70.7,24.4,-,7.3,100.0,30.2,18.9,-,24.5,9.4,11.3,73.6,26.4,-,3.8
年齢別40歳代,71,27,14,-,11,6,4,56,13,-,4,77,27,15,-,12,7,4,62,14,-,3
年齢別40歳代,100.0,38.0,19.7,-,15.5,8.5,5.6,78.9,18.3,-,5.6,100.0,35.1,19.5,-,15.6,9.1,5.2,80.5,18.2,-,3.9
年齢別50歳代,44,11,8,1,5,3,2,34,7,-,1,46,13,8,-,6,2,2,33,7,-,2
年齢別50歳代,100.0,25.0,18.2,2.3,11.4,6.8,4.5,77.3,15.9,-,2.3,100.0,28.3,17.4,-,13.0,4.3,4.3,71.7,15.2,-,4.3
年齢別60歳代,20,6,3,-,1,1,2,13,1,-,-,19,6,3,-,1,1,1,13,1,-,-
年齢別60歳代,100.0,30.0,15.0,-,5.0,5.0,10.0,65.0,5.0,-,-,100.0,31.6,15.8,-,5.3,5.3,5.3,68.4,5.3,-,-
年齢別70歳代,8,2,1,1,2,-,1,4,1,-,1,9,2,2,1,2,-,1,4,1,-,1
年齢別70歳代,100.0,25.0,12.5,12.5,25.0,-,12.5,50.0,12.5,-,12.5,100.0,22.2,22.2,11.1,22.2,-,11.1,44.4,11.1,-,11.1
年齢別80歳以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
年齢別80歳以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性18歳,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性18歳,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性19歳,2,-,-,-,-,-,-,1,2,-,-,2,-,-,-,-,-,-,1,2,-,-
性/年齢別男性19歳,100.0,-,-,-,-,-,-,50.0,100.0,-,-,100.0,-,-,-,-,-,-,50.0,100.0,-,-
性/年齢別男性20歳代,10,2,2,-,3,-,2,5,4,-,-,16,2,3,-,3,-,2,9,8,-,-
性/年齢別男性20歳代,100.0,20.0,20.0,-,30.0,-,20.0,50.0,40.0,-,-,100.0,12.5,18.8,-,18.8,-,12.5,56.3,50,-,-
性/年齢別男性30歳代,27,12,4,1,7,4,2,24,7,-,-,32,11,5,-,8,4,4,27,9,-,-
性/年齢別男性30歳代,100.0,44.4,14.8,3.7,25.9,14.8,7.4,88.9,25.9,-,-,100.0,34.4,15.6,-,25.0,12.5,12.5,84.4,28.1,-,-
性/年齢別男性40歳代,42,20,8,-,7,4,2,34,6,-,3,46,20,9,-,7,4,2,38,6,-,2
性/年齢別男性40歳代,100.0,47.6,19.0,-,16.7,9.5,4.8,81.0,14.3,-,7.1,100.0,43.5,19.6,-,15.2,8.7,4.3,82.6,13,-,4.3
性/年齢別男性50歳代,33,10,6,1,5,3,1,24,5,-,1,33,11,6,-,6,2,1,23,5,-,1
性/年齢別男性50歳代,100.0,30.3,18.2,3.0,15.2,9.1,3.0,72.7,15.2,-,3.0,100.0,33.3,18.2,-,18.2,6.1,3.0,69.7,15.2,-,3.0
性/年齢別男性60歳代,16,5,3,-,1,1,1,11,1,-,-,15,5,3,-,1,1,-,11,1,-,-
性/年齢別男性60歳代,100.0,31.3,18.8,-,6.3,6.3,6.3,68.8,6.3,-,-,100.0,33.3,20.0,-,6.7,6.7,-,73.3,6.7,-,-
性/年齢別男性70歳代,4,1,1,1,-,-,-,2,-,-,1,5,1,2,1,-,-,-,2,-,-,1
性/年齢別男性70歳代,100.0,25.0,25.0,25.0,-,-,-,50.0,-,-,25.0,100.0,20.0,40.0,20.0,-,-,-,40.0,-,-,20.0
性/年齢別男性80歳以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別男性80歳以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別女性18歳,3,-,-,-,-,-,-,3,1,-,-,3,-,-,-,-,-,-,2,1,-,1
性/年齢別女性18歳,100.0,-,-,-,-,-,-,100.0,33.3,-,-,100.0,-,-,-,-,-,-,66.7,33.3,-,33.3
性/年齢別女性19歳,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別女性19歳,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
性/年齢別女性20歳代,14,5,3,1,-,2,2,9,4,-,1,13,4,3,1,1,2,2,7,4,-,1
性/年齢別女性20歳代,100.0,35.7,21.4,7.1,-,14.3,14.3,64.3,28.6,-,7.1,100.0,30.8,23.1,7.7,7.7,15.4,15.4,53.8,30.8,-,7.7
性/年齢別女性30歳代,14,4,3,-,3,1,2,5,3,-,3,21,5,5,-,5,1,2,12,5,-,2
性/年齢別女性30歳代,100.0,28.6,21.4,-,21.4,7.1,14.3,35.7,21.4,-,21.4,100.0,23.8,23.8,-,23.8,4.8,9.5,57.1,23.8,-,9.5
性/年齢別女性40歳代,29,7,6,-,4,2,2,22,7,-,1,31,7,6,-,5,3,2,24,8,-,1
性/年齢別女性40歳代,100.0,24.1,20.7,-,13.8,6.9,6.9,75.9,24.1,-,3.4,100.0,22.6,19.4,-,16.1,9.7,6.5,77.4,25.8,-,3.2
性/年齢別女性50歳代,11,1,2,-,-,-,1,10,2,-,-,13,2,2,-,-,-,1,10,2,-,1
性/年齢別女性50歳代,100.0,9.1,18.2,-,-,-,9.1,90.9,18.2,-,-,100.0,15.4,15.4,-,-,-,7.7,76.9,15.4,-,7.7
性/年齢別女性60歳代,4,1,-,-,-,-,1,2,-,-,-,4,1,-,-,-,-,1,2,-,-,-
