,ｎ,関心があった（％）,やや関心があった（％）,どちらともいえない（％）,あまり関心がなかった（％）,関心がなかった（％）,わからない（％）,無回答（％）,関心があった（計）（％）,関心がなかった（計）（％）
全体,1827,35.1,24.2,9.8,20.2,10.1,0.4,0.2,59.3,30.3
性別男性,882,40.6,22.0,8.3,18.0,10.7,0.5,0.0,62.6,28.7
性別女性,945,30.1,26.2,11.2,22.2,9.6,0.3,0.3,56.3,31.9
年齢別20歳代,174,24.7,20.7,8.6,29.3,16.1,0.6,0.0,45.4,45.4
年齢別30歳代,261,19.9,29.9,13.0,22.6,13.8,0.4,0.4,49.8,36.4
年齢別40歳代,365,29.0,25.5,14.8,19.7,10.7,0.3,0.0,54.5,30.4
年齢別50歳代,294,34.4,23.8,9.2,23.1,9.5,0.0,0.0,58.2,32.7
年齢別60歳代,313,42.2,24.3,6.7,18.5,7.3,1.0,0.0,66.5,25.9
年齢別70歳代,296,50.5,23.0,8.1,12.2,6.4,0.3,0.0,73.0,18.6
年齢別80歳以上,124,48.4,16.9,3.2,20.2,9.7,0.8,0.8,65.3,29.8
未・既婚別未婚,453,26.9,24.1,9.5,24.1,15.2,0.2,0.0,51.0,39.3
未・既婚別既婚,1366,37.8,24.3,9.8,19.0,8.4,0.4,0.2,62.2,27.4
