,調査数,旅行に出かけていたから,投票日を忘れていたから、知らなかったから,投票所へ行くのが面倒だったから,投票所が遠かった（不便だった、わからなかった）から,適当な候補者がいなかったから,候補者の人柄や政策がわからなかったから,政治や選挙には関心がないから,仕事が忙しく、時間がなかったから,病気（看病を含む）又は体調が悪かったから,選挙によって政治や暮らしが良くなるわけではないから,自分一人が投票しなくても選挙の結果に影響がないから,その他(雪の影響）,わからない、忘れた,その他（雪の影響以外）,無回答
全体,963,32,34,84,15,94,30,121,305,158,72,77,401,8,43,6
全体,100.0,3.3,3.5,8.7,1.6,9.8,3.1,12.6,31.7,16.4,7.5,8.0,41.6,0.8,4.5,0.6
性別男性,436,10,14,46,8,54,16,59,146,48,35,31,165,3,19,2
性別男性,100.0,2.3,3.2,10.6,1.8,12.4,3.7,13.5,33.5,11.0,8.0,7.1,37.8,0.7,4.4,0.5
性別女性,527,22,20,38,7,40,14,62,159,110,37,46,236,5,24,4
性別女性,100.0,4.2,3.8,7.2,1.3,7.6,2.7,11.8,30.2,20.9,7.0,8.7,44.8,0.9,4.6,0.8
年齢20歳代,232,11,26,27,2,19,10,52,110,3,21,24,71,4,4,1
年齢20歳代,100.0,4.7,11.2,11.6,0.9,8.2,4.3,22.4,47.4,1.3,9.1,10.3,30.6,1.7,1.7,0.4
年齢30歳代,201,-,5,16,2,22,6,28,91,21,14,27,78,-,11,2
年齢30歳代,100.0,-,2.5,8.0,1.0,10.9,3.0,13.9,45.3,10.4,7.0,13.4,38.8,-,5.5,1.0
年齢40歳代,174,8,3,12,5,17,4,20,52,16,14,4,83,2,11,2
年齢40歳代,100.0,4.6,1.7,6.9,2.9,9.8,2.3,11.5,29.9,9.2,8.0,2.3,47.7,1.1,6.3,1.1
年齢50歳代,108,5,-,6,3,13,4,4,30,20,7,10,41,1,7,-
年齢50歳代,100.0,4.6,-,5.6,2.8,12.0,3.7,3.7,27.8,18.5,6.5,9.3,38.0,0.9,6.5,-
年齢60歳代,106,3,-,14,1,12,3,8,15,25,7,6,53,-,4,1
年齢60歳代,100.0,2.8,-,13.2,0.9,11.3,2.8,7.5,14.2,23.6,6.6,5.7,50.0,-,3.8,0.9
年齢70歳代,76,3,-,5,2,6,1,6,2,37,5,5,40,1,3,-
年齢70歳代,100.0,3.9,-,6.6,2.6,7.9,1.3,7.9,2.6,48.7,6.6,6.6,52.6,1.3,3.9,-
年齢80歳以上,54,2,-,4,-,3,1,3,1,35,4,1,28,-,2,-
年齢80歳以上,100.0,3.7,-,7.4,-,5.6,1.9,5.6,1.9,64.8,7.4,1.9,51.9,-,3.7,-
性／年齢別男性20歳代,109,4,13,16,1,11,3,22,47,1,10,8,31,1,1,-
性／年齢別男性20歳代,100.0,3.7,11.9,14.7,0.9,10.1,2.8,20.2,43.1,0.9,9.2,7.3,28.4,0.9,0.9,-
性／年齢別男性30歳代,83,-,-,8,2,9,2,14,39,3,7,11,29,-,5,1
性／年齢別男性30歳代,100.0,-,-,9.6,2.4,10.8,2.4,16.9,47.0,3.6,8.4,13.3,34.9,-,6.0,1.2
性／年齢別男性40歳代,78,3,1,4,1,9,3,10,26,6,5,2,32,1,4,1
性／年齢別男性40歳代,100.0,3.8,1.3,5.1,1.3,11.5,3.8,12.8,33.3,7.7,6.4,2.6,41.0,1.3,5.1,1.3
性／年齢別男性50歳代,53,1,-,1,2,8,3,2,21,4,4,3,17,1,4,-
性／年齢別男性50歳代,100.0,1.9,-,1.9,3.8,15.1,5.7,3.8,39.6,7.5,7.5,5.7,32.1,1.9,7.5,-
性／年齢別男性60歳代,52,-,-,11,1,9,3,6,11,6,3,4,21,-,2,-
性／年齢別男性60歳代,100.0,-,-,21.2,1.9,17.3,5.8,11.5,21.2,11.5,5.8,7.7,40.4,-,3.8,-
性／年齢別男性70歳代,39,2,-,4,1,3,-,5,2,16,4,3,23,-,2,-
性／年齢別男性70歳代,100.0,5.1,-,10.3,2.6,7.7,-,12.8,5.1,41.0,10.3,7.7,59.0,-,5.1,-
性／年齢別男性80歳以上,19,-,-,2,-,3,1,-,-,12,2,-,10,-,1,-
性／年齢別男性80歳以上,100.0,-,-,10.5,-,15.8,5.3,-,-,63.2,10.5,-,52.6,-,5.3,-
性／年齢別女性20歳代,123,7,13,11,1,8,7,30,63,2,11,16,40,3,3,1
性／年齢別女性20歳代,100.0,5.7,10.6,8.9,0.8,6.5,5.7,24.4,51.2,1.6,8.9,13.0,32.5,2.4,2.4,0.8
