,ｎ,目にした（％）,目にしなかった（％）,わからない、忘れた（％）,
全体,1823,67.6,22.3,10.1,
性別男性,852,67.7,22.8,9.5,
性別女性,971,67.5,21.9,10.6,
年齢別18歳,7,42.9,42.9,14.3,
年齢別19歳,20,30.0,50.0,20.0,
年齢別20歳代,164,37.2,49.4,13.4,
年齢別30歳代,257,61.9,29.2,8.9,
年齢別40歳代,398,70.1,20.6,9.3,
年齢別50歳代,311,74.9,18.3,6.8,
年齢別60歳代,337,75.4,16.6,8.0,
年齢別70歳代,231,77.1,10.8,12.1,
年齢別80歳以上,98,60.2,18.4,21.4,
職業別自営業,133,73.7,21.1,5.3,
職業別勤め人,821,63.7,27.4,8.9,
職業別学生,47,36.2,48.9,14.9,
職業別専業主婦(夫),395,74.9,16.2,8.9,
職業別その他,25,68.0,28.0,4.0,
職業別無職(年金受給者含む),402,69.9,14.9,15.2,
