,役立った媒体（％）,備考
今回選挙テレビ・ラジオの選挙報道,48.6,
平成24年衆議院議員選挙テレビ・ラジオの選挙報道,60.8,
今回選挙新聞・雑誌などの選挙報道,37.6,
平成24年衆議院議員選挙新聞・雑誌などの選挙報道,39.9,
今回選挙選挙公報,33.1,
平成24年衆議院議員選挙選挙公報,33.2,
今回選挙候補者等のポスター,19.4,
平成24年衆議院議員選挙候補者等のポスター,23.4,
今回選挙テレビ・ラジオの政見放送・経歴放送,15.7,
平成24年衆議院議員選挙テレビ・ラジオの政見放送・経歴放送,-,※1
今回選挙候補者等の街頭演説,11.1,
平成24年衆議院議員選挙候補者等の街頭演説,8.8,
今回選挙家族、友人、知人からの勧め,8.7,
平成24年衆議院議員選挙家族、友人、知人からの勧め,8.1,
今回選挙候補者等の新聞広告,8.3,
平成24年衆議院議員選挙候補者等の新聞広告,10.0,
今回選挙各政党の政策等を記載した選挙運動用パンフレット（マニフェスト）,8.0,
平成24年衆議院議員選挙各政党の政策等を記載した選挙運動用パンフレット（マニフェスト）,9.6,
今回選挙政党・候補者の後援会などからの推薦,6.3,
平成24年衆議院議員選挙政党・候補者の後援会などからの推薦,4.6,
今回選挙候補者のホームページ、ツイッター等のネット上の情報,5.9,
平成24年衆議院議員選挙候補者のホームページ、ツイッター等のネット上の情報,2.9,※2
今回選挙候補者以外のホームページ、ツイッター等のネット上の情報,5.5,
平成24年衆議院議員選挙候補者以外のホームページ、ツイッター等のネット上の情報,7.4,※3
今回選挙候補者のはがき・候補者等のビラ,4.7,
平成24年衆議院議員選挙候補者のはがき・候補者等のビラ,-,※4
今回選挙候補者の個人演説会,3.5,
平成24年衆議院議員選挙候補者の個人演説会,4.3,
今回選挙候補者等の選挙運動用自動車からの連呼,2.8,
平成24年衆議院議員選挙候補者等の選挙運動用自動車からの連呼,5.2,
今回選挙各種団体からの推薦,1.6,
平成24年衆議院議員選挙各種団体からの推薦,2.5,
今回選挙その他,1.6,
平成24年衆議院議員選挙その他,0.9,
今回選挙どれにも接していない,1.1,
平成24年衆議院議員選挙どれにも接していない,0.5,
今回選挙役立ったものはない,7.4,
平成24年衆議院議員選挙役立ったものはない,4.8,
今回選挙わからない、忘れた,1.8,
平成24年衆議院議員選挙わからない、忘れた,0.1,
今回選挙無回答,1.0,
平成24年衆議院議員選挙無回答,0.4,
,,今回選挙（ｎ＝1246）
,,平成24年衆議院議員選挙（ｎ＝1427）
,,※1平成24年は「テレビの政見放送・経歴放送」23.4％、「ラジオの政見放送・経歴放送」3.0％
,,※2平成24年は「候補者のホームページ・ブログ」
,,※3平成24年は「インターネットの情報（上記以外）」
,,※4平成24年は「候補者等のビラ」4.6％、「候補者のはがき」3.2％
