,参議院議員選挙/調査数,参議院議員選挙/候補者・政党等のホームページ・ブログ,参議院議員選挙/候補者等のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,参議院議員選挙/候補者等からのメール,参議院議員選挙/Youtubeなど動画共有サイトでの候補者演説等選挙関連の動画,参議院議員選挙/候補者・政党以外のホームページ・ブログ,参議院議員選挙/候補者・政党以外のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,参議院議員選挙/ニュースサイトや選挙情報サイト,参議院議員選挙/まとめサイトや電子掲示板などその他のサイト,参議院議員選挙/その他,参議院議員選挙/触れていない、見ていない,参議院議員選挙/わからない、忘れた,東京都知事選挙/調査数,東京都知事選挙/候補者・政党等のホームページ・ブログ,東京都知事選挙/候補者等のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,東京都知事選挙/候補者等からのメール,東京都知事選挙/Youtubeなど動画共有サイトでの候補者演説等選挙関連の動画,東京都知事選挙/候補者・政党以外のホームページ・ブログ,東京都知事選挙/候補者・政党以外のツイッター・フェイスブック・ＬＩＮＥ等のＳＮＳ,東京都知事選挙/ニュースサイトや選挙情報サイト,東京都知事選挙/まとめサイトや電子掲示板などその他のサイト,東京都知事選挙/その他,東京都知事選挙/触れていない、見ていない,東京都知事選挙/わからない、忘れた
全体,1435,113,55,3,53,34,24,311,81,1,984,70,1491,107,62,2,58,35,35,335,93,1,1016,63
全体,100.0,7.9,3.8,0.2,3.7,2.4,1.7,21.7,5.6,0.1,68.6,4.9,100.0,7.2,4.2,0.1,3.9,2.3,2.3,22.5,6.2,0.1,68.1,4.2
性別男性,673,80,34,1,35,24,13,182,46,-,416,31,696,73,39,1,41,25,19,197,52,-,423,27
性別男性,100.0,11.9,5.1,0.1,5.2,3.6,1.9,27.0,6.8,-,61.8,4.6,100.0,10.5,5.6,0.1,5.9,3.6,2.7,28.3,7.5,-,60.8,3.9
性別女性,762,33,21,2,18,10,11,129,35,1,568,39,795,34,23,1,17,10,16,138,41,1,593,36
性別女性,100.0,4.3,2.8,0.3,2.4,1.3,1.4,16.9,4.6,0.1,74.5,5.1,100.0,4.3,2.9,0.1,2.1,1.3,2.0,17.4,5.2,0.1,74.6,4.5
年齢別18歳,6,-,-,-,-,-,-,3,1,-,3,-,6,-,-,-,-,-,-,3,1,-,3,-
年齢別18歳,100.0,-,-,-,-,-,-,50.0,16.7,-,50.0,-,100.0,-,-,-,-,-,-,50.0,16.7,-,50.0,-
年齢別19歳,10,-,-,-,1,-,-,1,2,-,7,-,11,-,-,-,1,-,-,1,2,-,8,-
年齢別19歳,100.0,-,-,-,10.0,-,-,10.0,20.0,-,70.0,-,100.0,-,-,-,9.1,-,-,9.1,18.2,-,72.7,-
年齢別20歳代,88,10,6,1,5,4,5,28,16,-,43,6,95,7,8,-,3,4,6,34,18,-,43,6
年齢別20歳代,100.0,11.4,6.8,1.1,5.7,4.5,5.7,31.8,18.2,-,48.9,6.8,100.0,7.4,8.4,-,3.2,4.2,6.3,35.8,18.9,-,45.3,6.3
年齢別30歳代,199,22,10,-,15,10,7,66,22,-,108,10,210,22,12,-,20,9,9,75,28,-,112,7
年齢別30歳代,100.0,11.1,5.0,-,7.5,5.0,3.5,33.2,11.1,-,54.3,5.0,100.0,10.5,5.7,-,9.5,4.3,4.3,35.7,13.3,-,53.3,3.3
年齢別40歳代,327,37,22,-,17,14,8,109,20,-,199,5,337,37,24,-,18,16,8,115,24,-,202,6
年齢別40歳代,100.0,11.3,6.7,-,5.2,4.3,2.4,33.3,6.1,-,60.9,1.5,100.0,11.0,7.1,-,5.3,4.7,2.4,34.1,7.1,-,59.9,1.8
年齢別50歳代,260,19,8,-,7,3,2,57,13,-,176,16,266,21,8,-,8,3,5,59,13,-,183,10
年齢別50歳代,100.0,7.3,3.1,-,2.7,1.2,0.8,21.9,5.0,-,67.7,6.2,100.0,7.9,3.0,-,3.0,1.1,1.9,22.2,4.9,-,68.8,3.8
年齢別60歳代,296,20,7,1,6,2,2,35,6,1,233,17,305,14,7,1,6,2,5,35,6,1,242,18
年齢別60歳代,100.0,6.8,2.4,0.3,2.0,0.7,0.7,11.8,2.0,0.3,78.7,5.7,100.0,4.6,2.3,0.3,2.0,0.7,1.6,11.5,2.0,0.3,79.3,5.9
年齢別70歳代,185,5,2,1,2,1,-,10,1,-,155,14,196,6,3,1,2,1,1,10,1,-,165,13
年齢別70歳代,100.0,2.7,1.1,0.5,1.1,0.5,-,5.4,0.5,-,83.8,7.6,100.0,3.1,1.5,0.5,1.0,0.5,0.5,5.1,0.5,-,84.2,6.6
年齢別80歳以上,64,-,-,-,-,-,-,2,-,-,60,2,65,-,-,-,-,-,1,3,-,-,58,3
年齢別80歳以上,100.0,-,-,-,-,-,-,3.1,-,-,93.8,3.1,100.0,-,-,-,-,-,1.5,4.6,-,-,89.2,4.6
性/年齢別男性18歳,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-
性/年齢別男性18歳,100.0,-,-,-,-,-,-,-,-,-,100.0,-,100.0,-,-,-,-,-,-,-,-,-,100.0,-
性/年齢別男性19歳,8,-,-,-,1,-,-,1,2,-,5,-,8,-,-,-,1,-,-,1,2,-,5,-
性/年齢別男性19歳,100.0,-,-,-,12.5,-,-,12.5,25.0,-,62.5,-,100.0,-,-,-,12.5,-,-,12.5,25.0,-,62.5,-
性/年齢別男性20歳代,37,4,2,-,3,1,3,13,9,-,17,2,42,2,3,-,3,1,3,17,12,-,17,2
性/年齢別男性20歳代,100.0,10.8,5.4,-,8.1,2.7,8.1,35.1,24.3,-,45.9,5.4,100.0,4.8,7.1,-,7.1,2.4,7.1,40.5,28.6,-,40.5,4.8
性/年齢別男性30歳代,93,15,5,-,9,7,5,42,15,-,37,4,100,14,7,-,13,7,7,47,17,-,39,3
性/年齢別男性30歳代,100.0,16.1,5.4,-,9.7,7.5,5.4,45.2,16.1,-,39.8,4.3,100.0,14.0,7.0,-,13.0,7.0,7.0,47.0,17.0,-,39.0,3.0
性/年齢別男性40歳代,141,24,14,-,12,12,3,58,12,-,73,3,146,23,15,-,13,13,2,65,13,-,71,3
性/年齢別男性40歳代,100.0,17.0,9.9,-,8.5,8.5,2.1,41.1,8.5,-,51.8,2.1,100.0,15.8,10.3,-,8.9,8.9,1.4,44.5,8.9,-,48.6,2.1
性/年齢別男性50歳代,128,17,7,-,6,3,1,37,4,-,75,8,130,18,7,-,7,3,2,38,4,-,77,6
性/年齢別男性50歳代,100.0,13.3,5.5,-,4.7,2.3,0.8,28.9,3.1,-,58.6,6.3,100.0,13.8,5.4,-,5.4,2.3,1.5,29.2,3.1,-,59.2,4.6
性/年齢別男性60歳代,142,17,4,-,4,1,1,23,4,-,103,8,142,12,4,-,4,1,3,23,4,-,104,8
性/年齢別男性60歳代,100.0,12.0,2.8,-,2.8,0.7,0.7,16.2,2.8,-,72.5,5.6,100.0,8.5,2.8,-,2.8,0.7,2.1,16.2,2.8,-,73.2,5.6
性/年齢別男性70歳代,92,3,2,1,-,-,-,6,-,-,76,6,95,4,3,1,-,-,1,4,-,-,80,5
性/年齢別男性70歳代,100.0,3.3,2.2,1.1,-,-,-,6.5,-,-,82.6,6.5,100.0,4.2,3.2,1.1,-,-,1.1,4.2,-,-,84.2,5.3
性/年齢別男性80歳以上,31,-,-,-,-,-,-,2,-,-,29,-,32,-,-,-,-,-,1,2,-,-,29,-
性/年齢別男性80歳以上,100.0,-,-,-,-,-,-,6.5,-,-,93.5,-,100.0,-,-,-,-,-,3.1,6.3,-,-,90.6,-
性/年齢別女性18歳,5,-,-,-,-,-,-,3,1,-,2,-,5,-,-,-,-,-,-,3,1,-,2,-
