質問,n,必ず投票するべき(%),可能な限り投票するべき(%),投票するのもしないのも自由(%),その他(%),わからない(%),無回答(%),投票するべき(計)(%)
全体,(2011),30.3,42.0,23.5,0.4,3.1,0.7,72.3
性別男性,(950),32.0,39.6,23.9,0.4,2.9,1.2,71.6
性別女性,(1061),28.7,44.2,23.2,0.4,3.2,0.3,73.0
年齢別20歳代,(295),5.8,40.7,45.4,1.0,6.1,1.0,46.4
年齢別30歳代,(355),17.2,48.2,30.1,0.3,3.7,0.6,65.4
年齢別40歳代,(398),28.6,43.5,25.1,0.3,2.3,0.3,72.1
年齢別50歳代,(293),39.2,41.6,16.0,0.7,2.0,0.3,80.9
年齢別60歳代,(327),45.0,39.8,13.5,0,1.2,0.6,84.7
年齢別70歳代,(232),51.3,33.6,10.3,0,3.0,1.7,84.9
年齢別80歳以上,(90),33.3,44.4,15.6,1.1,5.6,0,77.8
職業別自営業,(174),28.2,36.8,30.5,0.6,2.9,1.1,64.9
職業別勤め人,(981),24.3,45.4,25.8,0.5,3.5,0.6,69.6
職業別学生,(53),9.4,24.5,54.7,1.9,7.5,1.9,34.0
職業別専業主婦(夫),(391),39.9,44.2,15.1,0,0.8,0,84.1
職業別その他,(62),33.9,38.7,27.4,0,0,0,72.6
職業別無職,(335),40.6,36.7,16.7,0.3,4.5,1.2,77.3
