,参議院議員選挙/調査数,参議院議員選挙/関心があった（計）,参議院議員選挙/関心があった,参議院議員選挙/やや関心があった,参議院議員選挙/どちらともいえない,参議院議員選挙/関心がなかった（計）,参議院議員選挙/あまり関心がなかった,参議院議員選挙/関心がなかった,参議院議員選挙/わからない,東京都知事選挙/調査数,東京都知事選挙/関心があった（計）,東京都知事選挙/関心があった,東京都知事選挙/やや関心があった,東京都知事選挙/どちらともいえない,東京都知事選挙/関心がなかった（計）,東京都知事選挙/あまり関心がなかった,東京都知事選挙/関心がなかった,東京都知事選挙/わからない,,,,,,,
全体,1823,1283,633,650,298,227,125,102,15,1823,1424,769,655,209,175,89,86,15,,,,,,,
全体,100.0,70.4,34.7,35.7,16.3,12.5,6.9,5.6,0.8,100.0,78.1,42.2,35.9,11.5,9.6,4.9,4.7,0.8,,,,,,,
性別男性,852,644,360,284,103,98,49,49,7,852,683,419,264,86,76,36,40,7,,,,,,,
性別男性,100.0,75.6,42.3,33.3,12.1,11.5,5.8,5.8,0.8,100.0,80.2,49.2,31.0,10.1,8.9,4.2,4.7,0.8,,,,,,,
性別女性,971,639,273,366,195,129,76,53,8,971,741,350,391,123,99,53,46,8,,,,,,,
性別女性,100.0,65.8,28.1,37.7,20.1,13.3,7.8,5.5,0.8,100.0,76.3,36.0,40.3,12.7,10.2,5.5,4.7,0.8,,,,,,,
年齢別18歳,7,4,3,1,2,1,-,1,-,7,5,4,1,2,-,-,-,-,,,,,,,
年齢別18歳,100.0,57.1,42.9,14.3,28.6,14.3,-,14.3,-,100.0,71.4,57.1,14.3,28.6,-,-,-,-,,,,,,,
年齢別19歳,20,8,3,5,3,7,2,5,2,20,8,3,5,3,7,2,5,2,,,,,,,
年齢別19歳,100.0,40.0,15.0,25.0,15.0,35.0,10.0,25.0,10.0,100.0,40.0,15.0,25.0,15.0,35.0,10.0,25.0,10.0,,,,,,,
年齢別20歳代,164,61,30,31,36,66,34,32,1,164,72,36,36,32,59,30,29,1,,,,,,,
年齢別20歳代,100.0,37.2,18.3,18.9,22.0,40.2,20.7,19.5,0.6,100.0,43.9,22.0,22.0,19.5,36.0,18.3,17.7,0.6,,,,,,,
年齢別30歳代,257,170,60,110,60,27,17,10,-,257,190,80,110,46,21,12,9,-,,,,,,,
年齢別30歳代,100.0,66.1,23.3,42.8,23.3,10.5,6.6,3.9,-,100.0,73.9,31.1,42.8,17.9,8.2,4.7,3.5,-,,,,,,,
年齢別40歳代,398,277,98,179,76,45,26,19,-,398,328,127,201,41,29,15,14,-,,,,,,,
年齢別40歳代,100.0,69.6,24.6,45.0,19.1,11.3,6.5,4.8,-,100.0,82.4,31.9,50.5,10.3,7.3,3.8,3.5,-,,,,,,,
年齢別50歳代,311,243,116,127,45,22,13,9,1,311,262,142,120,32,16,9,7,1,,,,,,,
年齢別50歳代,100.0,78.1,37.3,40.8,14.5,7.1,4.2,2.9,0.3,100.0,84.2,45.7,38.6,10.3,5.1,2.9,2.3,0.3,,,,,,,
年齢別60歳代,337,274,156,118,37,26,14,12,-,337,295,191,104,23,19,7,12,-,,,,,,,
年齢別60歳代,100.0,81.3,46.3,35.0,11.0,7.7,4.2,3.6,-,100.0,87.5,56.7,30.9,6.8,5.6,2.1,3.6,-,,,,,,,
年齢別70歳代,231,176,118,58,29,24,15,9,2,231,192,134,58,20,17,11,6,2,,,,,,,
年齢別70歳代,100.0,76.2,51.1,25.1,12.6,10.4,6.5,3.9,0.9,100.0,83.1,58.0,25.1,8.7,7.4,4.8,2.6,0.9,,,,,,,
年齢別80歳以上,98,70,49,21,10,9,4,5,9,98,72,52,20,10,7,3,4,9,,,,,,,
年齢別80歳以上,100.0,71.4,50.0,21.4,10.2,9.2,4.1,5.1,9.2,100.0,73.5,53.1,20.4,10.2,7.1,3.1,4.1,9.2,,,,,,,
性/年齢別男性18歳,1,1,1,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,,,,,,,
性/年齢別男性18歳,100.0,100.0,100.0,-,-,-,-,-,-,100.0,100.0,100.0,-,-,-,-,-,-,,,,,,,
性/年齢別男性19歳,12,7,3,4,2,3,1,2,-,12,7,3,4,2,3,1,2,-,,,,,,,
性/年齢別男性19歳,100.0,58.3,25.0,33.3,16.7,25.0,8.3,16.7,-,100.0,58.3,25.0,33.3,16.7,25.0,8.3,16.7,-,,,,,,,
性/年齢別男性20歳代,83,28,13,15,21,33,14,19,1,83,34,16,18,18,30,14,16,1,,,,,,,
