,割合（％）,備考
今回選挙国政をよくするためには、投票することが大切だと思ったから,51.3,
平成24年衆議院議員選挙国政をよくするためには、投票することが大切だと思ったから,50.9,
今回選挙投票することは、義務であるから,48.6,
平成24年衆議院議員選挙投票することは、義務であるから,39.8,
今回選挙投票することは、権利であるから,39.2,
平成24年衆議院議員選挙投票することは、権利であるから,28.9,
今回選挙自分の支持する政党の推す候補者を当選させたかったから,26.5,
平成24年衆議院議員選挙自分の支持する政党の推す候補者を当選させたかったから,29.1,
今回選挙今の政治がよくないので、変えたいと思ったから,17.1,
平成24年衆議院議員選挙今の政治がよくないので、変えたいと思ったから,26.9,
今回選挙当選させたい候補者がいたから,16.9,
平成24年衆議院議員選挙当選させたい候補者がいたから,18.4,
今回選挙当選させたくない候補者がいたから,4.6,
平成24年衆議院議員選挙当選させたくない候補者がいたから,3.4,
今回選挙テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから,4.3,※1
平成24年衆議院議員選挙テレビ・ラジオ・新聞などメディアの報道を見て興味を持ったから,-,
今回選挙投票率が気になったから,4.1,
平成24年衆議院議員選挙投票率が気になったから,-,※2
今回選挙友人や家族が行くから、なんとなく,3.9,
平成24年衆議院議員選挙友人や家族が行くから、なんとなく,3.0,
今回選挙自分の関係する団体、組織、知り合いの人に投票を頼まれたから,3.0,
平成24年衆議院議員選挙自分の関係する団体、組織、知り合いの人に投票を頼まれたから,2.2,
今回選挙インターネット上の情報を見て興味を持ったから,1.1,※1
平成24年衆議院議員選挙インターネット上の情報を見て興味を持ったから,-,
今回選挙その他,0.9,
平成24年衆議院議員選挙その他,0.8,
今回選挙わからない,0.3,
平成24年衆議院議員選挙わからない,0.1,
今回選挙無回答,0.1,
平成24年衆議院議員選挙無回答,0.1,
,,今回選挙（ｎ＝1246）
,,平成24年衆議院議員選挙（ｎ＝1427）
,,※1今回調査で追加
,,※2平成24年は「マスコミや市民活動で、投票率の向上が話題になっていたから」（1.2％）
