,ｎ,必ず投票するべき（％）,可能な限り投票するべき（％）,投票するのもしないのも自由（％）,その他（％）,わからない（％）,無回答（％）,投票するべき（計）
全体,1827,38.5,42.7,17.2,0.6,0.8,0.1,81.2
性別男性,882,41.4,40.1,16.9,0.7,0.9,0.0,81.5
性別女性,945,35.8,45.2,17.6,0.5,0.7,0.2,81.0
年齢別20歳代,174,25.3,43.7,29.9,0.0,1.1,0.0,69.0
年齢別30歳代,261,28.4,44.1,26.1,0.4,1.1,0.0,72.4
年齢別40歳代,365,35.9,46.8,16.4,0.3,0.3,0.3,82.7
年齢別50歳代,294,35.0,44.2,18.4,1.4,1.0,0.0,79.3
年齢別60歳代,313,43.8,41.9,13.1,0.6,0.6,0.0,85.6
年齢別70歳代,296,53.7,35.1,9.8,0.3,1.0,0.0,88.9
年齢別80歳以上,124,44.4,43.5,8.9,1.6,0.8,0.8,87.9
職業別自営業,152,41.4,40.1,15.8,0.7,2.0,0.0,81.6
職業別勤め人,934,34.4,44.9,19.6,0.6,0.5,0.0,79.2
職業別学生,35,34.3,54.7,20.0,0.0,0.0,0.0,80.0
職業別専業主婦(夫),309,40.5,43.4,14.9,0.3,0.6,0.3,83.8
職業別その他,18,50.0,27.8,22.2,0.0,0.0,0.0,77.8
職業別無職(年金受給者含む),370,45.9,38.1,13.5,0.8,1.4,0.3,84.1
