,調査数,定期購読している,定期購読していない,無回答
全体,2011,1206,796,9
全体,100.0,60.0,39.6,0.4
性別男性,950,574,371,5
性別男性,100.0,60.4,39.1,0.5
性別女性,1061,632,425,4
性別女性,100.0,59.6,40.1,0.4
年齢20歳代,295,93,201,1
年齢20歳代,100.0,31.5,68.1,0.3
年齢30歳代,355,144,211,-
年齢30歳代,100.0,40.6,59.4,-
年齢40歳代,398,230,165,3
年齢40歳代,100.0,57.8,41.5,0.8
年齢50歳代,293,217,76,-
年齢50歳代,100.0,74.1,25.9,-
年齢60歳代,327,258,67,2
年齢60歳代,100.0,78.9,20.5,0.6
年齢70歳代,232,182,48,2
年齢70歳代,100.0,78.4,20.7,0.9
年齢80歳以上,90,68,21,1
年齢80歳以上,100.0,75.6,23.3,1.1
性／年齢別男性20歳代,143,46,97,-
性／年齢別男性20歳代,100.0,32.2,67.8,-
性／年齢別男性30歳代,153,64,89,-
性／年齢別男性30歳代,100.0,41.8,58.2,-
性／年齢別男性40歳代,176,96,78,2
性／年齢別男性40歳代,100.0,54.5,44.3,1.1
性／年齢別男性50歳代,148,106,42,-
性／年齢別男性50歳代,100.0,71.6,28.4,-
性／年齢別男性60歳代,169,132,36,1
性／年齢別男性60歳代,100.0,78.1,21.3,0.6
性／年齢別男性70歳代,118,94,22,2
性／年齢別男性70歳代,100.0,79.7,18.6,1.7
性／年齢別男性80歳以上,39,34,5,-
性／年齢別男性80歳以上,100.0,87.2,12.8,-
性／年齢別女性20歳代,152,47,104,1
性／年齢別女性20歳代,100.0,30.9,68.4,0.7
性／年齢別女性30歳代,202,80,122,-
性／年齢別女性30歳代,100.0,39.6,60.4,-
性／年齢別女性40歳代,222,134,87,1
性／年齢別女性40歳代,100.0,60.4,39.2,0.5
性／年齢別女性50歳代,145,111,34,-
性／年齢別女性50歳代,100.0,76.6,23.4,-
性／年齢別女性60歳代,158,126,31,1
性／年齢別女性60歳代,100.0,79.7,19.6,0.6
性／年齢別女性70歳代,114,88,26,-
性／年齢別女性70歳代,100.0,77.2,22.8,-
性／年齢別女性80歳以上,51,34,16,1
性／年齢別女性80歳以上,100.0,66.7,31.4,2.0
未・既婚別未婚（死別・離別を含む）,801,341,455,5
未・既婚別未婚（死別・離別を含む）,100.0,42.6,56.8,0.6
未・既婚別既婚,1188,852,333,3
未・既婚別既婚,100.0,71.7,28.0,0.3
子供の有無別子供はいない,779,311,465,3
子供の有無別子供はいない,100.0,39.9,59.7,0.4
子供の有無別未就学（～６歳）,155,77,78,-
子供の有無別未就学（～６歳）,100.0,49.7,50.3,-
子供の有無別小・中・高校生,320,214,105,1
子供の有無別小・中・高校生,100.0,66.9,32.8,0.3
子供の有無別大学生・大学院生・短大生・専門学校生,92,66,25,1
子供の有無別大学生・大学院生・短大生・専門学校生,100.0,71.7,27.2,1.1
