,今回選挙（n=1823）（％）,平成25年参議院議員選挙（n=1089）(%),備考,,,,,,,,,
テレビ・ラジオの選挙報道,87.3,72.8,,,,,,,,,,
新聞・雑誌などの選挙報道,53.1,50.8,,,,,,,,,,
候補者等のポスター,47.8,28.3,,,,,,,,,,
選挙公報,39.6,33.1,,,,,,,,,,
テレビ・ラジオの政見放送・経歴放送,25.9,15.0,,,,,,,,,,
投票所入場（整理）券,21.9,7.6,,,,,,,,,,
候補者等の新聞広告,19.5,8.5,,,,,,,,,,
候補者等の選挙運動用自動車からの連呼※2,13.5,-,,,,,,,,,,
候補者等の街頭演説※2,11.7,-,,,,,,,,,,
候補者等のはがき・ビラ,9.3,5.9,,,,,,,,,,
各政党の政策等を記載した選挙運動用パンフレット（マニフェスト）※1,5.9,-,,,,,,,,,,
家族、友人、知人からの勧め,5.9,3.9,,,,,,,,,,
候補者等のホームページやＳＮＳ（ツイッターやフェイスブック等）、動画,4.3,4.6,,,,,,,,,,
政党、候補者の後援会などからの推薦,2.4,2.0,,,,,,,,,,
候補者の個人演説会,1.3,2.7,,,,,,,,,,
候補者等の街頭演説・候補者等の選挙運動用自動車からの連呼※2,-,20.0,,,,,,,,,,
区市町村の広報車※3,-,9.6,,,,,,,,,,
庁舎や公園などの懸垂幕・横断幕・のぼり旗※3,-,7.5,,,,,,,,,,
選挙広報用のポスター※3,-,6.1,,,,,,,,,,
国、都及び区市町村の広報紙※3,-,6.0,,,,,,,,,,
電話による投票依頼※3,-,3.1,,,,,,,,,,
都及び区市町村のホームページ・フェイスブック・ツイッター・インターネット広告（Ｙａｈｏｏ！）※3,-,3.0,,,,,,,,,,
ラジオ・街頭・コンビニレジ・駅構内ビジョンによるＣＭ放映※3,-,2.6,,,,,,,,,,
選挙管理委員会の街頭キャンペーン※3,-,1.8,,,,,,,,,,
スーパーなどの店内放送・防災無線による放送※3,-,0.9,,,,,,,,,,
その他,0.2,0.3,,,,,,,,,,
どれにも接していない,3.8,4.7,,,,,,,,,,
わからない、忘れた,3.1,8.5,,,,,,,,,,
無回答,-,2.5,,,,,,,,,,
,,,※1今回調査で追加,,,,,,,,,
,,,※2平成25年は「候補者等の街頭演説・候補者等の選挙運動用自動車からの連呼」、今回調査は「候補者等の選挙運動用自動車からの連呼」と「候補者等の街頭演説」,,,,,,,,,
,,,※3平成25年調査のみ,,,,,,,,,
