,調査数,各戸配布（新聞折込以外）,新聞折込で配布,区市町村からの郵送,公共施設等に置いてあった,都及び区市町村・総務省のホームページ,わからない、忘れた,無回答
全体実数,993,475,494,53,99,16,32,14
全体（％）,100.0,47.8,49.7,5.3,10.0,1.6,3.2,1.4
性別男性実数,464,213,224,25,52,8,19,5
性別男性（％）,100.0,45.9,48.3,5.4,11.2,1.7,4.1,1.1
性別女性実数,529,262,270,28,47,8,13,9
性別女性（％）,100.0,49.5,51.0,5.3,8.9,1.5,2.5,1.7
年齢別20歳代実数,57,29,14,5,9,1,5,1
年齢別20歳代（％）,100.0,50.9,24.6,8.8,15.8,1.8,8.8,1.8
年齢別30歳代実数,103,63,28,4,10,3,3,2
年齢別30歳代（％）,100.0,61.2,27.2,3.9,9.7,2.9,2.9,1.9
年齢別40歳代実数,170,82,68,7,18,3,11,2
年齢別40歳代（％）,100.0,48.2,40.0,4.1,10.6,1.8,6.5,1.2
年齢別50歳代実数,165,72,88,6,19,3,6,-
年齢別50歳代（％）,100.0,43.6,53.3,3.6,11.5,1.8,3.6,-
年齢別60歳代実数,210,98,134,14,22,3,1,4
年齢別60歳代（％）,100.0,46.7,63.8,6.7,10.5,1.4,0.5,1.9
年齢別70歳代実数,206,95,118,10,11,2,5,3
年齢別70歳代（％）,100.0,46.1,57.3,4.9,5.3,1.0,2.4,1.5
年齢別80歳以上実数,82,36,44,7,10,1,1,2
年齢別80歳以上（％）,100.0,43.9,53.7,8.5,12.2,1.2,1.2,2.4
性/年齢別男性20歳代実数,36,17,10,4,7,-,2,1
性/年齢別男性20歳代（％）,100.0,47.2,27.8,11.1,19.4,-,5.6,2.8
性/年齢別男性30歳代実数,42,27,11,-,4,2,2,1
性/年齢別男性30歳代（％）,100.0,64.3,26.2,-,9.5,4.8,4.8,2.4
性/年齢別男性40歳代実数,74,33,28,4,8,1,6,2
性/年齢別男性40歳代（％）,100.0,44.6,37.8,5.4,10.8,1.4,8.1,2.7
性/年齢別男性50歳代実数,80,33,37,3,11,1,4,-
性/年齢別男性50歳代（％）,100.0,41.3,46.3,3.8,13.8,1.3,5.0,-
性/年齢別男性60歳代実数,97,42,65,4,11,2,1,1
性/年齢別男性60歳代（％）,100.0,43.3,67.0,4.1,11.3,2.1,1.0,1.0
性/年齢別男性70歳代実数,99,47,56,6,5,1,3,-
性/年齢別男性70歳代（％）,100.0,47.5,56.6,6.1,5.1,1.0,3.0,-
性/年齢別男性80歳以上実数,36,14,17,4,6,1,1,-
性/年齢別男性80歳以上（％）,100.0,38.9,47.2,11.1,16.7,2.8,2.8,-
性/年齢別女性20歳代実数,21,12,4,1,2,1,3,-
性/年齢別女性20歳代（％）,100.0,57.1,19.0,4.8,9.5,4.8,14.3,-
性/年齢別女性30歳代実数,61,36,17,4,6,1,1,1
性/年齢別女性30歳代（％）,100.0,59.0,27.9,6.6,9.8,1.6,1.6,1.6
性/年齢別女性40歳代実数,96,49,40,3,10,2,5,-
性/年齢別女性40歳代（％）,100.0,51.0,41.7,3.1,10.4,2.1,5.2,-
性/年齢別女性50歳代実数,85,39,51,3,8,2,2,-
性/年齢別女性50歳代（％）,100.0,45.9,60.0,3.5,9.4,2.4,2.4,-
性/年齢別女性60歳代実数,113,56,69,10,11,1,-,3
性/年齢別女性60歳代（％）,100.0,49.6,61.1,8.8,9.7,0.9,-,2.7
性/年齢別女性70歳代実数,107,48,62,4,6,1,2,3
性/年齢別女性70歳代（％）,100.0,44.9,57.9,3.7,5.6,0.9,1.9,2.8
性/年齢別女性80歳以上実数,46,22,27,3,4,-,-,2
性/年齢別女性80歳以上（％）,100.0,47.8,58.7,6.5,8.7,-,-,4.3
未・既婚別未婚実数,186,94,63,9,23,5,8,3
未・既婚別未婚（％）,100.0,50.5,33.9,4.8,12.4,2.7,4.3,1.6
未・既婚別既婚（死別・離別を含む）実数,804,378,430,44,76,11,24,11
未・既婚別既婚（死別・離別を含む）（％）,100.0,47.0,53.5,5.5,9.5,1.4,3.0,1.4
