,参議院議員選挙／調査数,参議院議員選挙／知っている（計）,参議院議員選挙／利用した,参議院議員選挙／知っているが利用していない,参議院議員選挙／知らない,参議院議員選挙／わからない,東京都知事選挙／調査数,東京都知事選挙／知っている（計）,東京都知事選挙／利用した,東京都知事選挙／知っているが利用していない,東京都知事選挙／知らない,東京都知事選挙／わからない
全体,1823,402,94,308,1149,272,1823,407,102,305,1145,271
全体,100.0,22.1,5.2,16.9,63.0,14.9,100.0,22.3,5.6,16.7,62.8,14.9
性別男性,852,231,54,177,527,94,852,233,60,173,525,94
性別男性,100.0,27.1,6.3,20.8,61.9,11.0,100.0,27.3,7.0,20.3,61.6,11.0
性別女性,971,171,40,131,622,178,971,174,42,132,620,177
性別女性,100.0,17.6,4.1,13.5,64.1,18.3,100.0,17.9,4.3,13.6,63.9,18.2
年齢別18歳,7,2,1,1,3,2,7,2,1,1,3,2
年齢別18歳,100.0,28.6,14.3,14.3,42.9,28.6,100.0,28.6,14.3,14.3,42.9,28.6
年齢別19歳,20,2,-,2,16,2,20,2,-,2,16,2
年齢別19歳,100.0,10.0,-,10.0,80.0,10.0,100.0,10.0,-,10.0,80.0,10.0
年齢別20歳代,164,36,6,30,117,11,164,36,9,27,117,11
年齢別20歳代,100.0,22.0,3.7,18.3,71.3,6.7,100.0,22.0,5.5,16.5,71.3,6.7
年齢別30歳代,257,75,16,59,168,14,257,77,21,56,166,14
年齢別30歳代,100.0,29.2,6.2,23.0,65.4,5.4,100.0,30.0,8.2,21.8,64.6,5.4
年齢別40歳代,398,104,29,75,259,35,398,104,27,77,259,35
年齢別40歳代,100.0,26.1,7.3,18.8,65.1,8.8,100.0,26.1,6.8,19.3,65.1,8.8
年齢別50歳代,311,85,19,66,195,31,311,86,19,67,195,30
年齢別50歳代,100.0,27.3,6.1,21.2,62.7,10.0,100.0,27.7,6.1,21.5,62.7,9.6
年齢別60歳代,337,64,17,47,199,74,337,65,18,47,198,74
年齢別60歳代,100.0,19.0,5.0,13.9,59.1,22.0,100.0,19.3,5.3,13.9,58.8,22.0
年齢別70歳代,231,30,5,25,135,66,231,31,6,25,134,66
年齢別70歳代,100.0,13.0,2.2,10.8,58.4,28.6,100.0,13.4,2.6,10.8,58.0,28.6
年齢別80歳以上,98,4,1,3,57,37,98,4,1,3,57,37
年齢別80歳以上,100.0,4.1,1.0,3.1,58.2,37.8,100.0,4.1,1.0,3.1,58.2,37.8
性/年齢別男性18歳,1,1,-,1,-,-,1,1,-,1,-,-
性/年齢別男性18歳,100.0,100.0,-,100.0,-,-,100.0,100.0,-,100.0,-,-
性/年齢別男性19歳,12,1,-,1,10,1,12,1,-,1,10,1
性/年齢別男性19歳,100.0,8.3,-,8.3,83.3,8.3,100.0,8.3,-,8.3,83.3,8.3
性/年齢別男性20歳代,83,19,1,18,60,4,83,19,2,17,60,4
性/年齢別男性20歳代,100.0,22.9,1.2,21.7,72.3,4.8,100.0,22.9,2.4,20.5,72.3,4.8
性/年齢別男性30歳代,122,49,8,41,69,4,122,51,12,39,67,4
性/年齢別男性30歳代,100.0,40.2,6.6,33.6,56.6,3.3,100.0,41.8,9.8,32.0,54.9,3.3
性/年齢別男性40歳代,170,58,17,41,101,11,170,58,17,41,101,11
性/年齢別男性40歳代,100.0,34.1,10.0,24.1,59.4,6.5,100.0,34.1,10.0,24.1,59.4,6.5
