,調査数,投票した（計）,投票日（12月14日）に投票した,期日前投票（又は不在者投票等）をした［郵便投票もこちら］,投票しなかった,答えたくない
全体実数,1827,1246,987,259,563,18
全体（％）,100.0,68.2,54.0,14.2,30.8,1.0
性別男性実数,882,617,492,125,258,7
性別男性（％）,100.0,70.0,55.8,14.2,29.3,0.8
性別女性実数,945,629,495,134,305,11
性別女性（％）,100.0,66.6,52.4,14.2,32.3,1.2
年齢別20歳代実数,174,91,68,23,80,3
年齢別20歳代（％）,100.0,52.3,39.1,13.2,46.0,1.7
年齢別30歳代実数,261,161,133,28,95,5
年齢別30歳代（％）,100.0,61.7,51.0,10.7,36.4,1.9
年齢別40歳代実数,365,247,198,49,113,5
年齢別40歳代（％）,100.0,67.7,54.2,13.4,31.0,1.4
年齢別50歳代実数,294,195,154,41,96,3
年齢別50歳代（％）,100.0,66.3,52.4,13.9,32.7,1.0
年齢別60歳代実数,313,233,178,55,80,-
年齢別60歳代（％）,100.0,74.4,56.9,17.6,25.6,-
年齢別70歳代実数,296,239,186,53,55,2
年齢別70歳代（％）,100.0,80.7,62.8,17.9,18.6,0.7
年齢別80歳以上実数,124,80,70,10,44,-
年齢別80歳以上（％）,100.0,64.5,56.5,8.1,35.5,-
性/年齢別男性20歳代実数,92,49,32,17,41,2
性/年齢別男性20歳代（％）,100.0,53.3,34.8,18.5,44.6,2.2
性/年齢別男性30歳代実数,118,75,61,14,41,2
性/年齢別男性30歳代（％）,100.0,63.6,51.7,11.9,34.7,1.7
性/年齢別男性40歳代実数,174,116,94,22,56,2
性/年齢別男性40歳代（％）,100.0,66.7,54.0,12.6,32.2,1.1
性/年齢別男性50歳代実数,161,107,90,17,53,1
性/年齢別男性50歳代（％）,100.0,66.5,55.9,10.6,32.9,0.6
性/年齢別男性60歳代実数,153,117,93,24,36,-
性/年齢別男性60歳代（％）,100.0,76.5,60.8,15.7,23.5,-
性/年齢別男性70歳代実数,134,116,89,27,18,-
性/年齢別男性70歳代（％）,100.0,86.6,66.4,20.1,13.4,-
性/年齢別男性80歳以上実数,50,37,33,4,13,-
性/年齢別男性80歳以上（％）,100.0,74.0,66.0,8.0,26.0,-
性/年齢別女性20歳代実数,82,42,36,6,39,1
性/年齢別女性20歳代（％）,100.0,51.2,43.9,7.3,47.6,1.2
性/年齢別女性30歳代実数,143,86,72,14,54,3
性/年齢別女性30歳代（％）,100.0,60.1,50.3,9.8,37.8,2.1
性/年齢別女性40歳代実数,191,131,104,27,57,3
性/年齢別女性40歳代（％）,100.0,68.6,54.5,14.1,29.8,1.6
性/年齢別女性50歳代実数,133,88,64,24,43,2
性/年齢別女性50歳代（％）,100.0,66.2,48.1,18.0,32.3,1.5
性/年齢別女性60歳代実数,160,116,85,31,44,-
性/年齢別女性60歳代（％）,100.0,72.5,53.1,19.4,27.5,-
性/年齢別女性70歳代実数,162,123,97,26,37,2
性/年齢別女性70歳代（％）,100.0,75.9,59.9,16.0,22.8,1.2
性/年齢別女性80歳以上実数,74,43,37,6,31,-
性/年齢別女性80歳以上（％）,100.0,58.1,50.0,8.1,41.9,-
未・既婚別未婚実数,453,248,193,55,197,8
未・既婚別未婚（％）,100.0,54.7,42.6,12.1,43.5,1.8
未・既婚別既婚（死別・離別を含む）実数,1366,991,787,204,365,10
未・既婚別既婚（死別・離別を含む）（％）,100.0,72.5,57.6,14.9,26.7,0.7
子供の有無別子供はいない実数,642,392,300,92,239,11
子供の有無別子供はいない（％）,100.0,61.1,46.7,14.3,37.2,1.7
子供の有無別未就学（～６歳）実数,180,117,95,22,60,3
子供の有無別未就学（～６歳）（％）,100.0,65.0,52.8,12.2,33.3,1.7
子供の有無別小・中・高校生実数,270,195,163,32,73,2
子供の有無別小・中・高校生（％）,100.0,72.2,60.4,11.9,27.0,0.7
子供の有無別大学生・大学院生・短大生・専門学校生実数,106,78,63,15,28,-
子供の有無別大学生・大学院生・短大生・専門学校生（％）,100.0,73.6,59.4,14.2,26.4,-
子供の有無別学校教育終了実数,743,547,431,116,195,1
子供の有無別学校教育終了（％）,100.0,73.6,58.0,15.6,26.2,0.1
子供の有無別その他実数,7,5,5,-,2,-
子供の有無別その他（％）,100.0,71.4,71.4,-,28.6,-
職業別自営業（計）実数,152,108,81,27,42,2
職業別自営業（計）（％）,100.0,71.1,53.3,17.8,27.6,1.3
職業別農林漁業実数,3,2,2,-,1,-
職業別農林漁業（％）,100.0,66.7,66.7,-,33.3,-
職業別商工・サービス業実数,96,67,51,16,28,1
職業別商工・サービス業（％）,100.0,69.8,53.1,16.7,29.2,1.0
職業別その他自由業実数,53,39,28,11,13,1
職業別その他自由業（％）,100.0,73.6,52.8,20.8,24.5,1.9
職業別お勤め（計）実数,934,612,472,140,311,11
職業別お勤め（計）（％）,100.0,65.5,50.5,15.0,33.3,1.2
職業別経営・管理職実数,94,70,49,21,23,1
職業別経営・管理職（％）,100.0,74.5,52.1,22.3,24.5,1.1
職業別専門職・技術職実数,243,175,138,37,64,4
職業別専門職・技術職（％）,100.0,72.0,56.8,15.2,26.3,1.6
職業別事務職実数,249,172,127,45,74,3
職業別事務職（％）,100.0,69.1,51.0,18.1,29.7,1.2
職業別労務職・技能職実数,111,59,51,8,51,1
職業別労務職・技能職（％）,100.0,53.2,45.9,7.2,45.9,0.9
職業別販売・サービス職実数,237,136,107,29,99,2
職業別販売・サービス職（％）,100.0,57.4,45.1,12.2,41.8,0.8
職業別その他（計）実数,732,519,427,92,208,5
職業別その他（計）（％）,100.0,70.9,58.3,12.6,28.4,0.7
職業別生徒・学生実数,35,21,18,3,13,1
職業別生徒・学生（％）,100.0,60.0,51.4,8.6,37.1,2.9
職業別専業主婦（夫）実数,309,222,178,44,86,1
職業別専業主婦（夫）（％）,100.0,71.8,57.6,14.2,27.8,0.3
職業別その他実数,18,12,7,5,6,-
職業別その他（％）,100.0,66.7,38.9,27.8,33.3,-
職業別無職（年金受給者含む）実数,370,264,224,40,103,3
職業別無職（年金受給者含む）（％）,100.0,71.4,60.5,10.8,27.8,0.8
投票所までの時間別５分以内実数,712,538,463,75,171,3
投票所までの時間別５分以内（％）,100.0,75.6,65.0,10.5,24.0,0.4
投票所までの時間別10分以内実数,769,515,402,113,244,10
投票所までの時間別10分以内（％）,100.0,67.0,52.3,14.7,31.7,1.3
投票所までの時間別20分以内実数,245,163,108,55,78,4
投票所までの時間別20分以内（％）,100.0,66.5,44.1,22.4,31.8,1.6
投票所までの時間別30分以内実数,38,19,9,10,19,-
投票所までの時間別30分以内（％）,100.0,50.0,23.7,26.3,50.0,-
投票所までの時間別30分を超える実数,11,6,3,3,5,-
投票所までの時間別30分を超える（％）,100.0,54.5,27.3,27.3,45.5,-
投票所までの時間別わからない実数,48,2,-,2,45,1
投票所までの時間別わからない（％）,100.0,4.2,-,4.2,93.8,2.1
地域別区部（計）実数,1189,826,653,173,348,15
地域別区部（計）（％）,100.0,69.5,54.9,14.6,29.3,1.3
地域別センターコア実数,314,207,162,45,100,7
地域別センターコア（％）,100.0,65.9,51.6,14.3,31.8,2.2
地域別区部東部・北部エリア実数,382,268,212,56,111,3
地域別区部東部・北部エリア（％）,100.0,70.2,55.5,14.7,29.1,0.8
地域別区部西部・南部エリア実数,493,351,279,72,137,5
地域別区部西部・南部エリア（％）,100.0,71.2,56.6,14.6,27.8,1.0
地域別市郡部（計）実数,638,420,334,86,215,3
地域別市郡部（計）（％）,100.0,65.8,52.4,13.5,33.7,0.5
地域別多摩東部エリア実数,239,169,139,30,69,1
地域別多摩東部エリア（％）,100.0,70.7,58.2,12.6,28.9,0.4
地域別多摩中央部北エリア実数,89,53,39,14,36,-
地域別多摩中央部北エリア（％）,100.0,59.6,43.8,15.7,40.4,-
地域別多摩中央部南エリア実数,267,171,133,38,94,2
地域別多摩中央部南エリア（％）,100.0,64.0,49.8,14.2,35.2,0.7
地域別多摩西部エリア実数,43,27,23,4,16,-
地域別多摩西部エリア（％）,100.0,62.8,53.5,9.3,37.2,-
選挙への関心度別関心があった（計）実数,1084,918,718,200,161,5
選挙への関心度別関心があった（計）（％）,100.0,84.7,66.2,18.5,14.9,0.5
選挙への関心度別関心があった実数,642,577,442,135,62,3
選挙への関心度別関心があった（％）,100.0,89.9,68.8,21.0,9.7,0.5
選挙への関心度別やや関心があった実数,442,341,276,65,99,2
選挙への関心度別やや関心があった（％）,100.0,77.1,62.4,14.7,22.4,0.5
選挙への関心度別関心がなかった（計）実数,179,121,99,22,54,4
選挙への関心度別関心がなかった（計）（％）,100.0,67.6,55.3,12.3,30.2,2.2
選挙への関心度別あまり関心がなかった実数,554,203,167,36,343,8
選挙への関心度別あまり関心がなかった（％）,100.0,36.6,30.1,6.5,61.9,1.4
選挙への関心度別関心がなかった実数,369,169,138,31,197,3
選挙への関心度別関心がなかった（％）,100.0,45.8,37.4,8.4,53.4,0.8
選挙への関心度別どちらともいえない実数,185,34,29,5,146,5
選挙への関心度別どちらともいえない（％）,100.0,18.4,15.7,2.7,78.9,2.7
選挙への関心度別わからない実数,7,2,2,-,4,1
選挙への関心度別わからない（％）,100.0,28.6,28.6,-,57.1,14.3
投票への意識別投票するべき（計）実数,1484,1168,924,244,306,10
投票への意識別投票するべき（計）（％）,100.0,78.7,62.3,16.4,20.6,0.7
投票への意識別必ず投票するべき実数,703,657,522,135,46,-
投票への意識別必ず投票するべき（％）,100.0,93.5,74.3,19.2,6.5,-
投票への意識別可能な限り投票するべき実数,781,511,402,109,260,10
投票への意識別可能な限り投票するべき（％）,100.0,65.4,51.5,14.0,33.3,1.3
投票への意識別投票するのもしないのも自由実数,315,73,59,14,235,7
投票への意識別投票するのもしないのも自由（％）,100.0,23.2,18.7,4.4,74.6,2.2
投票への意識別その他実数,11,2,2,-,9,-
投票への意識別その他（％）,100.0,18.2,18.2,-,81.8,-
投票への意識別わからない実数,15,2,1,1,12,1
投票への意識別わからない（％）,100.0,13.3,6.7,6.7,80.0,6.7
