,参議院議員選挙/調査数,参議院議員選挙/知っていた（計）,参議院議員選挙/知らなかった,東京都知事選挙/調査数,東京都知事選挙/知っていた（計）,東京都知事選挙/知らなかった
全体,1823,1746,77,1823,1746,77
全体,100.0,95.8,4.2,100.0,95.8,4.2
性別男性,852,826,26,852,826,26
性別男性,100.0,96.9,3.1,100.0,96.9,3.1
性別女性,971,920,51,971,920,51
性別女性,100.0,94.7,5.3,100.0,94.7,5.3
年齢別18歳,7,7,-,7,7,-
年齢別18歳,100.0,100.0,-,100.0,100.0,-
年齢別19歳,20,19,1,20,19,1
年齢別19歳,100.0,95.0,5.0,100.0,95.0,5.0
年齢別20歳代,164,162,2,164,162,2
年齢別20歳代,100.0,98.8,1.2,100.0,98.8,1.2
年齢別30歳代,257,252,5,257,252,5
年齢別30歳代,100.0,98.1,1.9,100.0,98.1,1.9
年齢別40歳代,398,393,5,398,393,5
年齢別40歳代,100.0,98.7,1.3,100.0,98.7,1.3
年齢別50歳代,311,308,3,311,308,3
年齢別50歳代,100.0,99.0,1.0,100.0,99.0,1.0
年齢別60歳代,337,314,23,337,314,23
年齢別60歳代,100.0,93.2,6.8,100.0,93.2,6.8
年齢別70歳代,231,210,21,231,210,21
年齢別70歳代,100.0,90.9,9.1,100.0,90.9,9.1
年齢別80歳以上,98,81,17,98,81,17
年齢別80歳以上,100.0,82.7,17.3,100.0,82.7,17.3
性/年齢別男性18歳,1,1,-,1,1,-
性/年齢別男性18歳,100.0,100.0,-,100.0,100.0,-
性/年齢別男性19歳,12,12,-,12,12,-
性/年齢別男性19歳,100.0,100.0,-,100.0,100.0,-
性/年齢別男性20歳代,83,83,-,83,83,-
性/年齢別男性20歳代,100.0,100.0,-,100.0,100.0,-
性/年齢別男性30歳代,122,122,-,122,122,-
性/年齢別男性30歳代,100.0,100.0,-,100.0,100.0,-
性/年齢別男性40歳代,170,169,1,170,169,1
性/年齢別男性40歳代,100.0,99.4,0.6,100.0,99.4,0.6
性/年齢別男性50歳代,152,151,1,152,151,1
性/年齢別男性50歳代,100.0,99.3,0.7,100.0,99.3,0.7
性/年齢別男性60歳代,157,146,11,157,146,11
性/年齢別男性60歳代,100.0,93.0,7.0,100.0,93.0,7.0
性/年齢別男性70歳代,107,101,6,107,101,6
性/年齢別男性70歳代,100.0,94.4,5.6,100.0,94.4,5.6
性/年齢別男性80歳以上,48,41,7,48,41,7
性/年齢別男性80歳以上,100.0,85.4,14.6,100.0,85.4,14.6
性/年齢別女性18歳,6,6,-,6,6,-
性/年齢別女性18歳,100.0,100.0,-,100.0,100.0,-
性/年齢別女性19歳,8,7,1,8,7,1
性/年齢別女性19歳,100.0,87.5,12.5,100.0,87.5,12.5
性/年齢別女性20歳代,81,79,2,81,79,2
性/年齢別女性20歳代,100.0,97.5,2.5,100.0,97.5,2.5
性/年齢別女性30歳代,135,130,5,135,130,5
性/年齢別女性30歳代,100.0,96.3,3.7,100.0,96.3,3.7
性/年齢別女性40歳代,228,224,4,228,224,4
性/年齢別女性40歳代,100.0,98.2,1.8,100.0,98.2,1.8
性/年齢別女性50歳代,159,157,2,159,157,2
性/年齢別女性50歳代,100.0,98.7,1.3,100.0,98.7,1.3
性/年齢別女性60歳代,180,168,12,180,168,12
性/年齢別女性60歳代,100.0,93.3,6.7,100.0,93.3,6.7
